k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,9.9619468444541048e-01,-8.7155741552143312e-02,8.7155741552143312e-02,9.9619468444541048e-01,9.9619468444980253e-01,-8.7155741549310731e-02,8.7155741549310731e-02,9.9619468444980253e-01,9.5592707232177299e-01,-2.9360416386899296e-01,2.9360416386899296e-01,9.5592707232177299e-01,7.4555317340564675e-01,6.6644612553917393e-01,-6.6644612553917393e-01,7.4555317340564675e-01,8.7266462598107386e-02,8.7266462594902783e-02,4.9999999999078062e+00,4.9999999997241957e+00,2.9799500376678323e-01,1.7073856031821748e+01,-7.2943182063048739e-01,-4.1793364764670621e+01,nan,nan,nan,nan,nan,3.8745498967217156e-08,3.8733821875583431e-08,-2.7397204949153320e-08,-2.7388948220519183e-08,3.8694457538019406e-08,-2.7361113374979595e-08,3.8719177937239777e-08,-2.7378593281390806e-08
1.0000000000000000e+00,9.2670019219925692e-01,-3.7580144532960741e-01,3.7580144532960741e-01,9.2670019219925692e-01,8.0080072552912573e-01,5.9893085622868159e-01,-5.9893085622868159e-01,8.0080072552912573e-01,9.8788061776239422e-01,-1.5388834986960595e-01,1.5388834986960595e-01,9.8788061776239422e-01,7.4811174726463703e-01,6.5997467453808090e-01,-6.5997467453808090e-01,7.4811174726463703e-01,3.8526146632827118e-01,-6.4216535804320718e-01,2.2073856029631415e+01,-3.6793364765383167e+01,1.5453426070110757e-01,8.8541609283478415e+00,-7.2288620694543804e-01,-4.1418328726194218e+01,-7.2046592085153875e+00,3.9413770491602278e+01,-3.7998450146584789e-01,-2.9648101899248370e+01,-8.6402431380376683e+00,3.8842843993113942e-08,3.8819036916676787e-08,-2.7466038332590870e-08,-2.7449204131890781e-08,5.8019642112850940e-04,-4.1026082380002382e-04,6.7348280340557131e-03,-4.7622425730060591e-03
2.0000000000000000e+00,8.5763692315319662e-01,-5.1385640220368112e-01,5.1385640220368112e-01,8.5763692315319662e-01,2.0381029894324323e-01,9.7657549314061232e-01,-9.7657549314061232e-01,2.0381029894324323e-01,9.9101978603763907e-01,1.3275233160834615e-01,-1.3275233160834615e-01,9.9101978603763907e-01,5.0940058780493680e-01,8.5794272907639302e-01,-8.5794272907639302e-01,5.0940058780493680e-01,5.3979704551810359e-01,-1.3650505366371728e+00,3.0928092501818526e+01,-7.8211634571378156e+01,-1.3316256410008076e-01,-7.6296529120749188e+00,-1.0349875945099372e+00,-5.9300421013816809e+01,-4.1624822096278766e+00,1.6959358028913570e+01,-8.7047750898935341e+00,-1.3657009980557859e+01,-7.4269929110598731e+00,5.8054309409640579e-04,6.7340158071252402e-03,-4.1050595860658845e-04,-4.7616682418357703e-03,3.6289021868689313e-04,-2.5660213445988234e-04,6.2866244352464042e-03,-4.4453147689357264e-03
3.0000000000000000e+00,9.1788406561269820e-01,-3.9662566328514959e-01,3.9662566328514959e-01,9.1788406561269820e-01,-7.3777365971235676e-01,6.6999648164307946e-01,-6.6999648164307946e-01,-7.3777365971235676e-01,9.6022152391053450e-01,2.7678185674407862e-01,-2.7678185674407862e-01,9.6022152391053450e-01,6.9166343190964863e-01,7.0602861698415220e-01,-7.0602861698415220e-01,6.9166343190964863e-01,4.0787631462942964e-01,-2.4043024027175912e+00,2.3369591391616396e+01,-1.3775638034888118e+02,-2.8064050443934141e-01,-1.6079516464796708e+01,-7.9567559132270094e-01,-4.5588853244366874e+01,-1.9149512777553990e+00,-1.6878505330573223e+01,-5.4333881334740752e+00,2.6101140284557772e+01,8.0382668747896382e+00,2.5021018412832658e-04,9.6092157525748730e-03,-1.7692531791901889e-04,-6.7947416205302869e-03,1.9324221356472589e-03,-1.3664287962310562e-03,3.2704097278783248e-02,-2.3125288958412260e-02
4.0000000000000000e+00,9.9107263710448767e-01,-1.2410147069984809e-01,1.2410147069984809e-01,9.9107263710448767e-01,-9.7900467772375577e-01,-6.6724934241792377e-02,6.6724934241792377e-02,-9.7900467772375577e-01,9.8201378719534693e-01,1.8703423532207969e-01,-1.8703423532207969e-01,9.8201378719534693e-01,9.4100745635853689e-01,2.9426367498093120e-01,-2.9426367498093120e-01,9.4100745635853689e-01,1.2457096338108122e-01,3.0735420044802506e+00,7.1373904516146816e+00,1.7610098501289752e+02,-1.8820577295529609e-01,-1.0783396470335877e+01,-3.0307736753456060e-01,-1.7365054025665600e+01,-1.0687900956307990e+01,1.4340663511246527e+01,1.5069903073393133e+01,-1.1189435258070064e+00,1.1152289633814302e+01,3.3571350410581836e-03,5.2463963198291809e-02,-2.3738529528911645e-03,-3.7097624145433605e-02,9.4344530909090142e-04,-6.6711657573681471e-04,3.9476154672866817e-02,-2.7913856664353087e-02
5.0000000000000000e+00,9.9639467497154821e-01,6.9771044165550355e-02,-6.9771044165550355e-02,9.9639467497154821e-01,-8.9658480457566325e-01,-3.7522293415957531e-01,3.7522293415957531e-01,-8.9658480457566325e-01,9.8802141130258903e-01,1.4943153358727168e-01,-1.4943153358727168e-01,9.8802141130258903e-01,9.8704755930219090e-01,4.1459338044394070e-02,-4.1459338044394070e-02,9.8704755930219090e-01,-6.9909388648420334e-02,2.7452383392641591e+00,-4.0055129178942721e+00,1.5729057059733955e+02,-1.5010558236024488e-01,-8.6004163505954097e+00,-4.1978708535137327e-02,-2.4052028284731755e+00,-7.7030669591153211e+00,2.7427158302316023e+01,9.8735740613765852e+00,-1.6316084977216263e+01,9.9949718425101413e+00,3.2946269875709019e-03,7.8267440444893935e-02,-2.3296530843914809e-03,-5.5343437884698643e-02,2.0985622212619779e-03,-1.4839075773963595e-03,3.3966919287926001e-02,-2.4018238964508609e-02
6.0000000000000000e+00,9.7531853328352347e-01,2.1534771027632132e-01,-2.1534771027632132e-01,9.7531853328352347e-01,-8.7111884633773573e-01,-4.0284955768477132e-01,4.0284955768477132e-01,-8.7111884633773573e-01,9.9156605610940229e-01,1.1935728913953157e-01,-1.1935728913953157e-01,9.9156605610940229e-01,9.7596775217485887e-01,-6.1390031933673331e-02,6.1390031933673331e-02,9.7596775217485887e-01,-2.1731068102331050e-01,2.7084330632312463e+00,-1.2450984865749362e+01,1.5518178361683965e+02,-1.1979612599289845e-01,-6.8638124214105396e+00,6.2818938133904476e-02,3.5992600285661500e+00,-1.0051074333196854e-02,2.3835851843995858e+01,1.8579828427647074e+00,-1.3426720037977738e+01,4.6377630740242273e+00,3.3645870407717732e-03,1.1153080627519914e-01,-2.3791223124222105e-03,-7.8864189428396569e-02,3.6070844867701199e-03,-2.5505939009078382e-03,6.1826886486048539e-02,-4.3718210693935888e-02
7.0000000000000000e+00,9.4205022691067397e-01,3.2655607284648519e-01,-3.2655607284648519e-01,9.4205022691067397e-01,-8.9606015530251071e-01,-3.1148848166645871e-01,3.1148848166645871e-01,-8.9606015530251071e-01,9.9622746572335541e-01,6.5113312799866110e-02,-6.5113312799866110e-02,9.9622746572335541e-01,9.5415727839698294e-01,-1.4240904113322994e-01,1.4240904113322994e-01,9.5415727839698294e-01,-3.3368195476909296e-01,2.8070396226223964e+00,-1.9118567707944258e+01,1.6083152330225863e+02,-6.5267052419623064e-02,-3.7395266449035094e+00,1.4815746493494347e-01,8.4887974441297462e+00,2.1802047070614705e+00,1.7961648480642175e+01,6.5030695241853620e-01,-8.5944017298167203e+00,2.9742846674639751e+00,8.3473973403623489e-03,1.4149365630531166e-01,-5.9025012646287678e-03,-1.0005112386836457e-01,4.6543084046300840e-03,-3.2910930346474743e-03,9.8010024694265979e-02,-6.9303553085576453e-02
8.0000000000000000e+00,9.2261162485390136e-01,3.7449210553874002e-01,-3.7449210553874002e-01,9.2261162485390136e-01,-9.2173272020558616e-01,-1.2955418238395711e-01,1.2955418238395711e-01,-9.2173272020558616e-01,9.9869843521170476e-01,1.3709387513416445e-02,-1.3709387513416445e-02,9.9869843521170476e-01,9.7603704947490866e-01,-9.1208409842745641e-02,9.1208409842745641e-02,9.7603704947490866e-01,-3.8558597962574176e-01,3.0019523800849712e+00,-2.2092449271972352e+01,1.7199920167812121e+02,-1.3726392278656753e-02,-7.8646434550799293e-01,9.3177098869882846e-02,5.3386545125174800e+00,7.6949683732442145e+00,1.7017066456606429e+01,-5.2459233256365163e+00,-8.0194682615588704e+00,-1.9817347573507851e+00,1.2082266499083755e-02,1.8897358911621354e-01,-8.5434525736052258e-03,-1.3362450632923495e-01,3.4131877446422201e-03,-2.4134881996993318e-03,5.5200579410049341e-02,-3.9032704026272458e-02
9.0000000000000000e+00,9.2191397132528907e-01,3.7847439866240362e-01,-3.7847439866240362e-01,9.2191397132528907e-01,-9.6250016925123039e-01,-8.1817716735493679e-02,8.1817716735493679e-02,-9.6250016925123039e-01,9.9707743910744873e-01,-1.7406419658062017e-02,1.7406419658062017e-02,9.9707743910744873e-01,9.3392737072675813e-01,-1.7742658902901748e-01,1.7742658902901748e-01,9.3392737072675813e-01,-3.8955185516162305e-01,3.0567911128031926e+00,-2.2319677202252535e+01,1.7514122961672129e+02,1.7455666957937564e-02,1.0001360452757870e+00,1.8774167922303842e-01,1.0756805858179037e+01,8.0081128804609243e+00,1.5944868130249921e+01,-5.3928366736342737e+00,-7.1080382591499189e+00,-2.3016304023421581e+00,9.6615662784369557e-03,9.4609876753386890e-02,-6.8317590323659916e-03,-6.6899285419543375e-02,7.8256878944560505e-03,-5.5335969776192373e-03,1.3618801894579355e-01,-9.6299471712932627e-02
1.0000000000000000e+01,9.2182824467864899e-01,3.6728010112297016e-01,-3.6728010112297016e-01,9.2182824467864899e-01,-8.5000514886717560e-01,1.3047283192914869e-01,-1.3047283192914869e-01,-8.5000514886717560e-01,9.9347543158581564e-01,-7.0759482686111069e-02,7.0759482686111069e-02,9.9347543158581564e-01,9.6384723040324438e-01,-1.1994554076065503e-01,1.1994554076065503e-01,9.6384723040324438e-01,-3.7914852069318561e-01,-2.9892848934203000e+00,-2.1723610044348092e+01,-1.7127340815519730e+02,7.1104117661369565e-02,4.0739658479980934e+00,1.2380805862769917e-01,7.0936792290754216e+00,1.6964342606283150e+01,2.0692003448239504e+01,-1.3465391493379324e+01,-1.2122044189913661e+01,-6.5825644262817331e+00,2.1691228312142565e-02,3.6835750123991895e-01,-1.5338014631781638e-02,-2.6046808702767876e-01,1.1313231124650831e-02,-7.9996624453713139e-03,8.0060869449778305e-02,-5.6611583695629131e-02
1.1000000000000000e+01,9.2825981521686263e-01,3.1672054473762251e-01,-3.1672054473762251e-01,9.2825981521686263e-01,-6.8767706165906595e-01,2.6351170875534663e-01,-2.6351170875534663e-01,-6.8767706165906595e-01,9.8223431104155101e-01,-1.3658813723619317e-01,1.3658813723619317e-01,9.8223431104155101e-01,9.5985637343532904e-01,-6.0134673567777817e-02,6.0134673567777817e-02,9.5985637343532904e-01,-3.2881212299649737e-01,-2.7756601808534369e+00,-1.8839546900435820e+01,-1.5903361372542074e+02,1.3817252818415168e-01,7.9167027096043077e+00,6.2567884323600373e-02,3.5848757048050470e+00,1.2835012552662789e+01,2.2494756106918349e+01,-8.5219578045468722e+00,-1.3437462173953115e+01,-4.6047826690990199e+00,5.3770962188847853e-02,6.4723157858678648e-01,-3.8021811994659815e-02,-4.5766183821679063e-01,2.3418583189499621e-02,-1.6559438979076524e-02,1.0615025256089697e-01,-7.5059563410474928e-02
1.2000000000000000e+01,9.4616005296487193e-01,1.7457398741244529e-01,-1.7457398741244529e-01,9.4616005296487193e-01,-7.6013028792656501e-01,2.1670055936921040e-01,-2.1670055936921040e-01,-7.6013028792656501e-01,9.7893793760680392e-01,-1.6271229236882212e-01,1.6271229236882212e-01,9.7893793760680392e-01,9.6354829261107322e-01,-3.7894468252708993e-02,3.7894468252708993e-02,9.6354829261107322e-01,-1.8245589175874516e-01,-2.8638763239603402e+00,-1.0453952545071877e+01,-1.6408802641036837e+02,1.6470732002636387e-01,9.4370342924212327e+00,3.9307785186498426e-02,2.2521701931932174e+00,1.0066954810438570e+01,2.4236187876227028e+01,-6.8708769248867094e+00,-1.4235612406201945e+01,-3.6695321818925537e+00,1.0508324777729314e-01,5.3067347525090836e-01,-7.4305077092430061e-02,-3.7524281294574868e-01,2.1503434319644594e-02,-1.5205224226220171e-02,9.9191096660726549e-02,-7.0138697082130053e-02
1.3000000000000000e+01,9.5194776799443770e-01,-3.9536049228253503e-03,3.9536049228253503e-03,9.5194776799443770e-01,-8.8328276998578037e-01,1.2584212954374402e-01,-1.2584212954374402e-01,-8.8328276998578037e-01,9.8468342466665670e-01,-1.5349187664353275e-01,1.5349187664353275e-01,9.8468342466665670e-01,9.8605725808862088e-01,-3.5530807233431994e-02,3.5530807233431994e-02,9.8605725808862088e-01,4.1531503347807383e-03,-3.0000740948835056e+00,2.3795798586628122e-01,-1.7189158386335535e+02,1.5463496879702782e-01,8.8599310772068698e+00,3.6017626025613654e-02,2.0636579593482156e+00,-9.8881702348480727e-01,2.3041956889390917e+01,1.0324013054759333e+00,-1.2029814344499901e+01,-5.7033468135772217e-02,1.3262468769024804e-01,2.8846464509344055e-01,-9.3779816018522366e-02,-2.0397530667814256e-01,9.6715194552587837e-03,-6.8387969911911650e-03,3.7375748912693990e-02,-2.6428645508091653e-02
1.4000000000000000e+01,9.5841925045568843e-01,-1.9390952325938254e-01,1.9390952325938254e-01,9.5841925045568843e-01,-9.6921351481319840e-01,1.3365832230697705e-01,-1.3365832230697705e-01,-9.6921351481319840e-01,9.8181321926610732e-01,-1.4356858389985633e-01,1.4356858389985633e-01,9.8181321926610732e-01,9.8970413373036215e-01,-1.7731412710133995e-02,1.7731412710133995e-02,9.8970413373036215e-01,1.9962747610985562e-01,-3.0045531086003439e+00,1.1437811855943396e+01,-1.7214821244571138e+02,1.4519892485237845e-01,8.3192855838784858e+00,1.7913955633038704e-02,1.0263940521577246e+00,-4.2732650614588668e+00,2.1658311649580313e+01,2.6765505788995019e+00,-1.1099997853884991e+01,3.7050727843845055e-01,6.1987295711864773e-02,6.0472642490822480e-02,-4.3831637145275382e-02,-4.2760615581530215e-02,2.1822537418491571e-02,-1.5430864191312565e-02,2.8526560933962858e-02,-2.0171324680336333e-02
1.5000000000000000e+01,9.1139795523653488e-01,-3.3986716310981813e-01,3.3986716310981813e-01,9.1139795523653488e-01,-9.5424643968515155e-01,1.7959444506860781e-01,-1.7959444506860781e-01,-9.5424643968515155e-01,9.8895296737497618e-01,-8.8143918809864996e-02,8.8143918809864996e-02,9.8895296737497618e-01,9.9282598395454347e-01,8.8116200953138914e-04,-8.8116200953138914e-04,9.9282598395454347e-01,3.5693491787750359e-01,-2.9555632341916089e+00,2.0450864355229591e+01,-1.6934129940321492e+02,8.8893633903234001e-02,5.0932300482363546e+00,-8.8752892491351161e-04,-5.0851661593327560e-02,-9.7225472889211986e+00,2.0503948394858135e+01,6.3091831016390199e+00,-1.0390229404693688e+01,1.2908741613132086e+00,7.6147026252520719e-02,8.0835835788189883e-02,-5.3844078630347347e-02,-5.7159567648711218e-02,2.0085619704051844e-02,-1.4202677897069305e-02,2.0217298884076286e-02,-1.4295789138205617e-02
