k,kin_error_link1,kin_error_link2
0,1.9298625603481963e-08,1.9316984369287477e-08
1,1.8705881916424908e-06,1.5122165931412724e-06
2,1.7897307455159439e-03,6.2417142525282038e-03
3,3.8106080297758914e-03,1.4436662387569041e-02
4,8.8758988209357310e-03,3.5161762569620260e-02
5,3.9507119968983633e-03,7.0501638977754685e-03
6,4.8799485548439020e-03,4.9848948088366929e-02
7,1.8819472906924803e-02,6.4887707903616115e-02
8,1.4047774850575444e-02,9.1216935382618783e-02
9,1.0133573703591886e-02,1.0320585908228849e-01
10,3.0809347297027265e-02,1.7161458005255859e-01
11,1.8619324612024708e-02,1.9724922973276979e-01
12,2.9799155218796669e-02,2.7493706642646987e-01
13,6.9229156246940593e-02,1.4850367161633990e-01
14,1.6989918310786448e-02,4.2766219475358899e-02
15,3.9903479357356626e-03,1.8427530313137961e-02
16,7.2565347824477724e-02,6.4000131878688513e-02
17,4.9765510558082296e-03,5.2548554314634441e-03
18,1.8995710457986184e-03,2.6489087476017519e-03
19,1.9285529987518961e-03,1.3668692844945249e-03
