Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 5
Minimum dominant weight: 7.6547953e-01
Maximum second weight: 1.7699629e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.89036432e-01       1.06574120e-02      2            not tight
1       253x253     9.74905587e-01       1.60757755e-02      2            not tight
2       253x253     9.55440947e-01       1.62819190e-02      3            not tight
3       253x253     9.41264748e-01       2.08857266e-02      3            not tight
4       253x253     9.38617812e-01       2.65868215e-02      3            not tight
5       253x253     9.40843043e-01       2.11482973e-02      3            not tight
6       253x253     9.35625076e-01       1.92132804e-02      3            not tight
7       253x253     8.90141487e-01       5.55353071e-02      3            not tight
8       253x253     8.17730307e-01       9.22777733e-02      4            not tight
9       253x253     7.65479534e-01       1.75560899e-01      4            not tight
10      253x253     7.67008474e-01       1.76996287e-01      4            not tight
11      253x253     7.94241055e-01       1.48651105e-01      4            not tight
12      253x253     8.53484986e-01       7.82745416e-02      3            not tight
13      253x253     8.42746961e-01       1.08308663e-01      3            not tight
14      253x253     8.25663151e-01       1.29084517e-01      3            not tight
15      253x253     8.33334672e-01       1.30096449e-01      3            not tight
16      253x253     8.32932549e-01       1.38457353e-01      3            not tight
17      253x253     8.18839600e-01       1.58270715e-01      2            not tight
18      253x253     8.07632810e-01       1.73101809e-01      2            not tight
19      26x26       9.92386093e-01       7.55710833e-03      1            not tight
20      22x22       9.83135461e-01       1.22004466e-02      2            not tight
21      26x26       9.86925072e-01       1.30170035e-02      2            not tight
22      22x22       9.72622648e-01       2.13998180e-02      2            not tight
23      26x26       9.95917814e-01       4.06806862e-03      1            not tight
24      26x26       9.93496761e-01       6.45771683e-03      1            not tight
25      26x26       9.39891758e-01       5.88077705e-02      2            not tight
26      26x26       9.92448009e-01       7.49214662e-03      1            not tight
27      26x26       9.86234360e-01       1.36593715e-02      2            not tight
28      22x22       9.85114048e-01       1.02747718e-02      2            not tight
29      22x22       9.71609394e-01       1.40210522e-02      2            not tight
30      22x22       8.61776419e-01       8.11438964e-02      3            not tight
31      22x22       7.93700113e-01       1.29911616e-01      5            not tight
32      22x22       9.83747639e-01       1.33438585e-02      2            not tight
33      22x22       9.84653322e-01       1.08757441e-02      2            not tight
34      22x22       9.95440478e-01       3.56038711e-03      1            not tight
35      22x22       9.82394440e-01       1.27491657e-02      2            not tight
36      22x22       9.88868768e-01       7.69771312e-03      1            not tight
37      22x22       9.68378456e-01       1.62478796e-02      2            not tight
38      22x22       9.63193646e-01       1.46760068e-02      2            not tight
39      22x22       9.54926541e-01       2.42444498e-02      3            not tight
40      22x22       9.50589732e-01       2.18553215e-02      3            not tight
41      22x22       9.75692898e-01       1.58906396e-02      2            not tight
42      22x22       9.71782145e-01       1.42590753e-02      2            not tight
43      22x22       9.85829359e-01       7.80971207e-03      1            not tight
44      22x22       9.69394602e-01       1.59908307e-02      2            not tight
45      22x22       9.69142345e-01       1.67617035e-02      2            not tight
46      22x22       9.63923013e-01       1.42213545e-02      2            not tight
47      22x22       9.62965396e-01       1.78736667e-02      2            not tight
48      22x22       9.78539205e-01       1.17854227e-02      2            not tight
49      22x22       9.75849453e-01       1.49105191e-02      2            not tight
50      22x22       9.71189463e-01       1.29552956e-02      2            not tight
51      22x22       9.63806736e-01       1.44808994e-02      2            not tight
52      22x22       9.78891617e-01       1.03965744e-02      2            not tight
53      22x22       9.62264582e-01       1.48946784e-02      2            not tight
54      22x22       9.75002762e-01       1.16275195e-02      2            not tight
55      22x22       9.63639065e-01       1.75115985e-02      2            not tight
56      22x22       9.65859708e-01       1.37455418e-02      2            not tight
57      22x22       9.77069774e-01       1.41865523e-02      2            not tight
58      22x22       9.78837872e-01       1.05742205e-02      2            not tight
59      22x22       9.81043972e-01       7.13397830e-03      1            not tight
60      22x22       9.65452896e-01       1.64962039e-02      2            not tight
61      22x22       9.74346545e-01       1.07693516e-02      2            not tight
62      22x22       9.66691929e-01       1.56698669e-02      2            not tight
63      22x22       9.72715570e-01       1.39230863e-02      2            not tight
64      22x22       9.66441138e-01       1.35265122e-02      2            not tight
65      22x22       9.63250206e-01       1.24719727e-02      2            not tight
66      22x22       9.79851049e-01       1.05322182e-02      2            not tight
67      22x22       9.77653302e-01       1.01383446e-02      2            not tight
68      22x22       9.85912035e-01       4.88370937e-03      1            not tight
69      22x22       9.70270430e-01       1.18022644e-02      2            not tight
70      22x22       9.79266146e-01       7.37673159e-03      1            not tight
71      22x22       9.71153386e-01       1.09346892e-02      2            not tight
72      22x22       9.76064253e-01       1.03705402e-02      2            not tight
73      22x22       9.63780425e-01       1.22754828e-02      2            not tight
74      22x22       9.36754243e-01       3.46955165e-02      3            not tight
75      22x22       9.79033999e-01       9.02148932e-03      1            not tight
76      22x22       9.55469809e-01       3.13773342e-02      2            not tight
77      22x22       9.84090360e-01       6.01402799e-03      1            not tight
78      22x22       9.69937189e-01       9.58361330e-03      1            not tight
79      22x22       9.77317506e-01       1.13050429e-02      2            not tight
80      22x22       9.70050515e-01       8.93033609e-03      1            not tight
81      22x22       9.73843590e-01       1.01231852e-02      2            not tight
82      22x22       9.37440040e-01       3.44066036e-02      3            not tight
83      22x22       8.94075695e-01       5.83754192e-02      3            not tight
84      22x22       9.66325273e-01       1.61813421e-02      2            not tight
85      22x22       9.34860508e-01       4.50139272e-02      3            not tight
86      22x22       9.62417258e-01       2.38658632e-02      2            not tight
87      22x22       9.49418578e-01       3.05450849e-02      2            not tight
88      22x22       9.50464603e-01       3.74665170e-02      2            not tight
89      22x22       9.47750914e-01       3.03702749e-02      2            not tight
90      22x22       9.48974959e-01       3.24728990e-02      2            not tight
91      22x22       8.94474202e-01       5.80117608e-02      3            not tight
92      22x22       8.67987970e-01       1.01170031e-01      3            not tight
93      22x22       9.38493124e-01       3.28856523e-02      3            not tight
94      22x22       9.22742272e-01       5.66970990e-02      3            not tight
95      22x22       9.26300185e-01       5.34245329e-02      3            not tight
96      22x22       9.22975384e-01       5.67184954e-02      3            not tight
97      22x22       9.15040785e-01       6.44970180e-02      3            not tight
