Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 1.0000000e+00
Maximum second weight: 3.7833188e-10
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     1.00000000e+00       8.00298962e-11      1            tight
1       253x253     1.00000000e+00       1.68155554e-10      1            tight
2       253x253     9.99999999e-01       3.78331880e-10      1            tight
3       253x253     9.99999999e-01       2.59672056e-10      1            tight
4       253x253     9.99999999e-01       1.32744925e-10      1            tight
5       253x253     1.00000000e+00       5.78318426e-11      1            tight
6       253x253     1.00000000e+00       4.66711188e-11      1            tight
7       253x253     1.00000000e+00       4.41048629e-11      1            tight
8       253x253     1.00000000e+00       4.37382487e-11      1            tight
9       253x253     1.00000000e+00       4.41256032e-11      1            tight
10      253x253     1.00000000e+00       4.42111320e-11      1            tight
11      253x253     1.00000000e+00       4.37875619e-11      1            tight
12      253x253     1.00000000e+00       4.31084741e-11      1            tight
13      253x253     1.00000000e+00       4.23305838e-11      1            tight
14      253x253     1.00000000e+00       4.16174010e-11      1            tight
15      253x253     1.00000000e+00       4.10939794e-11      1            tight
16      253x253     1.00000000e+00       4.09167220e-11      1            tight
17      253x253     1.00000000e+00       4.01203503e-11      1            tight
18      253x253     1.00000000e+00       3.57218978e-11      1            tight
19      26x26       1.00000000e+00       4.74088446e-11      1            tight
20      22x22       1.00000000e+00       1.07032730e-10      1            tight
21      26x26       1.00000000e+00       3.83925169e-11      1            tight
22      22x22       1.00000000e+00       1.00307453e-10      1            tight
23      26x26       1.00000000e+00       4.66354096e-11      1            tight
24      26x26       1.00000000e+00       4.59576502e-11      1            tight
25      26x26       1.00000000e+00       4.48823033e-11      1            tight
26      26x26       1.00000000e+00       4.52010834e-11      1            tight
27      26x26       1.00000000e+00       4.52936081e-11      1            tight
28      22x22       1.00000000e+00       1.03169213e-10      1            tight
29      22x22       1.00000000e+00       2.17257982e-10      1            tight
30      22x22       1.00000000e+00       1.29003143e-10      1            tight
31      22x22       9.99999999e-01       1.60479617e-10      1            tight
32      22x22       1.00000000e+00       1.58957793e-10      1            tight
33      22x22       1.00000000e+00       9.49554950e-11      1            tight
34      22x22       1.00000000e+00       1.37376132e-10      1            tight
35      22x22       1.00000000e+00       9.80011239e-11      1            tight
36      22x22       1.00000000e+00       1.20175624e-10      1            tight
37      22x22       9.99999999e-01       2.25722307e-10      1            tight
38      22x22       1.00000000e+00       1.68018467e-10      1            tight
39      22x22       9.99999999e-01       2.84323189e-10      1            tight
40      22x22       9.99999999e-01       2.21071226e-10      1            tight
41      22x22       1.00000000e+00       1.97551754e-10      1            tight
42      22x22       1.00000000e+00       2.06348593e-10      1            tight
43      22x22       1.00000000e+00       2.09226001e-10      1            tight
44      22x22       1.00000000e+00       2.17596086e-10      1            tight
45      22x22       1.00000000e+00       1.79048030e-10      1            tight
46      22x22       1.00000000e+00       1.56356680e-10      1            tight
47      22x22       1.00000000e+00       8.09077672e-11      1            tight
48      22x22       1.00000000e+00       1.34859953e-10      1            tight
49      22x22       1.00000000e+00       5.24107774e-11      1            tight
50      22x22       1.00000000e+00       1.59320749e-10      1            tight
51      22x22       1.00000000e+00       1.47716165e-10      1            tight
52      22x22       1.00000000e+00       1.58217716e-10      1            tight
53      22x22       1.00000000e+00       1.53370441e-10      1            tight
54      22x22       1.00000000e+00       1.82579176e-10      1            tight
55      22x22       1.00000000e+00       8.60616784e-11      1            tight
56      22x22       1.00000000e+00       4.12779447e-11      1            tight
57      22x22       1.00000000e+00       7.82457221e-11      1            tight
58      22x22       1.00000000e+00       2.87100733e-11      1            tight
59      22x22       1.00000000e+00       7.60967016e-11      1            tight
60      22x22       1.00000000e+00       7.67431583e-11      1            tight
61      22x22       1.00000000e+00       6.73985490e-11      1            tight
62      22x22       1.00000000e+00       8.02872449e-11      1            tight
63      22x22       1.00000000e+00       6.88338515e-11      1            tight
64      22x22       1.00000000e+00       4.26550501e-11      1            tight
65      22x22       1.00000000e+00       3.45997718e-11      1            tight
66      22x22       1.00000000e+00       3.69153024e-11      1            tight
67      22x22       1.00000000e+00       2.65971802e-11      1            tight
68      22x22       1.00000000e+00       3.29496033e-11      1            tight
69      22x22       1.00000000e+00       3.55105819e-11      1            tight
70      22x22       1.00000000e+00       2.73779198e-11      1            tight
71      22x22       1.00000000e+00       3.79082247e-11      1            tight
72      22x22       1.00000000e+00       3.30757975e-11      1            tight
73      22x22       1.00000000e+00       3.52563442e-11      1            tight
74      22x22       1.00000000e+00       3.26435515e-11      1            tight
75      22x22       1.00000000e+00       2.87614855e-11      1            tight
76      22x22       1.00000000e+00       2.59866050e-11      1            tight
77      22x22       1.00000000e+00       2.84218718e-11      1            tight
78      22x22       1.00000000e+00       2.89604853e-11      1            tight
79      22x22       1.00000000e+00       2.30478699e-11      1            tight
80      22x22       1.00000000e+00       3.08681371e-11      1            tight
81      22x22       1.00000000e+00       2.69836634e-11      1            tight
82      22x22       1.00000000e+00       3.36518455e-11      1            tight
83      22x22       1.00000000e+00       3.18988568e-11      1            tight
84      22x22       1.00000000e+00       2.79548935e-11      1            tight
85      22x22       1.00000000e+00       2.60124368e-11      1            tight
86      22x22       1.00000000e+00       2.75177839e-11      1            tight
87      22x22       1.00000000e+00       2.76797741e-11      1            tight
88      22x22       1.00000000e+00       2.22512629e-11      1            tight
89      22x22       1.00000000e+00       2.95199669e-11      1            tight
90      22x22       1.00000000e+00       2.54322542e-11      1            tight
91      22x22       1.00000000e+00       3.30328060e-11      1            tight
92      22x22       1.00000000e+00       3.17933316e-11      1            tight
93      22x22       1.00000000e+00       2.75895556e-11      1            tight
94      22x22       1.00000000e+00       2.61530966e-11      1            tight
95      22x22       1.00000000e+00       2.70650256e-11      1            tight
96      22x22       1.00000000e+00       2.72447821e-11      1            tight
97      22x22       1.00000000e+00       2.10743466e-11      1            tight
98      22x22       1.00000000e+00       2.91549477e-11      1            tight
99      22x22       1.00000000e+00       2.45350889e-11      1            tight
100     22x22       1.00000000e+00       3.29275557e-11      1            tight
101     22x22       1.00000000e+00       3.16653060e-11      1            tight
102     22x22       1.00000000e+00       2.74897518e-11      1            tight
103     22x22       1.00000000e+00       2.60444620e-11      1            tight
104     22x22       1.00000000e+00       2.68692235e-11      1            tight
105     22x22       1.00000000e+00       2.73129882e-11      1            tight
106     22x22       1.00000000e+00       2.00346345e-11      1            tight
107     22x22       1.00000000e+00       2.92816528e-11      1            tight
108     22x22       1.00000000e+00       2.40170050e-11      1            tight
109     22x22       1.00000000e+00       3.27365690e-11      1            tight
110     22x22       1.00000000e+00       3.13468254e-11      1            tight
111     22x22       1.00000000e+00       2.72336135e-11      1            tight
112     22x22       1.00000000e+00       2.56843126e-11      1            tight
113     22x22       1.00000000e+00       2.65210250e-11      1            tight
114     22x22       1.00000000e+00       2.72581359e-11      1            tight
115     22x22       1.00000000e+00       1.90007267e-11      1            tight
116     22x22       1.00000000e+00       2.92594374e-11      1            tight
117     22x22       1.00000000e+00       2.34664591e-11      1            tight
118     22x22       1.00000000e+00       3.23314218e-11      1            tight
119     22x22       1.00000000e+00       3.09539200e-11      1            tight
120     22x22       1.00000000e+00       2.67994319e-11      1            tight
121     22x22       1.00000000e+00       2.52717203e-11      1            tight
122     22x22       1.00000000e+00       2.60577422e-11      1            tight
123     22x22       1.00000000e+00       2.69288175e-11      1            tight
124     22x22       1.00000000e+00       1.80605531e-11      1            tight
125     22x22       1.00000000e+00       2.89604520e-11      1            tight
126     22x22       1.00000000e+00       2.28583588e-11      1            tight
127     22x22       1.00000000e+00       3.18386295e-11      1            tight
128     22x22       1.00000000e+00       3.05390140e-11      1            tight
129     22x22       1.00000000e+00       2.63368364e-11      1            tight
130     22x22       1.00000000e+00       2.48958869e-11      1            tight
131     22x22       1.00000000e+00       2.56158489e-11      1            tight
132     22x22       1.00000000e+00       2.64866129e-11      1            tight
133     22x22       1.00000000e+00       1.73648766e-11      1            tight
134     22x22       1.00000000e+00       2.85381461e-11      1            tight
135     22x22       1.00000000e+00       2.23323395e-11      1            tight
136     22x22       1.00000000e+00       3.13323724e-11      1            tight
137     22x22       1.00000000e+00       3.01807443e-11      1            tight
138     22x22       1.00000000e+00       2.59340020e-11      1            tight
139     22x22       1.00000000e+00       2.46705168e-11      1            tight
140     22x22       1.00000000e+00       2.52587839e-11      1            tight
141     22x22       1.00000000e+00       2.60692077e-11      1            tight
142     22x22       1.00000000e+00       1.69154893e-11      1            tight
143     22x22       1.00000000e+00       2.80843677e-11      1            tight
144     22x22       1.00000000e+00       2.19288986e-11      1            tight
145     22x22       1.00000000e+00       3.08923493e-11      1            tight
146     22x22       1.00000000e+00       2.98717410e-11      1            tight
147     22x22       1.00000000e+00       2.56824181e-11      1            tight
148     22x22       1.00000000e+00       2.46947896e-11      1            tight
149     22x22       1.00000000e+00       2.50367961e-11      1            tight
150     22x22       1.00000000e+00       2.57899965e-11      1            tight
151     22x22       1.00000000e+00       1.66908704e-11      1            tight
152     22x22       1.00000000e+00       2.76857101e-11      1            tight
153     22x22       1.00000000e+00       2.16929115e-11      1            tight
154     22x22       1.00000000e+00       3.05822044e-11      1            tight
155     22x22       1.00000000e+00       2.92697354e-11      1            tight
156     22x22       1.00000000e+00       2.57052654e-11      1            tight
157     22x22       1.00000000e+00       2.48426039e-11      1            tight
158     22x22       1.00000000e+00       2.49818315e-11      1            tight
159     22x22       1.00000000e+00       2.56949678e-11      1            tight
160     22x22       1.00000000e+00       1.66484223e-11      1            tight
161     22x22       1.00000000e+00       2.74194742e-11      1            tight
162     22x22       1.00000000e+00       2.15823995e-11      1            tight
163     22x22       1.00000000e+00       3.03714631e-11      1            tight
164     22x22       1.00000000e+00       2.85752173e-11      1            tight
165     22x22       1.00000000e+00       2.61095763e-11      1            tight
166     22x22       1.00000000e+00       2.45200512e-11      1            tight
167     22x22       1.00000000e+00       2.50218072e-11      1            tight
168     22x22       1.00000000e+00       2.56771078e-11      1            tight
169     22x22       1.00000000e+00       1.69386318e-11      1            tight
170     22x22       1.00000000e+00       2.72605347e-11      1            tight
171     22x22       1.00000000e+00       2.13305251e-11      1            tight
172     22x22       1.00000000e+00       2.95126316e-11      1            tight
173     22x22       1.00000000e+00       2.46391890e-11      1            tight
174     22x22       1.00000000e+00       2.60677193e-11      1            tight
175     22x22       1.00000000e+00       2.14902095e-11      1            tight
176     22x22       1.00000000e+00       2.44942643e-11      1            tight
177     22x22       1.00000000e+00       2.49578477e-11      1            tight
178     22x22       1.00000000e+00       1.71052531e-11      1            tight
179     22x22       1.00000000e+00       2.64700638e-11      1            tight
180     22x22       1.00000000e+00       2.11702360e-11      1            tight
181     22x22       1.00000000e+00       2.69401663e-11      1            tight
182     22x22       1.00000000e+00       2.69737946e-11      1            tight
183     22x22       1.00000000e+00       2.27718478e-11      1            tight
184     22x22       1.00000000e+00       2.24113306e-11      1            tight
185     22x22       1.00000000e+00       1.45111815e-11      1            tight
186     22x22       1.00000000e+00       2.41531893e-11      1            tight
187     22x22       1.00000000e+00       1.72705535e-11      1            tight
