k,kin_error_link1,kin_error_link2
0,3.5143537932954184e-12,3.5332977448728508e-12
1,1.2565975527394913e-11,7.2942062128395505e-12
2,2.0579232841822004e-11,3.0871202747142469e-11
3,1.0068350708013238e-11,5.3831972443029345e-11
4,6.6841811616861919e-11,4.0671329031592557e-10
5,4.5874847966441618e-11,9.6792089039374385e-11
6,3.7928751699886306e-11,6.2560051825587539e-11
7,3.6690880226879443e-11,6.6885471647965617e-11
8,3.1721315766389718e-11,5.9986678744659820e-11
9,2.6714628740692265e-11,5.6711549339183445e-11
10,2.2291404247858005e-11,5.4967783437917816e-11
11,1.8963687644229749e-11,5.3860993878694248e-11
12,1.6781278261060832e-11,5.3183954165198656e-11
13,1.5635745675097217e-11,5.2732139138308795e-11
14,1.5047668973985038e-11,5.2427168366598176e-11
15,1.5029062098388775e-11,5.2176537995562686e-11
16,1.5463470223425035e-11,5.2058473338242020e-11
17,1.6170940303694907e-11,5.2190294617686264e-11
18,1.7313426685906067e-11,5.7953652395710422e-11
19,8.3808236334476716e-12,3.3623192126869528e-11
