k,kin_error_link1,kin_error_link2
0,7.5447010696199008e-08,7.5090465692560169e-08
1,2.8272293666548569e-04,7.5702543735438419e-04
2,5.4393982752487255e-03,1.5566588917262935e-02
3,2.9803736171597036e-02,4.3447500814691641e-02
4,4.7883100598255887e-02,8.5078273751722569e-02
5,3.1535204866005632e-02,2.4552228757926886e-01
6,1.5526154047180743e-01,3.7013658516127604e-02
7,3.4765486957177440e-02,7.4321290303399443e-02
8,2.1094712567607019e-02,4.7498261641798330e-02
9,3.9808293263433403e-03,9.2166405296391918e-03
10,3.8289556939530129e-03,4.0555226002010137e-03
11,2.7635815185711359e-03,4.7203812036132184e-03
12,7.8677870937929545e-04,1.4591454753976872e-03
13,3.5139996890734044e-04,6.2882201013737772e-04
14,2.2334363433923604e-04,4.0175122906497461e-04
15,1.7370563455364270e-04,3.4344552558178686e-04
16,1.6153245636022935e-04,3.3087283010221230e-04
17,1.7040347171411556e-04,3.2604387566923594e-04
18,2.4626768364202628e-04,4.4965338484213591e-04
19,1.4912652448472409e-04,2.1682666205416883e-04
