block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,91x91,9.9999826659471103e-01,2.0960801701587865e-08,1,True,tight
1,253x253,9.8201624449518565e-01,1.7539740009120831e-02,2,False,not tight
2,253x253,9.3244597833668796e-01,4.2120152204278033e-02,3,False,not tight
3,253x253,9.7820988995190705e-01,1.9665100460884207e-02,2,False,not tight
4,253x253,9.7578812510111812e-01,1.7595610058887431e-02,2,False,not tight
5,253x253,6.2874107128844070e-01,1.4419377090649421e-01,6,False,not tight
6,253x253,9.3528238497475336e-01,2.6284376708902397e-02,3,False,not tight
7,253x253,8.9830203288167443e-01,4.9692991252594333e-02,4,False,not tight
8,253x253,9.5983537288715270e-01,2.0086010878063717e-02,3,False,not tight
9,253x253,9.3313841436284028e-01,4.7675630990639088e-02,2,False,not tight
10,253x253,9.6052830358686048e-01,3.3333986100378729e-02,2,False,not tight
11,253x253,9.6378918929024049e-01,2.3323568677738125e-02,2,False,not tight
12,253x253,9.7336811951562752e-01,9.6145913449888834e-03,1,False,not tight
13,253x253,9.8695689374175377e-01,3.9906963052521310e-03,1,False,not tight
14,253x253,9.9116513913839221e-01,2.8087697160147918e-03,1,False,not tight
15,253x253,9.9213276616727475e-01,2.5874486998809731e-03,1,False,not tight
16,253x253,9.9235376329220126e-01,2.5632100736440785e-03,1,False,not tight
17,253x253,9.9250847821806876e-01,2.5294003702357459e-03,1,False,not tight
18,253x253,9.9294925345064289e-01,2.3823492910216609e-03,1,False,not tight
19,253x253,9.9414911541447759e-01,1.8988663270352814e-03,1,False,not tight
20,91x91,9.9989601369371650e-01,3.1268149967602775e-05,1,True,tight
21,13x13,9.9999815748054888e-01,1.5460542748541948e-07,1,True,tight
22,22x22,9.8044299017857461e-01,1.9535945123967717e-02,2,False,not tight
23,13x13,9.9999815784040591e-01,1.5429948316442291e-07,1,True,tight
24,22x22,9.8044299000192614e-01,1.9535945133268805e-02,2,False,not tight
25,22x22,9.7945796835795162e-01,2.0518125024275431e-02,2,False,not tight
26,22x22,9.6997139984164782e-01,1.8976051067941885e-02,2,False,not tight
27,22x22,8.8903522506639543e-01,1.1078738527888005e-01,2,False,not tight
28,22x22,5.1128502601984704e-01,3.6866490051043860e-01,4,False,not tight
29,22x22,9.8041401173307885e-01,1.9564704767926478e-02,2,False,not tight
30,22x22,9.7975546747264630e-01,2.0222749253050603e-02,2,False,not tight
31,22x22,9.7943265942491453e-01,2.0546021453535849e-02,2,False,not tight
32,22x22,9.8048393884689067e-01,1.9495189747204426e-02,2,False,not tight
33,22x22,9.8048528458150175e-01,1.9493843544866371e-02,2,False,not tight
34,22x22,9.7194221249912538e-01,1.8056666299804090e-02,2,False,not tight
35,22x22,9.8236768700699195e-01,1.6189721646329706e-02,2,False,not tight
36,22x22,4.3604863417108286e-01,2.9295648092675303e-01,4,False,not tight
37,22x22,7.8827118923302808e-01,1.8954769319962736e-01,3,False,not tight
38,22x22,9.7138224996789579e-01,1.8249498435586611e-02,2,False,not tight
39,22x22,9.7262438747655189e-01,1.8100050570882369e-02,2,False,not tight
40,22x22,9.7880341396064074e-01,1.7511879747051148e-02,2,False,not tight
41,22x22,9.7156919280390552e-01,1.8211406334791069e-02,2,False,not tight
42,22x22,9.7381106756145897e-01,1.8153082059652562e-02,2,False,not tight
43,22x22,9.8251806492454319e-01,1.6065937851506264e-02,2,False,not tight
44,22x22,9.7558440305747463e-01,2.1440530216496563e-02,2,False,not tight
45,22x22,9.5868354374301468e-01,3.8498788082957661e-02,2,False,not tight
46,22x22,9.3977514743165080e-01,5.0744058494306125e-02,2,False,not tight
47,22x22,9.8241274907220466e-01,1.6165030289831316e-02,2,False,not tight
48,22x22,9.8348026697909818e-01,1.5162136473030684e-02,2,False,not tight
49,22x22,9.8990525909823157e-01,4.0373294538538392e-03,1,False,not tight
50,22x22,9.8246159976022063e-01,1.6149809783414810e-02,2,False,not tight
51,22x22,9.8182436845432619e-01,1.6557060975511274e-02,2,False,not tight
52,22x22,9.7502166039836169e-01,2.1899043501569085e-02,2,False,not tight
53,22x22,5.1741683694103768e-01,3.7657091649987845e-01,3,False,not tight
54,22x22,9.8017109915701017e-01,1.8027814168154101e-02,2,False,not tight
55,22x22,4.7475382968623314e-01,4.6308722461227469e-01,3,False,not tight
56,22x22,9.6755976156372681e-01,2.8340782838670218e-02,2,False,not tight
57,22x22,9.4025618117731535e-01,5.0413879042460787e-02,2,False,not tight
58,22x22,9.2263763689526956e-01,4.2441858586665035e-02,4,False,not tight
59,22x22,9.5850472194581815e-01,3.5584630371330930e-02,2,False,not tight
60,22x22,9.7270667161744151e-01,2.3696929258183574e-02,2,False,not tight
61,22x22,5.2413405481678554e-01,3.7232385963145148e-01,3,False,not tight
62,22x22,9.1614133602212244e-01,6.3151221648996406e-02,3,False,not tight
63,22x22,5.0568694410098392e-01,4.1629385135956953e-01,3,False,not tight
64,22x22,9.4492651654146331e-01,4.6358997373294027e-02,2,False,not tight
65,22x22,4.7967426718727868e-01,4.2927833059481946e-01,3,False,not tight
66,22x22,4.7772638605889001e-01,4.4098049191541389e-01,3,False,not tight
67,22x22,4.9797819882653860e-01,4.4676109552483767e-01,3,False,not tight
68,22x22,4.6899177719819524e-01,4.4185817170593866e-01,3,False,not tight
69,22x22,4.9854492601248562e-01,4.2393732887981006e-01,3,False,not tight
70,22x22,9.5871012921393628e-01,2.9348341817459943e-02,2,False,not tight
71,22x22,9.6666940818823510e-01,2.7789428171160434e-02,2,False,not tight
72,22x22,9.4819364478093437e-01,4.0135391034075797e-02,2,False,not tight
73,22x22,9.6849456025995118e-01,2.6949575443686317e-02,2,False,not tight
74,22x22,9.2566532716714689e-01,5.4544358581007285e-02,3,False,not tight
75,22x22,8.4603209664298262e-01,1.3149353574058786e-01,3,False,not tight
76,22x22,9.3752685308347339e-01,4.8962691006760047e-02,2,False,not tight
77,22x22,9.0605538105179517e-01,7.2486468622672301e-02,3,False,not tight
