Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 196

Worst rank proxy: 6
Minimum dominant weight: 4.3604863e-01
Maximum second weight: 4.6308722e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
101     22x22       9.63457905e-01       3.13296179e-02      2            not tight
102     22x22       9.66356619e-01       2.99014700e-02      2            not tight
103     22x22       7.29901785e-01       1.51293264e-01      3            not tight
104     22x22       9.58570573e-01       3.67226440e-02      2            not tight
105     22x22       9.53394259e-01       4.02707213e-02      2            not tight
106     22x22       9.63548430e-01       3.50704043e-02      2            not tight
107     22x22       9.86790501e-01       1.16104248e-02      2            not tight
108     22x22       9.63319282e-01       3.55758017e-02      2            not tight
109     22x22       9.88245368e-01       1.05632542e-02      2            not tight
110     22x22       9.62288428e-01       3.57844922e-02      2            not tight
111     22x22       9.62783535e-01       3.63142010e-02      2            not tight
112     22x22       9.58443523e-01       4.00738062e-02      2            not tight
113     22x22       9.63019962e-01       3.56095837e-02      2            not tight
114     22x22       9.62685196e-01       3.56332524e-02      2            not tight
115     22x22       9.86087116e-01       1.23710252e-02      2            not tight
116     22x22       9.97528434e-01       1.31647356e-03      1            not tight
117     22x22       9.87317184e-01       1.13991487e-02      2            not tight
118     22x22       9.98601523e-01       6.87082353e-04      1            not tight
119     22x22       9.85766609e-01       1.22727876e-02      2            not tight
120     22x22       9.86604009e-01       1.23082965e-02      2            not tight
121     22x22       9.90395333e-01       8.93505315e-03      1            not tight
122     22x22       9.85699155e-01       1.26653353e-02      2            not tight
123     22x22       9.86787677e-01       1.16439948e-02      2            not tight
124     22x22       9.96997968e-01       1.84665874e-03      1            not tight
125     22x22       9.98815742e-01       6.07801443e-04      1            not tight
126     22x22       9.97878278e-01       1.10790094e-03      1            not tight
127     22x22       9.99284472e-01       3.27106216e-04      1            tight
128     22x22       9.96832005e-01       1.72514926e-03      1            not tight
129     22x22       9.97411551e-01       1.70002004e-03      1            not tight
130     22x22       9.99383354e-01       3.70107032e-04      1            tight
131     22x22       9.96713369e-01       2.00014138e-03      1            not tight
132     22x22       9.97397491e-01       1.50031757e-03      1            not tight
133     22x22       9.98652433e-01       7.89111441e-04      1            not tight
134     22x22       9.99234151e-01       3.86259968e-04      1            tight
135     22x22       9.99026454e-01       4.83898548e-04      1            tight
136     22x22       9.99492210e-01       2.33395064e-04      1            tight
137     22x22       9.98508004e-01       7.53039153e-04      1            not tight
138     22x22       9.98903158e-01       7.11567212e-04      1            not tight
139     22x22       9.99495523e-01       2.51131808e-04      1            tight
140     22x22       9.98507115e-01       8.56180114e-04      1            not tight
141     22x22       9.98717352e-01       6.91980505e-04      1            not tight
142     22x22       9.99169497e-01       4.64400175e-04      1            tight
143     22x22       9.99338246e-01       3.39836488e-04      1            tight
144     22x22       9.99423473e-01       2.74352987e-04      1            tight
145     22x22       9.99556195e-01       2.08847064e-04      1            tight
146     22x22       9.99031761e-01       4.65178434e-04      1            tight
147     22x22       9.99366076e-01       4.19987152e-04      1            tight
148     22x22       9.99518565e-01       2.46934172e-04      1            tight
149     22x22       9.99063189e-01       5.12581955e-04      1            tight
150     22x22       9.99115157e-01       4.61155245e-04      1            tight
151     22x22       9.99288845e-01       3.96057644e-04      1            tight
152     22x22       9.99361430e-01       3.33287458e-04      1            tight
153     22x22       9.99527413e-01       2.28396977e-04      1            tight
154     22x22       9.99577740e-01       2.03787974e-04      1            tight
155     22x22       9.99162492e-01       4.00338015e-04      1            tight
156     22x22       9.99481782e-01       3.59561113e-04      1            tight
157     22x22       9.99522354e-01       2.48898288e-04      1            tight
158     22x22       9.99201806e-01       4.38857428e-04      1            tight
159     22x22       9.99213525e-01       4.09896232e-04      1            tight
160     22x22       9.99317682e-01       3.83355322e-04      1            tight
161     22x22       9.99370717e-01       3.31491330e-04      1            tight
162     22x22       9.99555584e-01       2.20103023e-04      1            tight
163     22x22       9.99588913e-01       2.01434625e-04      1            tight
164     22x22       9.99198254e-01       3.84543585e-04      1            tight
165     22x22       9.99512384e-01       3.49999072e-04      1            tight
166     22x22       9.99517434e-01       2.51833568e-04      1            tight
167     22x22       9.99241254e-01       4.24825874e-04      1            tight
168     22x22       9.99237638e-01       4.00585151e-04      1            tight
169     22x22       9.99328948e-01       3.80405661e-04      1            tight
170     22x22       9.99409651e-01       3.08286453e-04      1            tight
171     22x22       9.99566190e-01       2.18017330e-04      1            tight
172     22x22       9.99624671e-01       1.80882912e-04      1            tight
173     22x22       9.99216667e-01       3.77480309e-04      1            tight
174     22x22       9.99521075e-01       3.48979206e-04      1            tight
175     22x22       9.99521248e-01       2.52730469e-04      1            tight
176     22x22       9.99257896e-01       4.21247481e-04      1            tight
177     22x22       9.99253414e-01       3.97562635e-04      1            tight
178     22x22       9.99355590e-01       3.65213270e-04      1            tight
179     22x22       9.99539798e-01       1.98115699e-04      1            tight
180     22x22       9.99574664e-01       2.17114906e-04      1            tight
181     22x22       9.99724849e-01       1.09667571e-04      1            tight
182     22x22       9.99264332e-01       3.51550660e-04      1            tight
183     22x22       9.99547165e-01       3.31312397e-04      1            tight
184     22x22       9.99555326e-01       2.32467581e-04      1            tight
185     22x22       9.99301076e-01       3.97744512e-04      1            tight
186     22x22       9.99305109e-01       3.71438378e-04      1            tight
187     22x22       9.99580817e-01       2.38842934e-04      1            tight
188     13x13       9.99961503e-01       1.74839081e-05      1            tight
189     22x22       9.99616249e-01       1.65505648e-04      1            tight
190     13x13       9.99971967e-01       1.08041946e-05      1            tight
191     22x22       9.99413094e-01       2.59838299e-04      1            tight
192     22x22       9.99675517e-01       2.17615076e-04      1            tight
193     22x22       9.99720542e-01       1.44221807e-04      1            tight
194     22x22       9.99451327e-01       2.68917724e-04      1            tight
195     22x22       9.99489783e-01       2.43767328e-04      1            tight
