k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,9.9619465459665857e-01,-8.7155739000843113e-02,8.7155739000843113e-02,9.9619465459665857e-01,9.9619465462380830e-01,-8.7155738972631666e-02,8.7155738972631666e-02,9.9619465462380830e-01,9.9999995585755896e-01,2.2728956398315186e-10,-2.2728956398315186e-10,9.9999995585755896e-01,9.9999995629561833e-01,1.0120352705800343e-10,-1.0120352705800343e-10,9.9999995629561833e-01,8.7266462658005792e-02,8.7266462627535443e-02,5.0000000033397320e+00,5.0000000015939090e+00,-2.2728957401626847e-10,-1.3022733318458523e-08,-1.0120353148104120e-10,-5.7985352256830219e-09,nan,nan,nan,nan,nan,1.2347818379186145e-07,1.2340863937257049e-07,-8.7312261087824083e-08,-8.7263085868372059e-08,1.2485367475196633e-07,-8.8284880073175032e-08,1.2361465591435177e-07,-8.7408761451079897e-08
1.0000000000000000e+00,9.9619466377834798e-01,-8.7155739686846145e-02,8.7155739686846145e-02,9.9619466377834798e-01,9.9619466398457490e-01,-8.7155739746214059e-02,8.7155739746214059e-02,9.9619466398457490e-01,9.0257305213799222e-01,4.2995390300635106e-01,-4.2995390300635106e-01,9.0257305213799222e-01,5.0239147647725746e-01,-8.6308460131249876e-01,8.6308460131249876e-01,5.0239147647725746e-01,8.7266462541161410e-02,8.7266462582329549e-02,4.9999999966450419e+00,4.9999999990038022e+00,-4.4456118557569851e-01,-2.5471479668819697e+01,1.0436512941781282e+00,5.9796814439773051e+01,-2.6579804120385044e+00,5.1375431057223437e+00,-1.9924803503252722e-02,-2.4507567815960725e+00,3.6870591001285948e+00,9.7438158914150150e-08,9.6842445738142058e-08,-6.8899182803505710e-08,-6.8477949977108210e-08,7.0926606455801536e-04,-5.0152684391435720e-04,3.8010883387883262e-03,-2.6877753402463345e-03
2.0000000000000000e+00,9.3656242938428347e-01,3.4984718436179962e-01,-3.4984718436179962e-01,9.3656242938428347e-01,4.2486613896698555e-01,-9.0395239641192415e-01,9.0395239641192415e-01,4.2486613896698555e-01,9.7454515392146501e-01,2.2382806809207584e-01,-2.2382806809207584e-01,9.7454515392146501e-01,5.0334952055304361e-01,-8.6291649393491188e-01,8.6291649393491188e-01,5.0334952055304361e-01,-3.5749348050509389e-01,1.1314277262547341e+00,-2.0482867636384253e+01,6.4826033538479308e+01,-2.2575911959280240e-01,-1.2935044739256790e+01,1.0427378175400130e+00,5.9744476083725253e+01,1.0158964575728013e+00,-1.6692519755102833e+00,3.5103062351859365e-01,3.3991280624336895e+00,-3.2372908064126977e+00,6.4737529339181470e-04,3.3358879354367533e-03,-4.5776345992998291e-04,-2.3588289804257201e-03,2.3014756283916277e-04,-1.6273890235707356e-04,2.8487700976648936e-03,-2.0143846541003096e-03
3.0000000000000000e+00,8.3376638542204673e-01,5.4677998745001477e-01,-5.4677998745001477e-01,8.3376638542204673e-01,-5.7172864346941776e-01,-8.1212201958719255e-01,8.1212201958719255e-01,-5.7172864346941776e-01,9.7015943396250659e-01,-2.3926737605299475e-01,2.3926737605299475e-01,9.7015943396250659e-01,5.5082234227087756e-01,-8.2289213193236699e-01,8.2289213193236699e-01,5.5082234227087756e-01,-5.8043838785333890e-01,2.1841974839812761e+00,-3.3256669891373868e+01,1.2514529745522036e+02,2.4180143322756800e-01,1.3854201604154033e+01,9.8092197138152504e-01,5.6202688991813908e+01,2.4563946114753450e+00,9.5335965519275128e+00,9.6778549088769747e-02,-5.7701147987279633e+00,4.6170856758974379e+00,8.2947300471007002e-03,1.9210936593542904e-02,-5.8652598644166609e-03,-1.3584183538239092e-02,2.1804280361678607e-03,-1.5417954502635611e-03,2.7496959407462766e-02,-1.9443286459028153e-02
4.0000000000000000e+00,9.3621673975635455e-01,3.1018827272753546e-01,-3.1018827272753546e-01,9.3621673975635455e-01,-9.5420019747087004e-01,1.3022214707304389e-02,-1.3022214707304389e-02,-9.5420019747087004e-01,8.4809837215897299e-01,-4.9207161230090635e-01,4.9207161230090635e-01,8.4809837215897299e-01,9.3363873928843932e-01,1.5180571731954845e-01,-1.5180571731954845e-01,9.3363873928843932e-01,-3.1993836841739182e-01,-3.1279462443980486e+00,-1.8331118214618183e+01,-1.7921811834780451e+02,5.2573779131217369e-01,3.0122556572717190e+01,-1.6118521719125836e-01,-9.2352326649586249e+00,9.6097152083034008e+00,9.9851400775867614e+00,-7.6944875569501567e+00,-7.2489448540877088e+00,-1.1914285399493414e+01,3.8581798942037025e-02,1.2633509881034791e-01,-2.7281451662290457e-02,-8.9332405070669418e-02,5.4581119196910444e-02,-3.8594679508886509e-02,1.4887953487355657e-01,-1.0527372868899088e-01
5.0000000000000000e+00,9.6980226156761584e-01,-1.7292043569356816e-01,1.7292043569356816e-01,9.6980226156761584e-01,-9.5300765025976841e-01,-1.3178452932741591e-01,1.3178452932741591e-01,-9.5300765025976841e-01,7.7886115011963297e-01,-5.1735162473438079e-01,5.1735162473438079e-01,7.7886115011963297e-01,8.7405592696076506e-01,-1.4138114461045562e-01,1.4138114461045562e-01,8.7405592696076506e-01,1.7645049241203073e-01,3.0041813356626843e+00,1.0109868508214518e+01,1.7212691142544631e+02,5.8632151819294420e-01,3.3593748430158620e+01,1.6036401010689730e-01,9.1881809649184927e+00,-1.9493698582436517e-01,-7.3885984398656512e-01,9.7066723826268120e-01,1.4562835323799654e+00,1.7365655407770013e+00,4.1835401901031882e-02,1.0523057953346915e-01,-2.9582096377884115e-02,-7.4409256376306354e-02,1.7779861339761516e-01,-1.2572260521901901e-01,3.0552331591400839e-01,-2.1603760849339515e-01
6.0000000000000000e+00,6.8813405686040019e-01,-6.3783100087246514e-01,6.3783100087246514e-01,6.8813405686040019e-01,-9.7753548886667319e-01,-9.9966820529280576e-02,9.9966820529280576e-02,-9.7753548886667319e-01,8.3000662307704431e-01,-4.6275647019718325e-01,4.6275647019718325e-01,8.3000662307704431e-01,9.4112657864887395e-01,-2.0420337438407610e-01,2.0420337438407610e-01,9.4112657864887395e-01,7.4747940809630753e-01,3.0396827901264594e+00,4.2827415356855319e+01,1.7416099493279651e+02,5.0860865809473310e-01,2.9141129532640502e+01,2.1366560215388233e-01,1.2242137230538809e+01,-4.3353765989348441e+00,6.8924379871592290e-01,3.3016993008521323e+00,2.3013393446576336e-01,4.0058502928429247e+00,1.6920094291008209e-01,4.8692791125103572e-02,-1.1964313411487681e-01,-3.4431002799460875e-02,1.3710157718500054e-01,-9.6945454938884734e-02,1.0264608794873567e-01,-7.2581744850821805e-02
7.0000000000000000e+00,2.4481066816454447e-01,-9.5310680159526684e-01,9.5310680159526684e-01,2.4481066816454447e-01,-9.6361974231451308e-01,9.3461293047108179e-02,-9.3461293047108179e-02,-9.6361974231451308e-01,5.4254097345045182e-01,-8.2906329339910445e-01,8.2906329339910445e-01,5.4254097345045182e-01,5.1584808355515288e-01,-8.1159659596173417e-01,8.1159659596173417e-01,5.1584808355515288e-01,1.3193759635846165e+00,-3.0449052696870100e+00,7.5594674304404720e+01,-1.7446022097020941e+02,9.9133252616242185e-01,5.6799169843149038e+01,1.0046132074820358e+00,5.7560096831821149e+01,-6.8729265309051586e+00,-3.6197591250510697e+00,5.9207317648731932e+00,3.1006587777369408e+00,8.5789250679499549e+00,4.4767158720429155e-02,8.8673988981491758e-02,-3.1655161505669938e-02,-6.2701978923673907e-02,2.5884842505615641e-02,-1.8303347665666436e-02,1.0636543463717607e-01,-7.5211720115801572e-02
8.0000000000000000e+00,-6.8149687669117109e-01,-7.1537021324249261e-01,7.1537021324249261e-01,-6.8149687669117109e-01,-4.4538934933156837e-01,8.7695225666199739e-01,-8.7695225666199739e-01,-4.4538934933156837e-01,8.9559395245058815e-01,-4.3160712313913352e-01,4.3160712313913352e-01,8.9559395245058815e-01,7.3883053477341942e-01,6.4670278483338572e-01,-6.4670278483338572e-01,7.3883053477341942e-01,2.3319497359648365e+00,-2.0407306172093200e+00,1.3361087790743181e+02,-1.1692525148922161e+02,4.4908152633349330e-01,2.5730476116202304e+01,-7.1900327139984332e-01,-4.1195852907310311e+01,-2.4615621774075822e+00,9.9744432462096295e+00,-6.4155209994945717e-01,-4.5188610973527181e+00,-1.0120649801097489e+01,3.3668839981451926e-02,4.6079415308048662e-02,-2.3807465065569522e-02,-3.2583067037432412e-02,1.6442726754768801e-02,-1.1626763589494549e-02,5.0777265796994653e-02,-3.5904948975166717e-02
9.0000000000000000e+00,-9.3222105682717538e-01,-3.5364299990152592e-01,3.5364299990152592e-01,-9.3222105682717538e-01,-9.2108084786009403e-01,3.8243945982171135e-01,-3.8243945982171135e-01,-9.2108084786009403e-01,9.0325052055993549e-01,-4.2432420978960356e-01,4.2432420978960356e-01,9.0325052055993549e-01,6.5692491949164245e-01,7.4669427048228720e-01,-7.4669427048228720e-01,6.5692491949164245e-01,2.7790091150370708e+00,-2.7480456916033758e+00,1.5922549352001005e+02,-1.5745142003798284e+02,4.3917630577760564e-01,2.5162948783203714e+01,-8.4926680806394117e-01,-4.8659403782610781e+01,5.4420046480124540e-01,9.9735777900116673e+00,-1.2366196969774716e+00,-6.4579948899638655e+00,-4.0590414964746238e+00,8.3446093088972249e-03,7.5662282118555066e-03,-5.9005298286736174e-03,-5.3501312766079945e-03,5.7805443299174331e-03,-4.0874620946340645e-03,1.5411132900660388e-02,-1.0897316579823957e-02
