k,kin_error_link1,kin_error_link2
0,2.7713252187698384e-08,2.7835033481509423e-08
1,1.5180897497058435e-06,1.1617348099559912e-06
2,4.6286183828375384e-04,4.0707494021262700e-03
3,4.0502236359687954e-03,1.0604058253444697e-02
4,3.7302448063238384e-04,5.4407861904574245e-03
5,1.5263694951409752e-03,6.1972329319575940e-03
6,2.9398832011856915e-04,3.1458028934177478e-03
7,1.3315470826381166e-03,2.2071425165277820e-03
8,2.0771591466279744e-03,2.1456595876373865e-03
9,5.4167438473017625e-03,4.7533290718115573e-03
10,5.7872856801776063e-02,2.3431865924469115e-02
11,6.8808285868238062e-02,2.7103966572968007e-02
12,6.2140578799063338e-02,5.5842617392251812e-02
13,1.0616020608508010e-01,4.5058794444025774e-02
14,6.3939808462035314e-03,2.5395970310311913e-03
15,4.1126046393381585e-03,1.4461877460434233e-03
16,3.1854469403652282e-03,2.6386084935413152e-03
17,2.1972469512270645e-03,2.2138962909705965e-03
18,8.2404283084582832e-04,1.0126455131805260e-03
19,7.3958553610962974e-04,2.5406001013236388e-04
