Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 196

Worst rank proxy: 6
Minimum dominant weight: 5.8182597e-01
Maximum second weight: 2.8192376e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       91x91       9.99999592e-01       4.86352067e-09      1            tight
1       253x253     8.49893329e-01       1.25984474e-01      3            not tight
2       253x253     9.81934975e-01       1.04959203e-02      2            not tight
3       253x253     9.75012700e-01       1.99778724e-02      2            not tight
4       253x253     9.96922081e-01       2.44222007e-03      1            not tight
5       253x253     5.81825968e-01       2.14442987e-01      6            not tight
6       253x253     9.60606983e-01       2.26818904e-02      2            not tight
7       253x253     9.66144678e-01       1.70478435e-02      2            not tight
8       253x253     9.92137060e-01       2.79025094e-03      1            not tight
9       253x253     9.79616963e-01       1.26363577e-02      2            not tight
10      253x253     9.82167299e-01       8.11816367e-03      1            not tight
11      253x253     9.92215831e-01       4.69973388e-03      1            not tight
12      253x253     9.77177853e-01       9.41130230e-03      1            not tight
13      253x253     9.87223718e-01       4.45303826e-03      1            not tight
14      253x253     9.94843452e-01       1.89777736e-03      1            not tight
15      253x253     9.97418413e-01       8.08770623e-04      1            not tight
16      253x253     9.98238310e-01       5.73047270e-04      1            not tight
17      253x253     9.98458003e-01       5.15439800e-04      1            not tight
18      253x253     9.98586504e-01       4.77002457e-04      1            not tight
19      253x253     9.98838799e-01       3.77781429e-04      1            not tight
20      91x91       9.99979410e-01       6.12999493e-06      1            tight
21      13x13       9.99999552e-01       3.75342305e-08      1            tight
22      22x22       9.66271506e-01       3.35623853e-02      2            not tight
23      13x13       9.99999458e-01       4.53646365e-08      1            tight
24      22x22       9.66271423e-01       3.35623864e-02      2            not tight
25      22x22       9.64349192e-01       3.54794036e-02      2            not tight
26      22x22       9.76507631e-01       2.19122854e-02      2            not tight
27      22x22       9.51820028e-01       4.79779116e-02      2            not tight
28      22x22       8.17534124e-01       1.66357542e-01      3            not tight
29      22x22       9.66321459e-01       3.35139162e-02      2            not tight
30      22x22       9.66793770e-01       3.30480105e-02      2            not tight
31      22x22       9.73390396e-01       2.65349650e-02      2            not tight
32      22x22       9.66296021e-01       3.35383932e-02      2            not tight
33      22x22       9.68947861e-01       3.09234671e-02      2            not tight
34      22x22       9.78974450e-01       1.96946286e-02      2            not tight
35      22x22       9.90459953e-01       8.26145432e-03      1            not tight
36      22x22       9.96638819e-01       2.85302135e-03      1            not tight
37      22x22       9.94240959e-01       5.06648042e-03      1            not tight
38      22x22       9.78148493e-01       2.04453405e-02      2            not tight
39      22x22       9.77832769e-01       2.07904786e-02      2            not tight
40      22x22       9.74413255e-01       2.42139649e-02      2            not tight
41      22x22       9.78033373e-01       2.04696111e-02      2            not tight
42      22x22       9.78122017e-01       2.05068732e-02      2            not tight
43      22x22       9.90621018e-01       8.08099977e-03      1            not tight
44      22x22       9.97374833e-01       2.31140015e-03      1            not tight
45      22x22       9.65225398e-01       2.42507396e-02      2            not tight
46      22x22       7.64264192e-01       2.09223086e-01      3            not tight
47      22x22       9.90459009e-01       8.27615611e-03      1            not tight
48      22x22       9.91403524e-01       7.47269519e-03      1            not tight
49      22x22       9.97258375e-01       2.03912345e-03      1            not tight
50      22x22       9.90797912e-01       7.98482406e-03      1            not tight
51      22x22       9.92474204e-01       6.42746146e-03      1            not tight
52      22x22       9.96833346e-01       2.78278615e-03      1            not tight
53      22x22       8.41587527e-01       1.07772818e-01      3            not tight
54      22x22       9.98467169e-01       1.40868278e-03      1            not tight
55      22x22       8.96681535e-01       7.09163878e-02      3            not tight
56      22x22       9.96824216e-01       2.78279729e-03      1            not tight
57      22x22       9.89819264e-01       8.82881654e-03      1            not tight
58      22x22       8.85150061e-01       1.02528543e-01      2            not tight
59      22x22       9.95908549e-01       3.56675925e-03      1            not tight
60      22x22       9.96210348e-01       3.30653212e-03      1            not tight
61      22x22       8.81661005e-01       7.23589300e-02      3            not tight
62      22x22       9.76782134e-01       1.87791211e-02      2            not tight
63      22x22       9.01326654e-01       5.88788232e-02      3            not tight
64      22x22       9.79752810e-01       1.81853225e-02      2            not tight
65      22x22       8.66529013e-01       9.08695672e-02      3            not tight
66      22x22       8.72947954e-01       8.90859982e-02      3            not tight
67      22x22       8.87241381e-01       8.25439650e-02      3            not tight
68      22x22       8.72318917e-01       8.67002553e-02      3            not tight
69      22x22       8.74457634e-01       8.72514052e-02      3            not tight
70      22x22       9.79916677e-01       1.64767918e-02      2            not tight
71      22x22       9.91544539e-01       6.26640662e-03      1            not tight
72      22x22       9.81388689e-01       1.62655610e-02      2            not tight
73      22x22       9.94060677e-01       5.07830078e-03      1            not tight
74      22x22       9.74200190e-01       2.00872811e-02      2            not tight
75      22x22       9.76769138e-01       1.98730060e-02      2            not tight
76      22x22       9.78374641e-01       1.81424401e-02      2            not tight
77      22x22       9.73676641e-01       2.08652876e-02      2            not tight
78      22x22       9.76872058e-01       1.85409175e-02      2            not tight
79      22x22       6.43479622e-01       2.81923755e-01      3            not tight
80      22x22       8.30381767e-01       1.11460664e-01      3            not tight
81      22x22       9.13711374e-01       5.73020015e-02      3            not tight
82      22x22       9.34740954e-01       4.85961997e-02      3            not tight
83      22x22       9.73294456e-01       2.22445764e-02      2            not tight
84      22x22       9.83402364e-01       1.34764653e-02      2            not tight
85      22x22       9.78400536e-01       1.86626239e-02      2            not tight
86      22x22       9.71512861e-01       2.37797656e-02      2            not tight
87      22x22       9.75095864e-01       2.08881295e-02      2            not tight
88      22x22       9.95742821e-01       2.64632760e-03      1            not tight
89      22x22       9.91308508e-01       7.28633351e-03      1            not tight
90      22x22       9.97198387e-01       1.93008316e-03      1            not tight
91      22x22       9.97920154e-01       1.08715624e-03      1            not tight
92      22x22       9.92965114e-01       4.00009440e-03      1            not tight
93      22x22       9.96454597e-01       2.42377248e-03      1            not tight
