block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
83,22x22,9.7329445579588791e-01,2.2244576385686800e-02,2,False,not tight
84,22x22,9.8340236397357617e-01,1.3476465333773042e-02,2,False,not tight
85,22x22,9.7840053587398002e-01,1.8662623925264639e-02,2,False,not tight
86,22x22,9.7151286066881992e-01,2.3779765550740229e-02,2,False,not tight
87,22x22,9.7509586370989476e-01,2.0888129541707448e-02,2,False,not tight
88,22x22,9.9574282113733170e-01,2.6463276046700041e-03,1,False,not tight
89,22x22,9.9130850820966465e-01,7.2863335071613015e-03,1,False,not tight
90,22x22,9.9719838732948485e-01,1.9300831640013307e-03,1,False,not tight
91,22x22,9.9792015356234132e-01,1.0871562382845914e-03,1,False,not tight
92,22x22,9.9296511433321932e-01,4.0000943979020516e-03,1,False,not tight
93,22x22,9.9645459655704183e-01,2.4237724769610443e-03,1,False,not tight
94,22x22,7.5512021661665751e-01,1.7000638397980145e-01,3,False,not tight
95,22x22,9.9562778600832624e-01,2.5823720508725066e-03,1,False,not tight
96,22x22,9.9423683070029145e-01,3.2071785334688240e-03,1,False,not tight
97,22x22,9.8847159920487515e-01,1.0434221088743466e-02,2,False,not tight
98,22x22,9.8858826437881231e-01,1.0044868485721909e-02,2,False,not tight
99,22x22,9.1190800950077455e-01,6.5125983149494318e-02,3,False,not tight
100,22x22,8.8884260439969842e-01,9.1426596689972772e-02,3,False,not tight
101,22x22,9.9091297620971786e-01,7.6071215427771276e-03,1,False,not tight
102,22x22,9.9241896609296276e-01,7.1599507032436491e-03,1,False,not tight
103,22x22,6.7604937674674448e-01,2.0428287377088422e-01,4,False,not tight
104,22x22,9.8971473314172531e-01,9.3997342971811823e-03,1,False,not tight
105,22x22,9.8653338787671940e-01,1.1174184210170923e-02,2,False,not tight
106,22x22,9.8955657736262426e-01,9.2911283082380905e-03,1,False,not tight
107,22x22,9.9623062130937168e-01,3.0940036313484910e-03,1,False,not tight
108,22x22,9.8244036517963107e-01,1.6282735502585830e-02,2,False,not tight
109,22x22,9.9438129421945154e-01,4.7434581696710514e-03,1,False,not tight
110,22x22,9.8837281320711212e-01,1.0058187863802902e-02,2,False,not tight
111,22x22,9.8880195621699862e-01,1.0413859805360160e-02,2,False,not tight
112,22x22,9.9246873216415599e-01,6.5991034357312968e-03,1,False,not tight
113,22x22,9.8936953596702604e-01,9.5775659219624488e-03,1,False,not tight
114,22x22,9.9043758440632790e-01,8.3526971435752533e-03,1,False,not tight
115,22x22,9.9586847454897209e-01,3.5256504093955274e-03,1,False,not tight
116,22x22,9.9749752268655656e-01,1.5848271108072792e-03,1,False,not tight
117,22x22,9.9684363957812128e-01,2.7102973814502364e-03,1,False,not tight
118,22x22,9.9883900212422305e-01,5.9848525959233976e-04,1,False,not tight
119,22x22,9.9562872052728801e-01,3.5561578901284652e-03,1,False,not tight
120,22x22,9.9610464947285904e-01,3.4861358239946694e-03,1,False,not tight
121,22x22,9.9650455966346130e-01,2.7347376045256263e-03,1,False,not tight
122,22x22,9.9572410091156260e-01,3.6690149066141093e-03,1,False,not tight
123,22x22,9.9527419843513076e-01,3.8426716795260016e-03,1,False,not tight
124,22x22,9.9708322914297820e-01,2.0482425554858943e-03,1,False,not tight
125,22x22,9.9885992261843337e-01,5.9175484650447773e-04,1,False,not tight
126,22x22,9.9807617206366805e-01,1.2675973885220464e-03,1,False,not tight
127,22x22,9.9941762418882107e-01,2.5694877048260334e-04,1,True,tight
128,22x22,9.9696704954419502e-01,1.9287543127084080e-03,1,False,not tight
129,22x22,9.9747627950890183e-01,1.9603045789300250e-03,1,False,not tight
130,22x22,9.9926050000162980e-01,4.6345332715036860e-04,1,True,tight
131,22x22,9.9688294649991582e-01,2.2329597884430887e-03,1,False,not tight
132,22x22,9.9747298970884557e-01,1.7053913025410247e-03,1,False,not tight
133,22x22,9.9864715747123523e-01,8.3154708308054665e-04,1,False,not tight
134,22x22,9.9953887385272577e-01,2.6057195648889495e-04,1,True,tight
135,22x22,9.9916693085894237e-01,4.6902399381943164e-04,1,True,tight
136,22x22,9.9977255722644942e-01,1.1636761746065888e-04,1,True,tight
137,22x22,9.9857261040063827e-01,7.5896178968370498e-04,1,False,not tight
138,22x22,9.9896133521455810e-01,7.7031757443524326e-04,1,False,not tight
139,22x22,9.9971214274153086e-01,1.7299406242772154e-04,1,True,tight
140,22x22,9.9860023650287744e-01,8.9794874404341529e-04,1,False,not tight
141,22x22,9.9888734009379643e-01,6.5728124732534229e-04,1,False,not tight
142,22x22,9.9944765271935043e-01,3.4963046514273116e-04,1,True,tight
143,22x22,9.9977717489539708e-01,1.2113465993733367e-04,1,True,tight
144,22x22,9.9962123555204174e-01,2.1245554505769048e-04,1,True,tight
145,22x22,9.9986809933183207e-01,6.5512738629869594e-05,1,True,tight
146,22x22,9.9941352794031391e-01,3.2813343891950603e-04,1,True,tight
147,22x22,9.9952149081929176e-01,3.3341207498553937e-04,1,True,tight
148,22x22,9.9985813129045864e-01,7.3064908420941501e-05,1,True,tight
149,22x22,9.9939669920954011e-01,3.8327831716978650e-04,1,True,tight
150,22x22,9.9951580767599324e-01,2.8826497361893449e-04,1,True,tight
151,22x22,9.9974062643806694e-01,1.5845528157858768e-04,1,True,tight
152,22x22,9.9985163549891753e-01,7.8156446035482341e-05,1,True,tight
153,22x22,9.9982251939077005e-01,9.4073963581445624e-05,1,True,tight
154,22x22,9.9990497089940034e-01,4.5558538988959862e-05,1,True,tight
155,22x22,9.9971628099015941e-01,1.4898677872684742e-04,1,True,tight
156,22x22,9.9978882072248909e-01,1.4499177050320938e-04,1,True,tight
157,22x22,9.9989988939002683e-01,4.9884573511534127e-05,1,True,tight
158,22x22,9.9971429631063613e-01,1.7222318592187996e-04,1,True,tight
159,22x22,9.9975182374772076e-01,1.4059606627229095e-04,1,True,tight
160,22x22,9.9983737227076819e-01,9.4523414335521597e-05,1,True,tight
161,22x22,9.9987152768491239e-01,6.7885064129471473e-05,1,True,tight
162,22x22,9.9989127619495632e-01,5.4923442406736315e-05,1,True,tight
163,22x22,9.9991573827632274e-01,4.1089037174412311e-05,1,True,tight
164,22x22,9.9981314446508152e-01,9.1874627778220733e-05,1,True,tight
165,22x22,9.9987687313540774e-01,8.6266142704937592e-05,1,True,tight
166,22x22,9.9990445788356064e-01,4.9328016871394662e-05,1,True,tight
167,22x22,9.9981853059959735e-01,1.0401546062982309e-04,1,True,tight
168,22x22,9.9982759116724473e-01,9.3120027960126743e-05,1,True,tight
169,22x22,9.9986147006219273e-01,7.9454509338300190e-05,1,True,tight
170,22x22,9.9988303821751112e-01,6.1302130236417574e-05,1,True,tight
171,22x22,9.9990974640370844e-01,4.5449836138939483e-05,1,True,tight
172,22x22,9.9992523848466308e-01,3.5981605803489973e-05,1,True,tight
173,22x22,9.9983909290912654e-01,7.8094155602353256e-05,1,True,tight
174,22x22,9.9989912836285655e-01,7.2696674632063616e-05,1,True,tight
175,22x22,9.9990624617601742e-01,4.9335611470332024e-05,1,True,tight
176,22x22,9.9984593360660223e-01,8.7741667356769807e-05,1,True,tight
177,22x22,9.9984813508269710e-01,8.1557736219087964e-05,1,True,tight
178,22x22,9.9987163113787936e-01,7.3123037246890438e-05,1,True,tight
179,22x22,9.9990958000150609e-01,3.9007707477974107e-05,1,True,tight
180,22x22,9.9991493589491809e-01,4.3542970378946397e-05,1,True,tight
181,22x22,9.9994583092756151e-01,2.1508394616244071e-05,1,True,tight
182,22x22,9.9985360541893464e-01,7.0100352310024385e-05,1,True,tight
183,22x22,9.9990934412606769e-01,6.6175734053653700e-05,1,True,tight
184,22x22,9.9991237542189682e-01,4.5800003474274669e-05,1,True,tight
185,22x22,9.9986041988564522e-01,7.9447334173987608e-05,1,True,tight
186,22x22,9.9986209752257293e-01,7.3927100895128189e-05,1,True,tight
187,22x22,9.9991742350569701e-01,4.7047792478684934e-05,1,True,tight
188,13x13,9.9999232610648048e-01,3.4409216988479178e-06,1,True,tight
189,22x22,9.9992422763988020e-01,3.2792109079117762e-05,1,True,tight
190,13x13,9.9999437716488371e-01,2.1251044731011055e-06,1,True,tight
191,22x22,9.9988440811388735e-01,5.1034205534486477e-05,1,True,tight
192,22x22,9.9993603371985829e-01,4.2806102487687556e-05,1,True,tight
193,22x22,9.9994459988067996e-01,2.8488918198691348e-05,1,True,tight
194,22x22,9.9989196886830312e-01,5.2859402966663167e-05,1,True,tight
195,22x22,9.9989946189711010e-01,4.7929291868192946e-05,1,True,tight
