k,kin_error_link1,kin_error_link2
0,3.9104430210668935e-08,3.9125732185364759e-08
1,1.3053507438301465e-06,6.1372380299740776e-07
2,1.9736136145497227e-04,2.0657166091198600e-03
3,3.5107954058218873e-04,2.4236278725199488e-04
4,3.4931446658354571e-04,5.4730601911530006e-03
5,3.1153428235029102e-04,7.1077936295927359e-03
6,1.0531815159485853e-03,5.1166662107181137e-03
7,2.1460976765613747e-03,7.9011390176504191e-03
8,1.3338857125607881e-03,2.7202137039191152e-03
9,6.1102611980747967e-04,4.6889778934824378e-03
10,1.9750237195595988e-03,3.1455796580102426e-03
11,9.9475862298759096e-03,1.2706258138396336e-02
12,7.4488614959335982e-03,9.3357960230932395e-03
13,1.0200537622652810e-03,2.9927166435614111e-03
14,5.4016810318712931e-03,2.9096786137040353e-03
15,3.6764561587723007e-03,7.6141672252152282e-03
16,4.1155385495870106e-03,3.6710665301645626e-03
17,2.7068202469850504e-03,1.7099803185365572e-03
18,1.2990526092865229e-03,1.1717777285932707e-03
19,7.1356591665528368e-04,2.0451367191951189e-04
