k,kin_error_link1,kin_error_link2
0,7.4138097877591525e-12,7.9541296316963332e-12
1,5.4091924187863409e-12,7.3672200825775849e-12
2,2.2471666860337233e-11,7.3907049410887535e-11
3,2.5488298161614332e-11,7.4660159017266321e-11
4,3.2435854769675240e-11,7.6465895982902323e-11
5,2.9886769614982098e-11,6.6504050115132557e-11
6,2.9018530543691291e-11,5.7762364493221992e-11
7,2.6643930470122287e-11,5.1207269115457777e-11
8,2.6445439576963583e-11,4.8582156132367321e-11
9,2.4684201470744969e-11,4.7653044889258415e-11
10,2.4645815243677067e-11,4.5987916830344372e-11
11,2.4913813300241419e-11,4.5154297991361307e-11
12,2.5201316970453337e-11,4.5006745884592004e-11
13,2.4018681404923660e-11,4.2580118667751230e-11
14,2.4283715892932858e-11,4.0968720768557553e-11
15,2.4122942568386788e-11,4.1212884837536329e-11
16,2.2768909316220856e-11,4.1673051651536222e-11
17,2.2664427539197329e-11,4.3517966532724823e-11
18,2.6089430896790470e-11,5.1576062618009344e-11
19,1.7615719891628199e-11,2.7889061209752638e-11
