Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 24
Minimum dominant weight: 1.4763278e-01
Maximum second weight: 1.1271324e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
104     22x22       9.99999964e-01       1.13668635e-08      1            tight
105     22x22       9.99999976e-01       6.39433924e-09      1            tight
106     22x22       9.99999974e-01       6.52892120e-09      1            tight
107     22x22       9.99999963e-01       1.01630032e-08      1            tight
108     22x22       9.99999960e-01       1.11184223e-08      1            tight
109     22x22       9.99999957e-01       8.94392966e-09      1            tight
110     22x22       9.99999963e-01       6.87513445e-09      1            tight
111     22x22       9.99999971e-01       7.15968546e-09      1            tight
112     22x22       9.99999975e-01       5.34026683e-09      1            tight
113     22x22       9.99999969e-01       7.91442141e-09      1            tight
114     22x22       9.99999976e-01       5.88979937e-09      1            tight
115     22x22       9.99999974e-01       6.19491826e-09      1            tight
116     22x22       9.99999966e-01       7.97457461e-09      1            tight
117     22x22       9.99999964e-01       8.44796107e-09      1            tight
118     22x22       9.99999961e-01       7.24674966e-09      1            tight
119     22x22       9.99999966e-01       6.33566876e-09      1            tight
120     22x22       9.99999975e-01       5.23132618e-09      1            tight
121     22x22       9.99999978e-01       4.42393171e-09      1            tight
122     22x22       9.99999973e-01       5.72346267e-09      1            tight
123     22x22       9.99999977e-01       5.59628145e-09      1            tight
124     22x22       9.99999976e-01       4.99065166e-09      1            tight
125     22x22       9.99999969e-01       6.83549316e-09      1            tight
126     22x22       9.99999968e-01       6.27431185e-09      1            tight
127     22x22       9.99999965e-01       6.73543746e-09      1            tight
128     22x22       9.99999969e-01       6.15690052e-09      1            tight
129     22x22       9.99999977e-01       4.73631613e-09      1            tight
130     22x22       9.99999980e-01       4.25148617e-09      1            tight
131     22x22       9.99999976e-01       4.43077232e-09      1            tight
132     22x22       9.99999979e-01       5.36696130e-09      1            tight
133     22x22       9.99999978e-01       4.42710969e-09      1            tight
134     22x22       9.99999972e-01       6.39965464e-09      1            tight
135     22x22       9.99999972e-01       5.57705310e-09      1            tight
136     22x22       9.99999968e-01       6.45208794e-09      1            tight
137     22x22       9.99999971e-01       6.10035014e-09      1            tight
138     22x22       9.99999979e-01       4.56049271e-09      1            tight
139     22x22       9.99999981e-01       4.21877147e-09      1            tight
140     22x22       9.99999978e-01       3.69513736e-09      1            tight
141     22x22       9.99999980e-01       5.24691187e-09      1            tight
142     22x22       9.99999979e-01       4.34079112e-09      1            tight
143     22x22       9.99999974e-01       6.20980638e-09      1            tight
144     22x22       9.99999975e-01       5.35887037e-09      1            tight
145     22x22       9.99999970e-01       6.32915299e-09      1            tight
146     22x22       9.99999972e-01       6.06159958e-09      1            tight
147     22x22       9.99999981e-01       4.50194186e-09      1            tight
148     22x22       9.99999982e-01       4.19316142e-09      1            tight
149     22x22       9.99999980e-01       3.35331613e-09      1            tight
150     22x22       9.99999981e-01       5.22027320e-09      1            tight
151     22x22       9.99999981e-01       4.20176078e-09      1            tight
152     22x22       9.99999976e-01       6.13571589e-09      1            tight
