k,kin_error_link1,kin_error_link2
0,1.7904050070319093e-10,1.8175006924355136e-10
1,5.4745177095574209e-10,6.5243149567766806e-10
2,1.1343937803731285e-09,8.6700535161767657e-09
3,5.2475487633824259e-09,2.7847373256272741e-08
4,1.4058776190560562e-08,1.9116153139748174e-08
5,1.9010621430080793e-08,1.5436217369641065e-08
6,2.5413297855592234e-08,1.7189895441826097e-08
7,2.2882242245930044e-08,4.4306764280330138e-08
8,2.0784929298193255e-08,1.9300478845396573e-08
9,1.9299818674029766e-08,1.5357157692648272e-08
10,1.6785852409945786e-08,1.5450113179977245e-08
11,1.3800184008454178e-08,1.4670929839715195e-08
12,1.0698294051589306e-08,1.4026236859364958e-08
13,7.8127854703585978e-09,1.3349897173162483e-08
14,5.5905161771391142e-09,1.2726267154175476e-08
15,4.1837467387127135e-09,1.2228362627933034e-08
16,3.4013666349238529e-09,1.1921056637377989e-08
17,2.9049756719172557e-09,1.1834649509884321e-08
18,2.5988092218297937e-09,1.2953681274199749e-08
19,3.5774802438937483e-10,7.7527188320594821e-09
