Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 25
Minimum dominant weight: 2.2595380e-01
Maximum second weight: 9.7469125e-02
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.99999967e-01       1.39665726e-08      1            tight
1       253x253     9.99999886e-01       4.11253308e-08      1            tight
2       253x253     9.99999841e-01       4.16588510e-08      1            tight
3       253x253     9.99999832e-01       4.10733868e-08      1            tight
4       253x253     9.99999733e-01       6.66764090e-08      1            tight
5       253x253     9.99999763e-01       6.41001233e-08      1            tight
6       253x253     9.99999776e-01       5.49577572e-08      1            tight
7       253x253     9.99999813e-01       4.46104370e-08      1            tight
8       253x253     9.99999832e-01       3.34239974e-08      1            tight
9       253x253     9.99999849e-01       2.36932818e-08      1            tight
10      253x253     9.99999863e-01       1.86943386e-08      1            tight
11      253x253     9.99999875e-01       1.79554358e-08      1            tight
12      253x253     9.99999885e-01       1.77447275e-08      1            tight
13      253x253     9.99999891e-01       1.77663005e-08      1            tight
14      253x253     9.99999896e-01       1.78724567e-08      1            tight
15      253x253     9.99999900e-01       1.79592757e-08      1            tight
16      253x253     9.99999904e-01       1.78833907e-08      1            tight
17      253x253     9.99999909e-01       1.77244779e-08      1            tight
18      253x253     9.99999920e-01       1.15275044e-08      1            tight
19      26x26       9.99999947e-01       1.55688662e-08      1            tight
20      22x22       9.99999889e-01       3.41577872e-08      1            tight
21      26x26       7.30609724e-01       2.37519597e-02      24           not tight
22      22x22       6.60589140e-01       9.74691249e-02      16           not tight
23      26x26       9.99999979e-01       8.06588460e-09      1            tight
24      26x26       9.99999881e-01       4.81316539e-08      1            tight
25      26x26       2.25953802e-01       3.99772958e-02      25           not tight
26      26x26       9.99999974e-01       1.17162868e-08      1            tight
27      26x26       9.99999982e-01       8.41208246e-09      1            tight
28      22x22       9.99999921e-01       2.57412088e-08      1            tight
29      22x22       9.99999887e-01       3.26714040e-08      1            tight
30      22x22       9.99999950e-01       1.31359171e-08      1            tight
31      22x22       9.99999918e-01       2.54894732e-08      1            tight
32      22x22       9.99999974e-01       8.88529201e-09      1            tight
33      22x22       9.99999947e-01       2.52716726e-08      1            tight
34      22x22       9.99999947e-01       2.45886868e-08      1            tight
35      22x22       9.99999961e-01       1.83812567e-08      1            tight
36      22x22       9.99999951e-01       2.09521731e-08      1            tight
37      22x22       9.99999912e-01       2.78380644e-08      1            tight
38      22x22       9.99999892e-01       3.22321442e-08      1            tight
39      22x22       9.99999939e-01       2.19025939e-08      1            tight
40      22x22       9.99999926e-01       2.60482951e-08      1            tight
41      22x22       9.99999941e-01       1.64685849e-08      1            tight
42      22x22       9.99999948e-01       2.02351190e-08      1            tight
43      22x22       9.99999928e-01       2.56496890e-08      1            tight
44      22x22       9.99999940e-01       2.18267949e-08      1            tight
