k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,9.9184017368433031e-01,1.2748752549180459e-01,-1.2748752549180459e-01,9.9184017368433031e-01,-6.5748052585462402e-01,-7.5347153722956839e-01,7.5347153722956839e-01,-6.5748052585462402e-01,7.5138178741921202e-01,-6.5986772070847988e-01,6.5986772070847988e-01,7.5138178741921202e-01,5.6765130497764893e-01,-8.2326909042482799e-01,8.2326909042482799e-01,5.6765130497764893e-01,-1.2783541997923792e-01,2.2882663678152024e+00,-7.3244300370926947e+00,1.3110800527754157e+02,7.2064269952549420e-01,4.1289785219725154e+01,9.6714617532722624e-01,5.5413394018469617e+01,nan,nan,nan,nan,nan,1.0038285648677360e-09,9.9962024605072665e-10,-7.0981387434443377e-10,-7.0683825459383343e-10,9.9236170861423098e-10,-7.0170558252868886e-10,1.0016147345009918e-09,-7.0824857090201476e-10
1.0000000000000000e+00,8.2937554568223582e-01,-5.5869151013575169e-01,5.5869151013575169e-01,8.2937554568223582e-01,-9.9352950596773770e-01,1.1357429315981034e-01,-1.1357429315981034e-01,-9.9352950596773770e-01,7.2792571785949656e-01,-6.8565599682714484e-01,6.8565599682714484e-01,7.2792571785949656e-01,5.0000001951759498e-01,-8.6602537817328407e-01,8.6602537817328407e-01,5.0000001951759498e-01,5.9280727955337553e-01,-3.0277727640381862e+00,3.3965355183040359e+01,-1.7347860070404775e+02,7.5550450485054443e-01,4.3287219531057225e+01,1.0471975214882869e+00,5.9999998297839177e+01,-3.7257186111185923e+01,3.9999999981279672e+01,2.3781270588252546e+01,-7.8771344350439021e+00,1.1722707920576774e+01,1.0274641087037780e-09,9.9667051334859672e-10,-7.2652683869023349e-10,-7.0475258961977261e-10,4.6580107252034467e-09,-3.2937109706310252e-09,3.5132211513564941e-08,-2.4842225054833023e-08
2.0000000000000000e+00,2.2065360604581846e-01,-9.7535223526799730e-01,9.7535223526799730e-01,2.2065360604581846e-01,-3.9840655220026400e-01,9.1720891529441262e-01,-9.1720891529441262e-01,-3.9840655220026400e-01,8.4379001008034438e-01,-5.3667346485077583e-01,5.3667346485077583e-01,8.4379001008034438e-01,8.3226745715076200e-01,-5.5437427126035255e-01,5.5437427126035255e-01,8.3226745715076200e-01,1.3483117835825438e+00,-1.9805752424129521e+00,7.7252574667036200e+01,-1.1347860239836209e+02,5.6648977433269443e-01,3.2457473206581824e+01,5.8761095731042956e-01,3.3667627849529602e+01,-3.0759530661751061e+01,1.2989811592329247e+01,8.2294528692600295e+00,-5.7202107642942233e+00,-3.5812806086299287e+00,4.6622349804589130e-09,3.5169151235849641e-08,-3.2966980256787792e-09,-2.4868345271933379e-08,1.5575689145046511e-08,-1.1013675416116087e-08,6.6655219305458091e-08,-4.7132357572365891e-08
3.0000000000000000e+00,-3.3726035587946135e-01,-9.4141140585912564e-01,9.4141140585912564e-01,-3.3726035587946135e-01,1.7689622489971601e-01,9.8422948630758889e-01,-9.8422948630758889e-01,1.7689622489971601e-01,9.5578614757394353e-01,-2.9406262425953955e-01,2.9406262425953955e-01,9.5578614757394353e-01,9.8940617156891308e-01,1.4517367103079065e-01,-1.4517367103079065e-01,9.8940617156891308e-01,1.9148015592930121e+00,-1.3929642784818668e+00,1.0971004795255865e+02,-7.9810974169496845e+01,2.9847463458654616e-01,1.7101336853518564e+01,-1.4568850322728344e-01,-8.3473363585014138e+00,-1.3440407764583203e+01,1.1224303960527335e+01,8.0974942687086795e+00,-1.6213885985340937e+01,-1.4525333420713139e+01,2.4424039087487955e-08,6.2082460518520775e-08,-1.7270403773750331e-08,-4.3898928714369845e-08,1.8553566539543857e-08,-1.3119352604284984e-08,4.6528743875378071e-08,-3.2900790314371875e-08
4.0000000000000000e+00,-5.9918269260556267e-01,-8.0061230424236030e-01,8.0061230424236030e-01,-5.9918269260556267e-01,3.2138018098217952e-02,9.9948341039737165e-01,-9.9948341039737165e-01,3.2138018098217952e-02,9.7392790707794519e-01,-2.2685769876478251e-01,2.2685769876478251e-01,9.7392790707794519e-01,7.9328107662845504e-01,6.0885556599262647e-01,-6.0885556599262647e-01,7.9328107662845504e-01,2.2132762069297023e+00,-1.5386527728531718e+00,1.2681138555379539e+02,-8.8158310020588075e+01,2.2885004511524568e-01,1.3112141726482058e+01,-6.5461714472136956e-01,-3.7506799589439090e+01,7.7143678847818205e+00,2.8753436673083442e+01,-8.5145560368419577e+00,-2.3739397429235666e+01,-1.5591071872286712e+01,5.5405615018359240e-08,8.5041127290023298e-08,-3.9177686095293041e-08,-6.0133157786523839e-08,2.3088338195517277e-08,-1.6325920615400946e-08,4.6984413910607834e-08,-3.3222997797288656e-08
5.0000000000000000e+00,-7.6518582316038064e-01,-6.4380944020815578e-01,6.4380944020815578e-01,-7.6518582316038064e-01,-5.8304655940705385e-01,8.1243869815227776e-01,-8.1243869815227776e-01,-5.8304655940705385e-01,9.2757365753417842e-01,-3.7364032069061470e-01,3.7364032069061470e-01,9.2757365753417842e-01,6.8670578700844853e-01,7.2693542223799912e-01,-7.2693542223799912e-01,6.8670578700844853e-01,2.4421262744915637e+00,-2.1932699139305702e+00,1.3992352856637379e+02,-1.2566510940124300e+02,3.8293050000777140e-01,2.1940301497279638e+01,-8.1384864999922224e-01,-4.6630092807375142e+01,-1.7932888854898554e+00,1.2126604844067050e+01,-6.9932211228335408e+00,-1.3600832149603950e+00,-3.5752568539809531e+00,8.5889760065812435e-08,1.0084506446550594e-07,-6.0733231888043804e-08,-7.1308228988264943e-08,2.9136874144154474e-08,-2.0602881400932915e-08,7.6345992936051556e-08,-5.3984769321502313e-08
6.0000000000000000e+00,-9.5031939522610265e-01,-3.1127637775720934e-01,3.1127637775720934e-01,-9.5031939522610265e-01,-9.9097193534529859e-01,1.3406915930582575e-01,-1.3406915930582575e-01,-9.9097193534529859e-01,9.8446549436468689e-01,-1.7557810725840439e-01,1.7557810725840439e-01,9.8446549436468689e-01,9.6713222248673314e-01,2.5427387491110165e-01,-2.5427387491110165e-01,9.6713222248673314e-01,2.8250568016921287e+00,-3.0071185661841535e+00,1.6186383162168573e+02,-1.7229520233778351e+02,1.7649296868760714e-01,1.0112302219534481e+01,-2.5709683473957939e-01,-1.4730563556750305e+01,3.0271010315732911e+00,-2.2486750530999604e+01,5.0150112372809055e+00,2.5034601868221511e+01,8.1022127339077450e+00,9.0095933665496260e-08,1.1862567959044027e-07,-6.3707445652205763e-08,-8.3881022461262944e-08,2.6384768665781303e-08,-1.8656848954634597e-08,8.5935486967551400e-08,-6.0765565579323777e-08
7.0000000000000000e+00,-9.9020998488891587e-01,-1.3958555068245854e-01,1.3958555068245854e-01,-9.9020998488891587e-01,-9.9249122715005189e-01,-1.2231567652296577e-01,1.2231567652296577e-01,-9.9249122715005189e-01,9.9902796773691760e-01,-4.4080670343585197e-02,4.4080670343585197e-02,9.9902796773691760e-01,9.9999435262677949e-01,-3.3545027103222369e-03,3.3545027103222369e-03,9.9999435262677949e-01,3.0015497939057987e+00,3.0189699060960664e+00,1.7197613518916432e+02,1.7297423409631108e+02,4.4094958718912274e-02,2.5264550323972648e+00,3.3545090720384918e-03,1.9219921216615182e-01,6.2001591948715538e+00,1.4359261665494618e+01,1.9514117402837661e-01,-6.2842650005259344e+00,2.6282450455993507e+00,8.4664677761384262e-08,5.5588369855318885e-08,-5.9866967827559847e-08,-3.9306913279801847e-08,2.0055676035886818e-08,-1.4181504526256106e-08,5.9433901224714585e-08,-4.2026114588367136e-08
8.0000000000000000e+00,-9.9540049553217202e-01,-9.5800725498729089e-02,9.5800725498729089e-02,-9.9540049553217202e-01,-9.9289595323771718e-01,-1.1898566374173981e-01,1.1898566374173981e-01,-9.9289595323771718e-01,9.9979829924987484e-01,-2.0083535208941544e-02,2.0083535208941544e-02,9.9979829924987484e-01,9.9948020064723475e-01,-3.2238044960330364e-02,3.2238044960330364e-02,9.9948020064723475e-01,3.0456447763228374e+00,3.0223244253336774e+00,1.7450259157936421e+02,1.7316643389092161e+02,2.0084885689158206e-02,1.1507791819914710e+00,3.2243632291034358e-02,1.8474240464480061e+00,2.1291049447373473e+00,1.9245663137870761e+01,-9.4038881158276200e-01,-9.6090262749694961e+00,3.4552956007656044e-01,1.0534225595848077e-07,5.3553584197054536e-08,-7.4488223589241898e-08,-3.7868102653604296e-08,1.7579479137056243e-08,-1.2430568907539907e-08,5.2285312574319117e-08,-3.6971299133270463e-08
9.0000000000000000e+00,-9.9712375134563036e-01,-7.5790222441381686e-02,7.5790222441381686e-02,-9.9712375134563036e-01,-9.9621573156928822e-01,-8.6914787166249272e-02,8.6914787166249272e-02,-9.9621573156928822e-01,9.9987845991983404e-01,-1.5590178076232348e-02,1.5590178076232348e-02,9.9987845991983404e-01,9.9972096664583010e-01,-2.3621021599072440e-02,2.3621021599072440e-02,9.9972096664583010e-01,3.0657296819161517e+00,3.0545680628578151e+00,1.7565337190177982e+02,1.7501385823720437e+02,1.5590809778430737e-02,8.9328759949537540e-01,2.3623219146921871e-02,1.3535107556312602e+00,1.0941402701530059e+00,1.9443336329225268e+01,-8.7134329715726155e-01,-9.6664788854671464e+00,-8.5757174029539224e-02,9.4306411987674053e-08,5.0834915486186120e-08,-6.6684703425856640e-08,-3.5945713516838396e-08,1.6597057919311808e-08,-1.1735892146980120e-08,5.1176631586463405e-08,-3.6187343233073932e-08
