k,kin_error_link1,kin_error_link2
0,5.6982677817608182e-09,5.7159910055563361e-09
1,3.7303349177365296e-07,7.6702772744167654e-08
2,6.3181022205452419e-05,1.4579754297913237e-03
3,2.0413752091718980e-04,1.7158853365970696e-03
4,3.5822507376281824e-06,1.0772401623932457e-03
5,3.1196692525046408e-04,4.0683024589158170e-03
6,8.9161028176554957e-05,2.0944661643649324e-03
7,1.7832603767505661e-03,7.4953084244370818e-03
8,2.2437961685230125e-04,8.7986044866617437e-03
9,1.2940973388801409e-03,1.6510172728051751e-02
10,1.5490064787411567e-03,7.5749355202094195e-03
11,9.3992675513773012e-04,1.2727471712378166e-02
12,2.1785517828575318e-03,1.2406584942027166e-02
13,1.5972670886873238e-03,4.1407631419538632e-03
14,1.8213054786725491e-03,2.9791891955955655e-03
15,2.8010994428440614e-03,5.4806366329128633e-03
16,1.0617060484249988e-02,5.6800395477502805e-03
17,9.9717520822988331e-03,2.7230106467233581e-03
18,1.7931339371661035e-03,2.6842326637223730e-03
19,8.2794238721338237e-04,9.9582779331128376e-04
