k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,x1,y1,x2,y2,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg
0.0000000000000000e+00,0.0000000000000000e+00,-3.6361994953130916e-02,3.1077516012041890e+00,3.1046634965809230e+00,1.7806105052402376e+02,1.7788411516241578e+02,1.0165412024339735e-02,1.2145350909197173e-02,5.8243520600620535e-01,6.9587734780237520e-01,1.2516061877650105e-15,5.0943236548027286e-16,3.1401871642348038e-16,3.1401936017600398e-16,5.5511151231257827e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3834593531684602e-02,9.9942744623136381e-01,7.0755357345465106e-02,1.9987456424028371e+00,1.6917296765842200e-02,4.9971372311568163e-01,5.2294975438574698e-02,1.4990865443170998e+00,5.0089714153216933e-02,2.8699292179960363e+00,1.5838091751600818e-02,9.0745581290768829e-01,-1.9389494759762402e+00,-2.1158848375842210e+00,5.8243520600620546e-01,6.9587734780237132e-01
1.0000000000000000e+00,1.0000000000000001e-01,-3.6361994953130916e-02,3.1155963790916483e+00,3.1137661597637858e+00,1.7851052318819274e+02,1.7840565934512293e+02,7.8447778874593515e-03,9.1026631828627098e-03,4.4947266416897474e-01,5.2154418270715397e-01,1.1468277333831899e-15,6.5683664017241882e-16,2.2715426752954537e-19,1.5701181657152780e-16,4.4408920985006262e-16,3.3306690738754696e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5993346522789743e-02,9.9966211588543563e-01,5.3816249414988082e-02,1.9992749839872079e+00,1.2996673261394743e-02,4.9983105794271754e-01,3.9904797968888739e-02,1.4994685499363212e+00,3.8080441783568071e-02,2.1818485961920837e+00,1.2016614212173749e-02,6.8850127839447861e-01,-1.4894768118072685e+00,-1.5943406548770622e+00,4.4947266416897164e-01,5.2154418270715863e-01
