k,kin_error_link1,kin_error_link2
0,6.1779687428266850e-08,6.2202979969169137e-08
1,7.3047015940166867e-06,4.4054385456059239e-06
2,9.5137798144181822e-04,1.6941490554052653e-03
3,1.7181100765321613e-02,3.4605305421805718e-02
4,7.1360782546687181e-03,3.9802704674588150e-02
5,5.1060478200043204e-02,1.4854767817966688e-01
6,1.2063026009805472e-02,1.1902054751650712e-01
7,2.4551823368809660e-02,3.1271146777933106e-01
8,8.6718122221605229e-02,1.1860054045641696e-01
9,7.4567968467941295e-02,8.3634022890265197e-02
10,6.0247065264214077e-02,1.7374632259059386e-01
11,2.6592493976769920e-02,2.3428181876671259e-01
12,2.2803300663974307e-01,1.4059566536437512e-01
13,9.8414142638091992e-02,1.3007225208786641e-01
14,1.6066263925878835e-01,4.0096045815398917e-01
15,3.1681902873446383e-01,2.6831040945203549e-01
16,5.9528947338513727e-01,4.3523955983500273e-01
17,5.2281194813004384e-01,3.3592229601520934e-01
18,8.3064887519891009e-02,8.5803122219595504e-02
19,1.4765296328696167e-01,3.9131980746574507e-02
