k,kin_error_link1,kin_error_link2
0,2.8346640975670128e-11,2.8229638474586876e-11
1,1.9038436249193741e-11,2.8705460682167363e-11
2,6.1231667697019353e-11,2.4924057250092058e-10
3,9.4774177608579783e-11,2.7311193158755415e-10
4,1.0908978920713805e-10,2.1741695217523023e-10
5,1.0549792932634697e-10,2.2772086620164289e-10
6,1.0189165905312116e-10,2.4293457674142619e-10
7,1.0409297441209923e-10,2.6754872884632096e-10
8,1.0394205073040296e-10,2.6952646876993057e-10
9,1.0152255235398356e-10,2.6008527745531481e-10
10,1.0114061754968875e-10,2.5635437109543671e-10
11,9.9143327020383211e-11,2.4931231141672350e-10
12,9.7607886062931288e-11,2.4482564193987113e-10
13,9.6457348016892970e-11,2.4241535404800964e-10
14,9.3672033436411989e-11,2.4201419805006674e-10
15,9.1130922435393897e-11,2.4269712523361795e-10
16,9.2194016689306095e-11,2.3974539040487644e-10
17,9.9389115345287126e-11,2.4135651233628980e-10
18,1.0962208913336327e-10,2.7573048064593739e-10
19,7.0183167428843914e-11,1.5205082842292521e-10
