k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-9.9734883364558213e-01,-7.2768839387802250e-02,7.2768839387802250e-02,-9.9734883364558213e-01,-9.9596080327697367e-01,-8.9789076707793458e-02,8.9789076707793458e-02,-9.9596080327697367e-01,9.9987394232337168e-01,-1.5877639087075127e-02,1.5877639087075127e-02,9.9987394232337168e-01,9.9970824983279805e-01,-2.4153988829923267e-02,2.4153988829923267e-02,9.9970824983279805e-01,3.0687594384946846e+00,3.0516824893047856e+00,1.7582696416668176e+02,1.7484852705114119e+02,1.5878306287025735e-02,9.0975993606261529e-01,2.4156338081164085e-02,1.3840562205418516e+00,nan,nan,nan,nan,nan,5.6496636940818429e-11,5.6352659462357820e-11,-3.9949155095087008e-11,-3.9847347643728881e-11,5.6199967970804852e-11,-3.9739433965735316e-11,5.6353287499340458e-11,-3.9847680710636268e-11
1.0000000000000000e+00,-9.9837850755742275e-01,-5.6924121493552547e-02,5.6924121493552547e-02,-9.9837850755742275e-01,-9.9783899592185388e-01,-6.5706454613635779e-02,6.5706454613635779e-02,-9.9783899592185388e-01,9.9991617001677024e-01,-1.2948082583062683e-02,1.2948082583062683e-02,9.9991617001677024e-01,9.9986090325774168e-01,-1.6678544943810714e-02,1.6678544943810714e-02,9.9986090325774168e-01,3.0846377447817370e+00,3.0758388273858830e+00,1.7673672410274591e+02,1.7623258327167923e+02,1.2948444408126833e-02,7.4189121584543871e-01,1.6679318298791636e-02,9.5565454367608493e-01,8.0847778932836911e-01,1.9517498505800294e+01,-6.6283485977483814e-01,-9.7263139918993851e+00,-7.3460780430359085e-02,5.6003470899545707e-11,5.6247070744565278e-11,-3.9600434043052246e-11,-3.9772629634171608e-11,1.3635232443570441e-10,-9.6415653239034782e-11,3.8914945700496995e-10,-2.7517021994327706e-10
2.0000000000000000e+00,-9.9903187174339836e-01,-4.3992262180857153e-02,4.3992262180857153e-02,-9.9903187174339836e-01,-9.9879608784484064e-01,-4.9054812518231808e-02,4.9054812518231808e-02,-9.9879608784484064e-01,9.9994909723710990e-01,-1.0089737003073080e-02,1.0089737003073080e-02,9.9994909723710990e-01,9.9992421480019611e-01,-1.2311143847816716e-02,1.2311143847816716e-02,9.9992421480019611e-01,3.0975861891899932e+00,3.0925181456871180e+00,1.7747861531859874e+02,1.7718823781549531e+02,1.0089908205532962e-02,5.7810915585145672e-01,1.2311454859691184e-02,7.0539440312613200e-01,6.4502778505474878e-01,1.9559504666206962e+01,-5.0254522644879418e-01,-9.7625220297179833e+00,-4.7918680965965715e-02,1.5428050367982802e-10,3.8840319205935756e-10,-1.0909273484571713e-10,-2.7464253093967272e-10,2.0067375265825744e-10,-1.4189782682194618e-10,5.5630864407713721e-10,-3.9336967017078450e-10
3.0000000000000000e+00,-9.9942488865862789e-01,-3.3910053999649789e-02,3.3910053999649789e-02,-9.9942488865862789e-01,-9.9932431491306306e-01,-3.6754772567505783e-02,3.6754772567505783e-02,-9.9932431491306306e-01,9.9996970069610636e-01,-7.7844425843518481e-03,7.7844425843518481e-03,9.9996970069610636e-01,9.9995738827066483e-01,-9.2315349314246696e-03,9.2315349314246696e-03,9.9995738827066483e-01,3.1076760974068871e+00,3.1048296005631340e+00,1.7805672447510113e+02,1.7789363221955679e+02,7.7845212067406393e-03,4.4602021067632519e-01,9.2316660587974664e-03,5.2893550304326531e-01,4.9884108367328200e-01,1.9584525476869562e+01,-3.8378033003494455e-01,-9.7824918706461457e+00,-3.7649338147917974e-02,2.3678187547219932e-10,4.4837365856501368e-10,-1.6743006980846076e-10,-3.1704816549904535e-10,2.0278466346431949e-10,-1.4339029963394978e-10,5.7377584417536571e-10,-4.0572079029743691e-10
4.0000000000000000e+00,-9.9965857770810862e-01,-2.6129060854664293e-02,2.6129060854664293e-02,-9.9965857770810862e-01,-9.9962103513456380e-01,-2.7527909040233507e-02,2.7527909040233507e-02,-9.9962103513456380e-01,9.9998200673656523e-01,-5.9988382782885687e-03,5.9988382782885687e-03,9.9998200673656523e-01,9.9997601674972314e-01,-6.9257171912924173e-03,6.9257171912924173e-03,9.9997601674972314e-01,3.1154606186459910e+00,3.1140612666491148e+00,1.7850274468763175e+02,1.7842256772415755e+02,5.9988742583914683e-03,3.4371017683550281e-01,6.9257725597398241e-03,3.9681753754060872e-01,3.8271546105269771e-01,1.9599258000661877e+01,-2.9352881942894449e-01,-9.7940046053536847e+00,-3.1121244376976429e-02,2.7358609877771391e-10,4.8136404878376887e-10,-1.9345458568409413e-10,-3.4037572760325929e-10,2.0141640639121481e-10,-1.4242296231259388e-10,5.1865382318212506e-10,-3.6674363546040922e-10
5.0000000000000000e+00,-9.9979733467088583e-01,-2.0131800540014701e-02,2.0131800540014701e-02,-9.9979733467088583e-01,-9.9978771163686386e-01,-2.0604156214229671e-02,2.0604156214229671e-02,-9.9978771163686386e-01,9.9998932206533608e-01,-4.6212137642389663e-03,4.6212137642389663e-03,9.9998932206533608e-01,9.9998653750326427e-01,-5.1888794593445663e-03,5.1888794593445663e-03,9.9998653750326427e-01,3.1214594929322357e+00,3.1209870392414198e+00,1.7884645486606311e+02,1.7881938526356399e+02,4.6212302128623532e-03,2.6477698735535588e-01,5.1889027451527490e-03,2.9730222760109948e-01,2.9330009435607568e-01,1.9607878929460046e+01,-2.2446168793943064e-01,-9.8006988948065583e+00,-2.5714261439893540e-02,2.7154285895661712e-10,5.7505146579342865e-10,-1.9200974143984695e-10,-4.0662284650494485e-10,1.9608743408180384e-10,-1.3865464332241118e-10,4.8392840229190780e-10,-3.4218916589168202e-10
6.0000000000000000e+00,-9.9987969232590490e-01,-1.5511308349584092e-02,1.5511308349584092e-02,-9.9987969232590490e-01,-9.9988116463901011e-01,-1.5416100879137948e-02,1.5416100879137948e-02,-9.9988116463901011e-01,9.9999367515442272e-01,-3.5566154173458445e-03,3.5566154173458445e-03,9.9999367515442272e-01,9.9999245459994524e-01,-3.8846365393383825e-03,3.8846365393383825e-03,9.9999245459994524e-01,3.1260807231661598e+00,3.1261759420200930e+00,1.7911123185462523e+02,1.7911668749308566e+02,3.5566229158760939e-03,2.0377948239921262e-01,3.8846463101898138e-03,2.2257383847494436e-01,2.2481918602978002e-01,1.9612917344353214e+01,-1.7160885870519182e-01,-9.8045930399658872e+00,-2.1089498099156688e-02,2.6521860503765045e-10,6.1351551234163553e-10,-1.8753798514126174e-10,-4.3382097913990947e-10,1.9505399922549820e-10,-1.3792400554990536e-10,4.8385013318284872e-10,-3.4213365474045077e-10
7.0000000000000000e+00,-9.9992853606951138e-01,-1.1955022696023679e-02,1.1955022696023679e-02,-9.9992853606951138e-01,-9.9993350625370314e-01,-1.1531809622354852e-02,1.1531809622354852e-02,-9.9993350625370314e-01,9.9999626427647192e-01,-2.7333666376332874e-03,2.7333666376332874e-03,9.9999626427647192e-01,9.9999577734401024e-01,-2.9060184377464292e-03,2.9060184377464292e-03,9.9999577734401024e-01,3.1296373461005826e+00,3.1300605883612151e+00,1.7931501133808709e+02,1.7933926133333290e+02,2.7333700414665487e-03,1.5661056722353206e-01,2.9060225284653859e-03,1.6650282605100275e-01,1.7238131915000510e-01,1.9615862142203088e+01,-1.3122783491976928e-01,-9.8068572258861746e+00,-1.7219954979982355e-02,2.6335686790477790e-10,6.1943852913277418e-10,-1.8622137165635877e-10,-4.3800907345570295e-10,1.9788361985453808e-10,-1.3992484948488482e-10,4.9637217007320607e-10,-3.5098823847334870e-10
8.0000000000000000e+00,-9.9995747814498537e-01,-9.2218067188468283e-03,9.2218067188468283e-03,-9.9995747814498537e-01,-9.9996279571700963e-01,-8.6259356940035330e-03,8.6259356940035330e-03,-9.9996279571700963e-01,9.9999780303485175e-01,-2.0961357807165828e-03,2.0961357807165828e-03,9.9999780303485175e-01,9.9999764140343328e-01,-2.1718282144687130e-03,2.1718282144687130e-03,9.9999764140343328e-01,3.1323707161587184e+00,3.1329666109190861e+00,1.7947162190626571e+02,1.7950576416106873e+02,2.0961373158616846e-03,1.2009982147875528e-01,2.1718299222123999e-03,1.2443668836299640e-01,1.3227766609233704e-01,1.9617583005813977e+01,-1.0042021308403484e-01,-9.8081734419478508e+00,-1.4024645493737409e-02,2.5846359625265527e-10,5.8721677767717405e-10,-1.8276125057781201e-10,-4.1522496552204302e-10,1.9835566815225689e-10,-1.4025869354838960e-10,4.9465982723776548e-10,-3.4977731822039004e-10
9.0000000000000000e+00,-9.9997461150471101e-01,-7.1257397972312349e-03,7.1257397972312349e-03,-9.9997461150471101e-01,-9.9997917144743420e-01,-6.4541679091891270e-03,6.4541679091891270e-03,-9.9997917144743420e-01,9.9999871664616846e-01,-1.6020509818864465e-03,1.6020509818864465e-03,9.9999871664616846e-01,9.9999868654794211e-01,-1.6206676416843494e-03,1.6206676416843494e-03,9.9999868654794211e-01,3.1344668534875888e+00,3.1351384408690710e+00,1.7959172172848980e+02,1.7963020085102298e+02,1.6020516672936044e-03,9.1790799097820272e-02,1.6206683514241585e-03,9.2857456527029203e-02,1.0166338901775018e-01,1.9618588432457319e+01,-7.6961015847929304e-02,-9.8089384733420317e+00,-1.1418813064136156e-02,2.5221714041502775e-10,5.4857766581982421e-10,-1.7834445031894575e-10,-3.8790293199753023e-10,1.9610549014507872e-10,-1.3866752190949683e-10,4.7911544086905854e-10,-3.3878588823199607e-10
