k,kin_error_link1,kin_error_link2
0,6.0513748883865665e-10,6.0565508850691459e-10
1,4.9607694251480507e-10,5.9516894478248560e-10
2,1.6021201719746503e-09,4.9767567773848513e-09
3,1.7910502608091893e-09,5.9611458905684715e-09
4,1.9645361780961113e-09,4.6738348141034614e-09
5,2.1372414120243800e-09,4.7474214311034342e-09
6,2.2357396464527173e-09,4.6060753359148008e-09
7,2.2554700598420711e-09,4.4525731376459019e-09
8,2.2370790066818492e-09,4.3039079158400625e-09
9,2.1997707472366526e-09,4.1610050601034123e-09
10,2.1644507210039386e-09,4.0414538898559751e-09
11,2.1357611837468167e-09,3.9430156618143239e-09
12,2.1097291715258076e-09,3.8749001875306894e-09
13,2.0812848995627751e-09,3.8199181796728463e-09
14,2.0517567960608544e-09,3.7580857064993141e-09
15,2.0371922825456983e-09,3.6862428182871873e-09
16,1.9964917082345484e-09,3.5438622762416280e-09
17,2.1513673962071157e-09,3.7991020177601030e-09
18,2.2227651063662221e-09,4.4208923874847796e-09
19,1.4878919816346105e-09,2.4159868782198678e-09
