k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-9.9980066860612438e-01,-1.9965525260960879e-02,1.9965525260960879e-02,-9.9980066860612438e-01,-9.9978039359623527e-01,-2.0956233554919913e-02,2.0956233554919913e-02,-9.9978039359623527e-01,9.9998927120262804e-01,-4.6321293039434733e-03,4.6321293039434733e-03,9.9998927120262804e-01,9.9998656431852284e-01,-5.1836593896123573e-03,5.1836593896123573e-03,9.9998656431852284e-01,3.1216258016320286e+00,3.1206348858530988e+00,1.7885598365265756e+02,1.7879920836067197e+02,4.6321458710645424e-03,2.6540240850094871e-01,5.1836826065514117e-03,2.9700313569076953e-01,nan,nan,nan,nan,nan,1.2102848110420670e-09,1.2102112522103752e-09,-8.5580065256607440e-10,-8.5574858310621948e-10,1.2130393812515819e-09,-8.5774831681817432e-10,1.2130689774944255e-09,-8.5776930003333973e-10
1.0000000000000000e+00,-9.9988242526981264e-01,-1.5334105086443429e-02,1.5334105086443429e-02,-9.9988242526981264e-01,-9.9987559127036596e-01,-1.5773430975662157e-02,1.5773430975662157e-02,-9.9987559127036596e-01,9.9999366637579379e-01,-3.5587448403306223e-03,3.5587448403306223e-03,9.9999366637579379e-01,9.9999235575553147e-01,-3.9090025548948158e-03,3.9090025548948158e-03,9.9999235575553147e-01,3.1262579475029444e+00,3.1258185684595685e+00,1.7912138606114999e+02,1.7909621149635805e+02,3.5587523566176639e-03,2.0390149036642780e-01,3.9090125259751557e-03,2.2396991980214950e-01,2.2465779398624841e-01,1.9612913049613216e+01,-1.7100796125052542e-01,-9.8045889984704999e+00,-1.8790330257301844e-02,1.2130493513386920e-09,1.2119698342687265e-09,-8.5775553326783438e-10,-8.5699214391610212e-10,3.5969942116853341e-09,-2.5434591099937620e-09,1.1496889296073410e-08,-8.1295284948268431e-09
2.0000000000000000e+00,-9.9993066289277710e-01,-1.1775681647694112e-02,1.1775681647694112e-02,-9.9993066289277710e-01,-9.9992960677708753e-01,-1.1864794206017961e-02,1.1864794206017961e-02,-9.9992960677708753e-01,9.9999629982311333e-01,-2.7198192737973286e-03,2.7198192737973286e-03,9.9999629982311333e-01,9.9999556541418921e-01,-2.9769417168896543e-03,2.9769417168896543e-03,9.9999556541418921e-01,3.1298166997599397e+00,3.1297275809433378e+00,1.7932528754580849e+02,1.7932018141374201e+02,2.7198226310566290e-03,1.5583435778371207e-01,2.9769461243150425e-03,1.7056644876107963e-01,1.7240503386647346e-01,1.9615857400799637e+01,-1.3046756254946193e-01,-9.8068528388628451e+00,-1.4818855416834418e-02,3.8587433049124090e-09,1.1524522452318506e-08,-2.7285436132729046e-09,-8.1490679759710360e-09,4.1340289502720243e-09,-2.9231997933365506e-09,9.8570264817938576e-09,-6.9699703786341161e-09
3.0000000000000000e+00,-9.9995899179964920e-01,-9.0560076518068355e-03,9.0560076518068355e-03,-9.9995899179964920e-01,-9.9996049682158206e-01,-8.8880095424970981e-03,8.8880095424970981e-03,-9.9996049682158206e-01,9.9999781618290806e-01,-2.0892103802062911e-03,2.0892103802062911e-03,9.9999781618290806e-01,9.9999748306853153e-01,-2.2420347485951858e-03,2.2420347485951858e-03,9.9999748306853153e-01,3.1325365221353660e+00,3.1327045269866240e+00,1.7948112188894567e+02,1.7949074785786047e+02,2.0892119029958067e-03,1.1970302455015487e-01,2.2420366349466675e-03,1.2845923669615730e-01,1.3132030811188031e-01,1.9617587492756794e+01,-9.9793813068701206e-02,-9.8081670800215921e+00,-1.2432133713220449e-02,4.8711730717826822e-09,1.1430674257841076e-08,-3.4444394003685375e-09,-8.0827073922762338e-09,4.0013787468446506e-09,-2.8294019349672794e-09,1.0092942451275093e-08,-7.1367879383998911e-09
4.0000000000000000e+00,-9.9997572919450106e-01,-6.9668635194864064e-03,6.9668635194864064e-03,-9.9997572919450106e-01,-9.9997791142669723e-01,-6.6460411801262873e-03,6.6460411801262873e-03,-9.9997791142669723e-01,9.9999870608933827e-01,-1.6078113644104836e-03,1.6078113644104836e-03,9.9999870608933827e-01,9.9999858607324676e-01,-1.6797266912847062e-03,1.6797266912847062e-03,9.9999858607324676e-01,3.1346257336970580e+00,3.1349465634603244e+00,1.7960082489394054e+02,1.7961920708531790e+02,1.6078120593459998e-03,9.2120845250763236e-02,1.6797274865218057e-03,9.6241295709817334e-02,1.0031797399213715e-01,1.9618592621811576e+01,-7.6249811431021969e-02,-9.8089340608751776e+00,-1.0215078970115362e-02,5.4229811243316200e-09,9.6100514090706371e-09,-3.8346267272615364e-09,-6.7953325189051839e-09,3.9064336857755835e-09,-2.7622657494674741e-09,9.0081866108094195e-09,-6.3697498386972029e-09
5.0000000000000000e+00,-9.9998563801960572e-01,-5.3590826476459085e-03,5.3590826476459085e-03,-9.9998563801960572e-01,-9.9998766436588837e-01,-4.9663423341791638e-03,4.9663423341791638e-03,-9.9998766436588837e-01,9.9999923324837203e-01,-1.2372348737017661e-03,1.2372348737017661e-03,9.9999923324837203e-01,9.9999920771953144e-01,-1.2563759531841068e-03,1.2563759531841068e-03,9.9999920771953144e-01,3.1362335452791963e+00,3.1366262908236595e+00,1.7969294571184932e+02,1.7971544837396962e+02,1.2372351910543257e-03,7.0888354712474927e-02,1.2563762875310834e-03,7.1985058755845877e-02,7.6750763152305820e-02,1.9619178310631227e+01,-5.8222752376756212e-02,-9.8093805066572202e+00,-8.2808838105379520e-03,5.6394563659986789e-09,9.2770643948266553e-09,-3.9876977275810077e-09,-6.5598749765527486e-09,3.8926728459353193e-09,-2.7525353107904493e-09,8.5980984007754423e-09,-6.0797736844975248e-09
6.0000000000000000e+00,-9.9999150314750684e-01,-4.1218619384701862e-03,4.1218619384701862e-03,-9.9999150314750684e-01,-9.9999311504413102e-01,-3.7099780295951077e-03,3.7099780295951077e-03,-9.9999311504413102e-01,9.9999954614666042e-01,-9.5126981788164091e-04,9.5126981788164091e-04,9.9999954614666042e-01,9.9999955589626199e-01,-9.3929650643061581e-04,9.3929650643061581e-04,9.9999955589626199e-01,3.1374707799716584e+00,3.1378826670384994e+00,1.7976383403799457e+02,1.7978743342856058e+02,9.5126996267937581e-04,5.4503754039095569e-02,9.3929664733547738e-04,5.3817733603110957e-02,5.8747273137235240e-02,1.9619520158780773e+01,-4.4449392429836039e-02,-9.8096399958922902e+00,-6.6703425513705578e-03,5.4969773837799442e-09,8.3825462164648438e-09,-3.8869498730775831e-09,-5.9273552732719281e-09,3.9487767242475972e-09,-2.7922066880847751e-09,8.3853697922379182e-09,-5.9293517873371115e-09
7.0000000000000000e+00,-9.9999497179836971e-01,-3.1705988394094614e-03,3.1705988394094614e-03,-9.9999497179836971e-01,-9.9999615896971172e-01,-2.7706863136654713e-03,2.7706863136654713e-03,-9.9999615896971172e-01,9.9999973170232259e-01,-7.3059219770129323e-04,7.3059219770129323e-04,9.9999973170232259e-01,9.9999975081287817e-01,-7.0184428459368529e-04,7.0184428459368529e-04,9.9999975081287817e-01,3.1384220494323460e+00,3.1388219637237573e+00,1.7981833776327164e+02,1.7984125116433648e+02,7.3059226372930105e-04,4.1859853256597725e-02,7.0184434424481817e-04,4.0212718800354950e-02,4.4973594224086220e-02,1.9619719840056646e+01,-3.3939883886135093e-02,-9.8097908058474079e+00,-5.3589108962978039e-03,5.2056880215028332e-09,7.5563895497356323e-09,-3.6809774117685379e-09,-5.3431742363940771e-09,4.0026819235853576e-09,-2.8303235311000208e-09,8.1865737131510159e-09,-5.7887816762303146e-09
8.0000000000000000e+00,-9.9999702143746205e-01,-2.4400099454480999e-03,2.4400099454480999e-03,-9.9999702143746205e-01,-9.9999785752129688e-01,-2.0688439532127252e-03,2.0688439532127252e-03,-9.9999785752129688e-01,9.9999984163166800e-01,-5.6024955412040654e-04,5.6024955412040654e-04,9.9999984163166800e-01,9.9999985989479312e-01,-5.2397206198977479e-04,5.2397206198977479e-04,9.9999985989479312e-01,3.1391526412189479e+00,3.1395238081557584e+00,1.7986019758919085e+02,1.7988146388816489e+02,5.6024958422922942e-04,3.2099936650293974e-02,5.2397208744938296e-04,3.0021389193509336e-02,3.4444706646738196e-02,1.9619836451115361e+01,-2.5927652822856653e-02,-9.8098784425732468e+00,-4.2986632734574775e-03,4.9040262359205428e-09,6.8412768871006019e-09,-3.4676701510250041e-09,-4.8375132788436304e-09,4.0405156565160316e-09,-2.8570761312352033e-09,8.0096422706160072e-09,-5.6636725309644476e-09
9.0000000000000000e+00,-9.9999823160755485e-01,-1.8797620994426868e-03,1.8797620994426868e-03,-9.9999823160755485e-01,-9.9999880447461242e-01,-1.5448726274035094e-03,1.5448726274035094e-03,-9.9999880447461242e-01,9.9999990670188854e-01,-4.2862829492906318e-04,4.2862829492906318e-04,9.9999990670188854e-01,9.9999992090470091e-01,-3.9068162465018947e-04,3.9068162465018947e-04,9.9999992090470091e-01,3.1397128903802445e+00,3.1400477803444695e+00,1.7989229750160891e+02,1.7991148528316029e+02,4.2862830866975958e-04,2.4558593066607938e-02,3.9068163567441256e-04,2.2384408857411497e-02,2.6407570861014994e-02,1.9619904532409461e+01,-1.9826544235768406e-02,-9.8099293641898893e+00,-3.4465846107857756e-03,4.6332642624482641e-09,6.2478695488773295e-09,-3.2762125234953032e-09,-4.4179109259800953e-09,4.0644484188545025e-09,-2.8739990387549597e-09,7.8608496326024124e-09,-5.5584600255897954e-09
