k,kin_error_link1,kin_error_link2
0,7.0323651835788261e-14,1.1624252444704068e-13
1,1.5707596062399730e-13,1.9190999213651273e-13
2,7.0997825803554980e-13,1.1871473432178382e-12
3,2.0114385916796077e-12,6.8807811159141404e-13
4,2.4913823365144304e-12,2.7985741735758000e-12
5,2.6639213232210158e-12,7.8389148999008605e-12
6,2.0091779786677222e-12,2.5138127756260701e-12
7,2.3266616084620393e-12,2.6077891000017990e-12
8,1.9464616695305375e-12,2.1223206423143282e-12
9,1.5785618073567692e-12,2.0138566336471084e-12
10,1.4427211937459491e-12,2.1754193220180527e-12
11,1.2649993366283754e-12,1.8411050536602500e-12
12,7.2451770091993663e-13,1.8524505810696984e-12
13,3.0786941050346620e-13,1.5994003770754818e-12
14,7.0046501106449650e-13,1.6912845557325840e-12
15,3.9837936698242121e-13,1.6734500291008803e-12
16,3.3084844536774940e-13,1.3998067914350614e-12
17,4.7057331529060333e-13,1.6048159130802059e-12
18,7.5772407769932092e-13,1.9226272040882980e-12
19,1.9764264516457964e-13,1.1192150583654661e-12
