k,kin_error_link1,kin_error_link2
0,2.2813528418468146e-11,2.2928322708205350e-11
1,1.8713830576625634e-11,2.3934446454992201e-11
2,5.0928160357513907e-11,1.7504485349876241e-10
3,6.4954013014397856e-11,2.4363680992303416e-10
4,7.7343043747049927e-11,2.5382479966944471e-10
5,8.5680456303718620e-11,2.6215263297145915e-10
6,8.9958281537500167e-11,2.5851728647247388e-10
7,9.2528980029247008e-11,2.5336976731980741e-10
8,9.3394759453847120e-11,2.4761050619104580e-10
9,9.3040063616515275e-11,2.4255333267559350e-10
10,9.2067265412594048e-11,2.3906432353162013e-10
11,9.0654586682326116e-11,2.3627476189162414e-10
12,8.9600451793141136e-11,2.3470426550367353e-10
13,8.8639806785024123e-11,2.3343502153580253e-10
14,8.8142243446753077e-11,2.3258916965424845e-10
15,8.8962168143524774e-11,2.3275178991224199e-10
16,9.1349439673253938e-11,2.3085636348942637e-10
17,9.7908091454499923e-11,2.3884395411242958e-10
18,1.0777463228292822e-10,2.6807916695517251e-10
19,7.0280346743476767e-11,1.5817592802056396e-10
