Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 1.0000000e+00
Maximum second weight: 2.2966339e-10
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.99999999e-01       1.09153213e-10      1            tight
1       253x253     9.99999998e-01       2.17215195e-10      1            tight
2       253x253     9.99999998e-01       1.98275009e-10      1            tight
3       253x253     9.99999998e-01       2.03015221e-10      1            tight
4       253x253     9.99999998e-01       1.98145320e-10      1            tight
5       253x253     9.99999998e-01       1.97539635e-10      1            tight
6       253x253     9.99999998e-01       1.99431805e-10      1            tight
7       253x253     9.99999998e-01       2.01307372e-10      1            tight
8       253x253     9.99999998e-01       2.02423301e-10      1            tight
9       253x253     9.99999998e-01       2.02651540e-10      1            tight
10      253x253     9.99999998e-01       2.02634389e-10      1            tight
11      253x253     9.99999998e-01       2.02121675e-10      1            tight
12      253x253     9.99999998e-01       2.01231232e-10      1            tight
13      253x253     9.99999998e-01       1.99317385e-10      1            tight
14      253x253     9.99999998e-01       1.96480231e-10      1            tight
15      253x253     9.99999998e-01       2.00356106e-10      1            tight
16      253x253     9.99999998e-01       2.13057238e-10      1            tight
17      253x253     9.99999998e-01       2.29663388e-10      1            tight
18      253x253     9.99999999e-01       1.81020425e-10      1            tight
19      26x26       9.99999999e-01       9.31304222e-11      1            tight
20      22x22       9.99999999e-01       1.64319222e-10      1            tight
21      26x26       9.99999999e-01       7.20082322e-11      1            tight
22      22x22       9.99999999e-01       1.47048836e-10      1            tight
23      26x26       1.00000000e+00       6.80210023e-11      1            tight
24      26x26       9.99999999e-01       6.98363384e-11      1            tight
25      26x26       9.99999999e-01       8.23741912e-11      1            tight
26      26x26       9.99999999e-01       7.55501369e-11      1            tight
27      26x26       9.99999999e-01       6.94374904e-11      1            tight
28      22x22       9.99999999e-01       1.57514225e-10      1            tight
29      22x22       9.99999999e-01       1.53871578e-10      1            tight
30      22x22       9.99999999e-01       1.47004940e-10      1            tight
31      22x22       9.99999999e-01       1.42838337e-10      1            tight
32      22x22       9.99999999e-01       1.33500588e-10      1            tight
33      22x22       9.99999999e-01       1.36589712e-10      1            tight
34      22x22       9.99999999e-01       1.10714713e-10      1            tight
35      22x22       9.99999999e-01       1.44014139e-10      1            tight
36      22x22       9.99999999e-01       1.25272993e-10      1            tight
37      22x22       9.99999999e-01       1.56205075e-10      1            tight
38      22x22       9.99999999e-01       1.56678168e-10      1            tight
39      22x22       9.99999999e-01       1.41391328e-10      1            tight
40      22x22       9.99999999e-01       1.48775040e-10      1            tight
41      22x22       9.99999999e-01       1.33316457e-10      1            tight
42      22x22       9.99999999e-01       1.28246208e-10      1            tight
43      22x22       9.99999999e-01       1.07902833e-10      1            tight
44      22x22       9.99999999e-01       1.36610404e-10      1            tight
45      22x22       9.99999999e-01       1.15580210e-10      1            tight
46      22x22       9.99999999e-01       1.62392868e-10      1            tight
47      22x22       9.99999999e-01       1.54449803e-10      1            tight
48      22x22       9.99999999e-01       1.47873912e-10      1            tight
49      22x22       9.99999999e-01       1.43983889e-10      1            tight
50      22x22       9.99999999e-01       1.38196206e-10      1            tight
51      22x22       9.99999999e-01       1.31616649e-10      1            tight
52      22x22       9.99999999e-01       1.18119794e-10      1            tight
53      22x22       9.99999999e-01       1.39446789e-10      1            tight
54      22x22       9.99999999e-01       1.13085075e-10      1            tight
55      22x22       9.99999999e-01       1.60210461e-10      1            tight
56      22x22       9.99999999e-01       1.53085393e-10      1            tight
57      22x22       9.99999999e-01       1.45332491e-10      1            tight
58      22x22       9.99999999e-01       1.42831262e-10      1            tight
59      22x22       9.99999999e-01       1.34738291e-10      1            tight
60      22x22       9.99999999e-01       1.29550573e-10      1            tight
61      22x22       9.99999999e-01       1.08597317e-10      1            tight
62      22x22       9.99999999e-01       1.37243324e-10      1            tight
63      22x22       9.99999999e-01       1.12679971e-10      1            tight
64      22x22       9.99999999e-01       1.59867507e-10      1            tight
65      22x22       9.99999999e-01       1.52886723e-10      1            tight
66      22x22       9.99999999e-01       1.45307312e-10      1            tight
67      22x22       9.99999999e-01       1.42882478e-10      1            tight
68      22x22       9.99999999e-01       1.34140770e-10      1            tight
69      22x22       9.99999999e-01       1.29815610e-10      1            tight
70      22x22       9.99999999e-01       1.08581865e-10      1            tight
71      22x22       9.99999999e-01       1.37555168e-10      1            tight
72      22x22       9.99999999e-01       1.11714043e-10      1            tight
73      22x22       9.99999999e-01       1.60485489e-10      1            tight
74      22x22       9.99999999e-01       1.52942953e-10      1            tight
75      22x22       9.99999999e-01       1.46152618e-10      1            tight
76      22x22       9.99999999e-01       1.43198387e-10      1            tight
77      22x22       9.99999999e-01       1.35103275e-10      1            tight
78      22x22       9.99999999e-01       1.31052562e-10      1            tight
79      22x22       9.99999999e-01       1.07424641e-10      1            tight
80      22x22       9.99999999e-01       1.39089923e-10      1            tight
81      22x22       9.99999999e-01       1.11235069e-10      1            tight
82      22x22       9.99999999e-01       1.61004922e-10      1            tight
83      22x22       9.99999999e-01       1.52827213e-10      1            tight
84      22x22       9.99999999e-01       1.46888073e-10      1            tight
