block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9999999889695190e-01,1.0915321253720729e-10,1,True,tight
1,253x253,9.9999999833128606e-01,2.1721519471463174e-10,1,True,tight
2,253x253,9.9999999824911223e-01,1.9827500874828661e-10,1,True,tight
3,253x253,9.9999999822833152e-01,2.0301522099697494e-10,1,True,tight
4,253x253,9.9999999822527763e-01,1.9814532039748468e-10,1,True,tight
5,253x253,9.9999999823297026e-01,1.9753963496211549e-10,1,True,tight
6,253x253,9.9999999823990782e-01,1.9943180526072534e-10,1,True,tight
7,253x253,9.9999999824722441e-01,2.0130737221335858e-10,1,True,tight
8,253x253,9.9999999825483032e-01,2.0242330090007934e-10,1,True,tight
9,253x253,9.9999999826279495e-01,2.0265153993618759e-10,1,True,tight
10,253x253,9.9999999826916641e-01,2.0263438894002046e-10,1,True,tight
11,253x253,9.9999999827465791e-01,2.0212167538400770e-10,1,True,tight
12,253x253,9.9999999827879904e-01,2.0123123179817995e-10,1,True,tight
13,253x253,9.9999999828356489e-01,1.9931738482127703e-10,1,True,tight
14,253x253,9.9999999829246666e-01,1.9648023142774457e-10,1,True,tight
15,253x253,9.9999999830796338e-01,2.0035610584878981e-10,1,True,tight
16,253x253,9.9999999832056008e-01,2.1305723789687553e-10,1,True,tight
17,253x253,9.9999999836971909e-01,2.2966338767306136e-10,1,True,tight
18,253x253,9.9999999856584088e-01,1.8102042517880408e-10,1,True,tight
19,26x26,9.9999999910027615e-01,9.3130422177594557e-11,1,True,tight
20,22x22,9.9999999880960400e-01,1.6431922177462700e-10,1,True,tight
21,26x26,9.9999999914877102e-01,7.2008232235987319e-11,1,True,tight
22,22x22,9.9999999889237179e-01,1.4704883562574296e-10,1,True,tight
23,26x26,9.9999999950097063e-01,6.8021002277450011e-11,1,True,tight
24,26x26,9.9999999949869844e-01,6.9836338437785359e-11,1,True,tight
25,26x26,9.9999999936595596e-01,8.2374191152663088e-11,1,True,tight
26,26x26,9.9999999948880991e-01,7.5550136919839408e-11,1,True,tight
27,26x26,9.9999999948744078e-01,6.9437490399942634e-11,1,True,tight
28,22x22,9.9999999882690982e-01,1.5751422548954871e-10,1,True,tight
29,22x22,9.9999999877827894e-01,1.5387157818425826e-10,1,True,tight
30,22x22,9.9999999892638158e-01,1.4700494036300983e-10,1,True,tight
31,22x22,9.9999999889054270e-01,1.4283833735799959e-10,1,True,tight
32,22x22,9.9999999928189376e-01,1.3350058829489419e-10,1,True,tight
33,22x22,9.9999999929476879e-01,1.3658971199106909e-10,1,True,tight
34,22x22,9.9999999921644800e-01,1.1071471320815533e-10,1,True,tight
35,22x22,9.9999999926666838e-01,1.4401413885087502e-10,1,True,tight
36,22x22,9.9999999928979577e-01,1.2527299334829206e-10,1,True,tight
37,22x22,9.9999999876913803e-01,1.5620507532363543e-10,1,True,tight
38,22x22,9.9999999875640488e-01,1.5667816784941177e-10,1,True,tight
39,22x22,9.9999999891423874e-01,1.4139132784765138e-10,1,True,tight
40,22x22,9.9999999889234115e-01,1.4877504023823182e-10,1,True,tight
41,22x22,9.9999999923084992e-01,1.3331645652764097e-10,1,True,tight
42,22x22,9.9999999927428973e-01,1.2824620807468785e-10,1,True,tight
43,22x22,9.9999999914645166e-01,1.0790283260658111e-10,1,True,tight
44,22x22,9.9999999923067528e-01,1.3661040388597458e-10,1,True,tight
45,22x22,9.9999999924777028e-01,1.1558021011844069e-10,1,True,tight
46,22x22,9.9999999875222267e-01,1.6239286807068695e-10,1,True,tight
47,22x22,9.9999999875366052e-01,1.5444980325188577e-10,1,True,tight
48,22x22,9.9999999890968527e-01,1.4787391229780995e-10,1,True,tight
49,22x22,9.9999999889964464e-01,1.4398388906129402e-10,1,True,tight
50,22x22,9.9999999921234850e-01,1.3819620590945024e-10,1,True,tight
51,22x22,9.9999999926303262e-01,1.3161664900557807e-10,1,True,tight
52,22x22,9.9999999911271631e-01,1.1811979381289996e-10,1,True,tight
53,22x22,9.9999999921786575e-01,1.3944678910669973e-10,1,True,tight
54,22x22,9.9999999923206795e-01,1.1308507539231275e-10,1,True,tight
55,22x22,9.9999999875162582e-01,1.6021046098638084e-10,1,True,tight
56,22x22,9.9999999875724310e-01,1.5308539321693218e-10,1,True,tight
57,22x22,9.9999999891334568e-01,1.4533249095555714e-10,1,True,tight
58,22x22,9.9999999890416180e-01,1.4283126209091524e-10,1,True,tight
59,22x22,9.9999999920928273e-01,1.3473829148116537e-10,1,True,tight
60,22x22,9.9999999926458294e-01,1.2955057327865416e-10,1,True,tight
61,22x22,9.9999999912123716e-01,1.0859731677256669e-10,1,True,tight
62,22x22,9.9999999921616711e-01,1.3724332370158427e-10,1,True,tight
63,22x22,9.9999999922361849e-01,1.1267997124711931e-10,1,True,tight
64,22x22,9.9999999875648449e-01,1.5986750670184621e-10,1,True,tight
65,22x22,9.9999999876294454e-01,1.5288672339522690e-10,1,True,tight
66,22x22,9.9999999891719960e-01,1.4530731207128851e-10,1,True,tight
67,22x22,9.9999999890819447e-01,1.4288247791062781e-10,1,True,tight
68,22x22,9.9999999921050309e-01,1.3414077027279740e-10,1,True,tight
69,22x22,9.9999999926783278e-01,1.2981561034090505e-10,1,True,tight
70,22x22,9.9999999912284876e-01,1.0858186542759003e-10,1,True,tight
71,22x22,9.9999999921751714e-01,1.3755516794431758e-10,1,True,tight
72,22x22,9.9999999922213889e-01,1.1171404295299212e-10,1,True,tight
73,22x22,9.9999999876178214e-01,1.6048548905427435e-10,1,True,tight
74,22x22,9.9999999876870882e-01,1.5294295308922659e-10,1,True,tight
75,22x22,9.9999999891973257e-01,1.4615261814745271e-10,1,True,tight
76,22x22,9.9999999891073044e-01,1.4319838733350150e-10,1,True,tight
77,22x22,9.9999999921436944e-01,1.3510327541514757e-10,1,True,tight
78,22x22,9.9999999927055194e-01,1.3105256242180317e-10,1,True,tight
79,22x22,9.9999999913128823e-01,1.0742464091524247e-10,1,True,tight
80,22x22,9.9999999921955340e-01,1.3908992315633891e-10,1,True,tight
81,22x22,9.9999999922508487e-01,1.1123506902073221e-10,1,True,tight
82,22x22,9.9999999876710710e-01,1.6100492206228419e-10,1,True,tight
83,22x22,9.9999999877397827e-01,1.5282721317979995e-10,1,True,tight
84,22x22,9.9999999892093927e-01,1.4688807295422642e-10,1,True,tight
85,22x22,9.9999999891183922e-01,1.4349679001274757e-10,1,True,tight
86,22x22,9.9999999921959426e-01,1.3595825670373625e-10,1,True,tight
87,22x22,9.9999999927323624e-01,1.3210090620597708e-10,1,True,tight
88,22x22,9.9999999914288895e-01,1.0448510878677068e-10,1,True,tight
89,22x22,9.9999999922249105e-01,1.4044569856482457e-10,1,True,tight
90,22x22,9.9999999923094285e-01,1.1026390984059553e-10,1,True,tight
91,22x22,9.9999999877232948e-01,1.6104440331315436e-10,1,True,tight
92,22x22,9.9999999877832546e-01,1.5262302344005011e-10,1,True,tight
93,22x22,9.9999999892175917e-01,1.4719385153868498e-10,1,True,tight
94,22x22,9.9999999891216018e-01,1.4363655885018647e-10,1,True,tight
95,22x22,9.9999999922512461e-01,1.3636834772577713e-10,1,True,tight
96,22x22,9.9999999927571159e-01,1.3275079655042749e-10,1,True,tight
97,22x22,9.9999999915543747e-01,1.0009188720059694e-10,1,True,tight
98,22x22,9.9999999922582850e-01,1.4129446978108339e-10,1,True,tight
99,22x22,9.9999999923795901e-01,1.0864260622389485e-10,1,True,tight
100,22x22,9.9999999877682311e-01,1.6078736036259087e-10,1,True,tight
