k,kin_error_link1,kin_error_link2
0,1.4884728091725845e-08,1.4898252779474820e-08
1,4.0822057750313547e-07,5.0745420904124122e-07
2,2.5725986211237815e-04,1.0933636694193858e-03
3,3.9562038479043721e-04,4.5713130835610613e-03
4,3.2477582419543615e-04,6.2069253341155766e-03
5,1.2514238071132141e-03,5.1275531491135444e-03
6,3.6266158896128536e-03,1.2034097697508118e-02
7,9.3367479636564867e-04,1.5743864710663095e-03
8,4.1304221320068369e-04,1.9817314170593285e-03
9,1.3088992316780839e-03,2.0853480136870509e-03
10,1.0891787612528946e-03,1.2758187363591611e-03
11,1.4022661467941176e-02,1.5872567128263626e-02
12,9.1893208142598496e-03,2.9023647163255555e-03
13,2.9053606057158903e-03,7.9184510613019687e-04
14,4.8869743708147674e-03,1.2129583457410510e-02
15,3.6030163443876826e-03,4.3651916619733069e-03
16,3.4883351967664048e-03,1.0921598677701807e-03
17,1.9763502378221942e-03,1.1645494042193457e-03
18,6.2855362560893619e-04,7.4234659941038272e-04
19,9.5271790998835459e-04,8.5504950046470029e-05
