block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9999999998945910e-01,1.1270094330957935e-12,1,True,tight
1,253x253,9.9999999998336098e-01,2.3212897492928106e-12,1,True,tight
2,253x253,9.9999999998238376e-01,2.5152902118860603e-12,1,True,tight
3,253x253,9.9999999998322453e-01,2.0928612193066159e-12,1,True,tight
4,253x253,9.9999999998387012e-01,1.9637532888978798e-12,1,True,tight
5,253x253,9.9999999998390487e-01,2.1602244041142408e-12,1,True,tight
6,253x253,9.9999999998408207e-01,2.2090300851577290e-12,1,True,tight
7,253x253,9.9999999998412270e-01,2.2546479908299851e-12,1,True,tight
8,253x253,9.9999999998414169e-01,2.3050910148263227e-12,1,True,tight
9,253x253,9.9999999998417288e-01,2.3353463823174187e-12,1,True,tight
10,253x253,9.9999999998421318e-01,2.3413220110832160e-12,1,True,tight
11,253x253,9.9999999998425892e-01,2.3321698315388620e-12,1,True,tight
12,253x253,9.9999999998430422e-01,2.3185573922234358e-12,1,True,tight
13,253x253,9.9999999998435485e-01,2.2992294436570209e-12,1,True,tight
14,253x253,9.9999999998444200e-01,2.2631899861971059e-12,1,True,tight
15,253x253,9.9999999998461919e-01,2.1924373539670734e-12,1,True,tight
16,253x253,9.9999999998489764e-01,2.1209958518132764e-12,1,True,tight
17,253x253,9.9999999998537237e-01,2.0765535115192442e-12,1,True,tight
18,253x253,9.9999999998687883e-01,1.7391665861915279e-12,1,True,tight
19,26x26,9.9999999999149558e-01,9.0805375537482898e-13,1,True,tight
20,22x22,9.9999999998858236e-01,1.7053727494592014e-12,1,True,tight
21,26x26,9.9999999999201084e-01,6.3382203459710323e-13,1,True,tight
22,22x22,9.9999999998961564e-01,1.4238533049678102e-12,1,True,tight
23,26x26,9.9999999999525457e-01,6.9524041853289348e-13,1,True,tight
24,26x26,9.9999999999521760e-01,7.1435723345373064e-13,1,True,tight
25,26x26,9.9999999999392464e-01,9.1063171567726890e-13,1,True,tight
26,26x26,9.9999999999510103e-01,7.9066416018962696e-13,1,True,tight
27,26x26,9.9999999999507583e-01,7.4033833706176028e-13,1,True,tight
28,22x22,9.9999999998855349e-01,1.6188504491294188e-12,1,True,tight
