k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-9.9048137020886773e-01,-1.3764684983163253e-01,1.3764684983163253e-01,-9.9048137020886773e-01,-9.9226600059069181e-01,-1.2412970664165483e-01,1.2412970664165483e-01,-9.9226600059069181e-01,9.9899253314207137e-01,-4.4876705825883559e-02,4.4876705825883559e-02,9.9899253314207137e-01,9.9999779700683211e-01,-2.0990428426267732e-03,2.0990428426267732e-03,9.9999779700683211e-01,3.0035073976242557e+00,3.0171419473245757e+00,1.7208829762019104e+02,1.7286949977358074e+02,4.4891782499704748e-02,2.5721096720523309e+00,2.0990443840209175e-03,1.2026638421503619e-01,nan,nan,nan,nan,nan,8.3717329899585953e-13,1.1453824486186341e-12,-5.9197091673013347e-13,-8.0979667416158918e-13,8.5491534375748309e-13,-6.0440541460593522e-13,8.8725924840222085e-13,-6.2749805351813848e-13
1.0000000000000000e+00,-9.9566063024318796e-01,-9.3058634115419411e-02,9.3058634115419411e-02,-9.9566063024318796e-01,-9.9252436820814161e-01,-1.2204662433825446e-01,1.2204662433825446e-01,-9.9252436820814161e-01,9.9979273709907779e-01,-2.0358851709308304e-02,2.0358851709308304e-02,9.9979273709907779e-01,9.9947382076593738e-01,-3.2435807382584711e-02,3.2435807382584711e-02,9.9947382076593738e-01,3.0483991801240298e+00,3.0192409917086267e+00,1.7466040729224733e+02,1.7298976615779748e+02,2.0360258370823604e-02,1.1665568744440979e+00,3.2441497596358781e-02,1.8587608933551629e+00,2.1360398822107802e+00,1.9255244881636212e+01,-9.2111883271502781e-01,-9.6197977122525344e+00,3.8274207073111854e-01,4.3868383295662380e-13,9.4236949370807457e-13,-3.1019631308026874e-13,-6.6635585938001896e-13,1.4322383408113395e-12,-1.0126344207606053e-12,4.2125580666513292e-12,-2.9787283750692950e-12
2.0000000000000000e+00,-9.9734883366497851e-01,-7.2768839389032586e-02,7.2768839389032586e-02,-9.9734883366497851e-01,-9.9596080329542780e-01,-8.9789076709314242e-02,8.9789076709314242e-02,-9.9596080329542780e-01,9.9987625666217816e-01,-1.5731222521426745e-02,1.5731222521426745e-02,9.9987625666217816e-01,9.9970041746147575e-01,-2.4476015274929996e-02,2.4476015274929996e-02,9.9970041746147575e-01,3.0687594384948689e+00,3.0516824893049277e+00,1.7582696416669233e+02,1.7484852705114935e+02,1.5731871431546807e-02,9.0136983687006456e-01,2.4478459763488752e-02,1.4025124334287089e+00,1.0813658728260296e+00,1.9443112179580197e+01,-8.5180219113791433e-01,-9.6664559740850091e+00,-5.6546626221094562e-02,1.5276214597186231e-12,3.9811264382406223e-12,-1.0801359806578148e-12,-2.8151925235420094e-12,1.7131278816703644e-12,-1.2113643421685083e-12,5.1088453472914550e-12,-3.6124436775253344e-12
3.0000000000000000e+00,-9.9837016119673216e-01,-5.7070318296129879e-02,5.7070318296129879e-02,-9.9837016119673216e-01,-9.9786010964441352e-01,-6.5385025635131516e-02,6.5385025635131516e-02,-9.9786010964441352e-01,9.9991764937074468e-01,-1.2833334545000200e-02,1.2833334545000200e-02,9.9991764937074468e-01,9.9985677864471167e-01,-1.6924012346703640e-02,1.6924012346703640e-02,9.9985677864471167e-01,3.0844913099263938e+00,3.0761609490684845e+00,1.7672833400356112e+02,1.7625103948458195e+02,1.2833686834335537e-02,7.3531609120003638e-01,1.6924820353012709e-02,9.6972077524474432e-01,8.0755494206745237e-01,1.9517546569603073e+01,-6.6348479015666673e-01,-9.7261036423545626e+00,-7.6000127149437866e-02,2.2478228698484169e-12,4.4297018536850301e-12,-1.5893952820533741e-12,-3.1322722193749541e-12,1.8958866438608311e-12,-1.3407053245373390e-12,6.0933718229058668e-12,-4.3086645362677700e-12
4.0000000000000000e+00,-9.9902034727353273e-01,-4.4253200241118631e-02,4.4253200241118631e-02,-9.9902034727353273e-01,-9.9882377175023074e-01,-4.8487864287216818e-02,4.8487864287216818e-02,-9.9882377175023074e-01,9.9994890712434514e-01,-1.0108567639656067e-02,1.0108567639656067e-02,9.9994890712434514e-01,9.9992496498618477e-01,-1.2250077325915258e-02,1.2250077325915258e-02,9.9992496498618477e-01,3.0973249967607566e+00,3.0930857694216152e+00,1.7746365009476273e+02,1.7722076025983344e+02,1.0108739801774775e-02,5.7918812683760701e-01,1.2250383730030607e-02,7.0189528514648469e-01,6.4032157280015600e-01,1.9559684696728279e+01,-5.0451195889399070e-01,-9.7623793182667296e+00,-5.4233381552478935e-02,2.6722188612129375e-12,4.9602360954752175e-12,-1.8894885656095539e-12,-3.5075276016982571e-12,1.5587877929816072e-12,-1.1023404411503179e-12,4.0817693648402122e-12,-2.8862467971180195e-12
5.0000000000000000e+00,-9.9941664091960236e-01,-3.4152274464061605e-02,3.4152274464061605e-02,-9.9941664091960236e-01,-9.9934280508308049e-01,-3.6248557560779146e-02,3.6248557560779146e-02,-9.9934280508308049e-01,9.9996939367500193e-01,-7.8237914154870632e-03,7.8237914154870632e-03,9.9996939367500193e-01,9.9995848141420018e-01,-9.1123786535062638e-03,9.1123786535062638e-03,9.9995848141420018e-01,3.1074337365625424e+00,3.1053361531516677e+00,1.7804283822160096e+02,1.7792265554498118e+02,7.8238712356348203e-03,4.4827480125567959e-01,9.1125047666350319e-03,5.2210806392103248e-01,4.9866855954326023e-01,1.9584537020936196e+01,-3.8463590125081959e-01,-9.7825211131437442e+00,-4.1040001154839904e-02,2.7011870659197396e-12,4.8692492381260037e-12,-1.9101387138675818e-12,-3.4431346662699980e-12,1.6065186037252389e-12,-1.1358691764939977e-12,4.3582626468144430e-12,-3.0817570717545095e-12
6.0000000000000000e+00,-9.9965325272147698e-01,-2.6332001852665730e-02,2.6332001852665730e-02,-9.9965325272147698e-01,-9.9963162436711150e-01,-2.7140662527461008e-02,2.7140662527461008e-02,-9.9963162436711150e-01,9.9998185173468457e-01,-6.0246327802491572e-03,6.0246327802491572e-03,9.9998185173468457e-01,9.9997672069213417e-01,-6.8233474843291987e-03,6.8233474843291987e-03,9.9997672069213417e-01,3.1152576077982563e+00,3.1144486579182509e+00,1.7849111302286119e+02,1.7844476360889925e+02,6.0246692260607151e-03,3.4518811961562706e-01,6.8234004324311181e-03,3.9095204670604394e-01,3.8390911082391355e-01,1.9599238038010270e+01,-2.9404656202237056e-01,-9.7940436946201253e+00,-3.3137489641784638e-02,2.5485740789359061e-12,3.8757732342613169e-12,-1.8021140135715541e-12,-2.7405855362871989e-12,1.6043204742830859e-12,-1.1345369088644475e-12,4.1203936393238687e-12,-2.9136693058262608e-12
7.0000000000000000e+00,-9.9979375139133131e-01,-2.0308980217282807e-02,2.0308980217282807e-02,-9.9979375139133131e-01,-9.9979354380768815e-01,-2.0319196782256521e-02,2.0319196782256521e-02,-9.9979354380768815e-01,9.9998928067712312e-01,-4.6301760055001487e-03,4.6301760055001487e-03,9.9998928067712312e-01,9.9998694882193107e-01,-5.1090295641735336e-03,5.1090295641735336e-03,9.9998694882193107e-01,3.1212822770243314e+00,3.1212720583506974e+00,1.7883630114247762e+02,1.7883571565560618e+02,4.6301925496898344e-03,2.6529049143014521e-01,5.1090517905790604e-03,2.9272710491393628e-01,2.9469872393049940e-01,1.9607864928476047e+01,-2.2501957899474653e-01,-9.8007240098906649e+00,-2.7202266828643490e-02,1.9555501572907879e-12,3.6604350543942913e-12,-1.3827827771706325e-12,-2.5882629373086274e-12,1.4254869432391256e-12,-1.0079714840571796e-12,3.8424087703158677e-12,-2.7170488081651456e-12
8.0000000000000000e+00,-9.9987706843277047e-01,-1.5679541480664617e-02,1.5679541480664617e-02,-9.9987706843277047e-01,-9.9988430670261108e-01,-1.5210956819365597e-02,1.5210956819365597e-02,-9.9988430670261108e-01,9.9999369736091126e-01,-3.5503855417948283e-03,3.5503855417948283e-03,9.9999369736091126e-01,9.9999270156407460e-01,-3.8205779573381353e-03,3.8205779573381353e-03,9.9999270156407460e-01,3.1259124695739908e+00,3.1263811101413506e+00,1.7910159163390603e+02,1.7912844276052436e+02,3.5503930007476660e-03,2.0342253455562900e-01,3.8205872521164586e-03,2.1890352480775768e-01,2.2630827426685518e-01,1.9612910134900144e+01,-1.7233873292255772e-01,-9.8046076592888713e+00,-2.2328621075901087e-02,1.7607016831681405e-12,3.5046818825302414e-12,-1.2450040998146505e-12,-2.4782398355682744e-12,1.3560103542147231e-12,-9.5889962636874770e-13,3.7555041519257268e-12,-2.6555424526009119e-12
9.0000000000000000e+00,-9.9992643498630995e-01,-1.2129493570927314e-02,1.2129493570927314e-02,-9.9992643498630995e-01,-9.9993512375876747e-01,-1.1390709861034506e-02,1.1390709861034506e-02,-9.9993512375876747e-01,9.9999632180416032e-01,-2.7122642125209945e-03,2.7122642125209945e-03,9.9999632180416032e-01,9.9999593253504659e-01,-2.8521764952111851e-03,2.8521764952111851e-03,9.9999593253504659e-01,3.1294628625746546e+00,3.1302016973935434e+00,1.7930501416845686e+02,1.7934734628533650e+02,2.7122675379397648e-03,1.5540148283428740e-01,2.8521803622625964e-03,1.6341789716774099e-01,1.7410125007819288e-01,1.9615858289911241e+01,-1.3220431955754045e-01,-9.8068655942596070e+00,-1.8314948799593726e-02,1.8125932406275944e-12,3.3942258771826148e-12,-1.2816414596272807e-12,-2.3999691123322009e-12,1.4024850909164458e-12,-9.9165120559518982e-13,3.6807677508923811e-12,-2.6026958366287545e-12
