k,kin_error_link1,kin_error_link2
0,6.3438100668828914e-13,5.4684719541873191e-13
1,1.7312635738016998e-13,5.9255657721274479e-13
2,4.9749620327250117e-13,2.3321177490939511e-12
3,7.3671274842579590e-13,2.7864688767478214e-12
4,7.6509953996057422e-13,2.0865834280729176e-12
5,8.8665186696468941e-13,2.6769070918212397e-12
6,1.0989097371627606e-12,2.1680147172746247e-12
7,8.1135557965126068e-13,2.0018161995521074e-12
8,6.6272508946324597e-13,1.9359667578120391e-12
9,7.7279715471716553e-13,1.9788523816389948e-12
10,6.4166409670664184e-13,1.7555624827079111e-12
11,5.6110471553452490e-13,1.9312551838154779e-12
12,7.0237290465890620e-13,1.7690182285504771e-12
13,7.7618867756041752e-13,1.9045765898807736e-12
14,6.6441799207111776e-13,1.9656227265782867e-12
15,9.4126392193030065e-13,1.9756861833422884e-12
16,5.8331004869175065e-13,1.7143122232843087e-12
17,1.1287913467616944e-12,2.3358345833860358e-12
18,5.6624834493609247e-13,1.9943423357765711e-12
19,7.6282617553409393e-13,1.1316112801083389e-12
