k,kin_error_link1,kin_error_link2
0,1.6962328206253511e-08,1.7011165607179953e-08
1,1.8302840197051016e-04,7.4060649639392498e-05
2,2.2397726008118934e-03,6.8288017641036924e-03
3,1.7209102627620760e-03,4.6695449080276638e-03
4,5.1948460808436852e-04,1.3168173538302334e-03
5,6.0652850602452312e-05,2.6621416406868276e-04
6,3.4897264041059008e-04,1.2682050681844022e-03
7,1.3344956163756903e-03,3.2134865807706544e-03
8,1.4361348686653308e-03,4.1803673496831348e-03
9,6.8146139685300394e-02,3.6149342043245693e-02
10,2.8867115478043204e-02,2.0146994488456190e-02
11,1.8582390102383102e-03,6.0603590726596712e-03
12,1.5882167550392268e-03,5.4109067463583155e-03
13,6.0739104502142288e-04,1.6787535359535696e-03
14,9.5480408672473055e-04,1.1468109958941190e-03
15,8.1553777548975311e-04,1.0120636338710476e-03
16,6.1071620251758698e-04,9.3413346502109994e-04
17,3.3756564373712091e-04,7.7542794334639522e-04
18,5.8943780432400787e-05,6.5430542705051647e-04
19,2.2553656908509879e-04,4.9636843205887909e-04
