k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg,mpc_iteration,angle_ok,step_ok,stable_counter
0.0000000000000000e+00,0.0000000000000000e+00,nan,8.7266462599716474e-02,8.7266462599716474e-02,5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2501662875683853e-18,3.2501662875683853e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3577871373829083e-02,-4.9809734904587277e-01,8.7155742747658166e-02,-9.9619469809174555e-01,4.3194695232095226e+00,2.4748737341529164e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.7500000000000000e+02,-1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.0000000000000000e+00,False,False,0
1.0000000000000000e+00,1.0000000000000001e-01,3.6869795688159428e+00,-1.2727271350901900e-01,5.5262667971619528e-01,-7.2921893312444466e+00,3.1663176394065889e+01,-4.6568662754173269e-03,1.1226151558998599e-02,-2.6681878333822007e-01,6.4321110450482910e-01,6.7538218657768491e-15,8.9628591721110044e-15,3.9147599299331892e-19,4.4011690549497821e-19,4.6629367034256575e-15,6.2172489379008766e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.3464695249708755e-02,-4.9595587753031178e-01,1.9899767080034569e-01,-9.2153020289241261e-01,3.9735210475148905e+00,2.2766598582900508e+02,1.2153718868425522e-02,6.9635679654929705e-01,1.7270781066875557e+02,-1.4833682360593411e+02,-2.6681878333822384e-01,6.4321110450481889e-01,0.0000000000000000e+00,False,True,0
2.0000000000000000e+00,2.0000000000000001e-01,-2.6409528607848278e+00,-3.9206078364792674e-01,2.0504536988343487e+00,-2.2463428215617881e+01,1.1748234303019694e+02,2.2536369722617406e-03,7.9330425420478395e-04,1.2912388706523911e-01,4.5452985635707509e-02,1.3081692493125307e-14,8.7684288913015311e-15,2.2204465456628951e-16,1.5700925491151372e-16,9.3258734068513149e-15,6.2172489379008766e-15,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9104682197153916e-01,-4.6206180518906237e-01,2.5252972261317241e-01,-2.3132418559856863e-01,2.9581260491079178e+00,1.6948813788159259e+02,2.3891863138910058e-03,1.3689029225637298e-01,1.5753657178438212e+02,-6.2517656969803049e+01,1.2912388706523470e-01,4.5452985635706315e-02,1.0000000000000000e+00,False,True,0
