k,kin_error_link1,kin_error_link2
0,8.2186504372402363e-14,8.3496321309830507e-14
1,3.9862572773212263e-14,1.4576767474704683e-13
2,2.2826904913950942e-13,3.0132656176907478e-13
3,7.9734993941094564e-13,6.6204585894319900e-12
4,8.5375948833140052e-13,2.2417688691729587e-12
5,5.8770528161346614e-13,1.0169408830725303e-12
6,2.3768582964319084e-13,1.3862658239822794e-12
7,5.0202716959226213e-13,7.1930062172240722e-13
8,3.3231002729712422e-13,7.9490443372865590e-13
9,3.0623128219255704e-13,8.7267976362966350e-13
10,4.7107933889301473e-13,8.3404634327970397e-13
11,3.5037274902861589e-13,8.4045755894630753e-13
12,2.4593500666617884e-13,6.6860382721882777e-13
13,4.0266331989930664e-13,9.5523132327257397e-13
14,3.6157911749037988e-13,8.4907146028414315e-13
15,3.7839650264694508e-13,7.5115313062679744e-13
16,2.1197870581730452e-13,9.7135803456789160e-13
17,5.3630488115533481e-13,8.7427990770384650e-13
18,2.8695397101222808e-13,7.5907514510341567e-13
19,2.3772672260213489e-13,4.0673928143071653e-13
