k,kin_error_link1,kin_error_link2
0,2.9363090498365652e-11,2.9833545395502619e-11
1,2.4611543804681596e-11,3.3981356608184710e-11
2,1.0512387342365218e-10,3.9850232746444054e-10
3,1.4602452245498960e-10,5.0332948389789954e-10
4,1.3940684565606710e-10,4.2343541657644291e-10
5,1.7666102677668129e-10,5.7241601392180482e-10
6,1.8131596050978127e-10,6.9078217803962833e-10
7,1.5252189227823529e-10,5.2729823136524785e-10
8,1.2512708188478395e-10,3.5275230838778502e-10
9,1.2192099945332374e-10,3.7960409215230610e-10
10,1.2223180728984516e-10,3.6248037654468792e-10
11,1.1862681969145476e-10,3.4104781675633203e-10
12,1.1000969698688717e-10,3.3097252127206585e-10
13,9.8557567797986298e-11,3.3113126928128328e-10
14,8.7179774550230890e-11,3.2889126316718804e-10
15,8.2429626786902239e-11,3.2259566563950065e-10
16,9.0958049708243291e-11,3.1467320264492577e-10
17,1.1645212393514667e-10,3.1640132146168072e-10
18,1.5172345431536148e-10,3.6259960923258100e-10
19,1.0022407171539771e-10,2.2569516750618619e-10
