block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9999999845784671e-01,2.8310372312498802e-10,1,True,tight
1,253x253,9.9999999709551934e-01,5.3226867416138481e-10,1,True,tight
2,253x253,9.9999999710797971e-01,4.2973384830454683e-10,1,True,tight
3,253x253,9.9999999713099097e-01,3.8561045903087608e-10,1,True,tight
4,253x253,9.9999999695153108e-01,4.5771412707421472e-10,1,True,tight
5,253x253,9.9999999676794959e-01,5.8141176969599291e-10,1,True,tight
6,253x253,9.9999999698160391e-01,5.1808366825374650e-10,1,True,tight
7,253x253,9.9999999737128720e-01,3.3386603011345516e-10,1,True,tight
8,253x253,9.9999999746759805e-01,3.4452224036812300e-10,1,True,tight
9,253x253,9.9999999746215973e-01,3.6491283227040479e-10,1,True,tight
10,253x253,9.9999999748985213e-01,3.6487955953811795e-10,1,True,tight
11,253x253,9.9999999752864188e-01,3.5322412477333992e-10,1,True,tight
12,253x253,9.9999999756445934e-01,3.3875709873911823e-10,1,True,tight
13,253x253,9.9999999759904890e-01,3.2110141948855477e-10,1,True,tight
14,253x253,9.9999999763169145e-01,3.0132891544035385e-10,1,True,tight
15,253x253,9.9999999765683900e-01,2.8483033044113858e-10,1,True,tight
16,253x253,9.9999999767433867e-01,2.7794761317946499e-10,1,True,tight
17,253x253,9.9999999769140124e-01,2.9679601407395272e-10,1,True,tight
18,253x253,9.9999999783734717e-01,2.7564182856694498e-10,1,True,tight
19,26x26,9.9999999872701240e-01,1.8974164162597929e-10,1,True,tight
20,22x22,9.9999999802404838e-01,3.7459256497476380e-10,1,True,tight
21,26x26,9.9999999872664236e-01,1.6410854832846541e-10,1,True,tight
22,22x22,9.9999999810726659e-01,3.3109775815234003e-10,1,True,tight
23,26x26,9.9999999919699900e-01,1.3490494392836267e-10,1,True,tight
24,26x26,9.9999999927952443e-01,1.5597081583588805e-10,1,True,tight
25,26x26,9.9999999908757908e-01,1.3166723744722217e-10,1,True,tight
26,26x26,9.9999999926638949e-01,1.6332921230171889e-10,1,True,tight
27,26x26,9.9999999900812853e-01,1.3400995224161835e-10,1,True,tight
28,22x22,9.9999999809693241e-01,3.4237440015826579e-10,1,True,tight
29,22x22,9.9999999809122708e-01,2.9862900406609209e-10,1,True,tight
30,22x22,9.9999999827879726e-01,3.0539262207794072e-10,1,True,tight
31,22x22,9.9999999830001240e-01,2.3880407566292643e-10,1,True,tight
32,22x22,9.9999999881107982e-01,2.7203976850213931e-10,1,True,tight
33,22x22,9.9999999873545198e-01,3.1111221088209625e-10,1,True,tight
34,22x22,9.9999999892123914e-01,1.9584124588769772e-10,1,True,tight
35,22x22,9.9999999868640743e-01,3.2504326483219448e-10,1,True,tight
36,22x22,9.9999999885999491e-01,2.5590680623199550e-10,1,True,tight
37,22x22,9.9999999809143203e-01,2.9711008811244411e-10,1,True,tight
38,22x22,9.9999999809346929e-01,2.8331206849055750e-10,1,True,tight
39,22x22,9.9999999835851627e-01,2.7128381003626296e-10,1,True,tight
40,22x22,9.9999999834232600e-01,2.1694860361354047e-10,1,True,tight
41,22x22,9.9999999876259704e-01,2.3387894088486975e-10,1,True,tight
42,22x22,9.9999999879396395e-01,2.5640631288795852e-10,1,True,tight
