k,kin_error_link1,kin_error_link2
0,5.7364341160342449e-11,5.8047445574981794e-11
1,9.4249862622012700e-11,1.5795422297408264e-10
2,2.0962381577843432e-10,7.8017048779746175e-10
3,2.0775544796357103e-09,5.0520067514694591e-09
4,2.7741490479118393e-09,1.1660863702014291e-08
5,6.9220630412840849e-09,3.7266083400686164e-08
6,1.1832879301137463e-08,1.9495838246057327e-08
7,1.1821377480760495e-08,1.0500668963492443e-08
8,1.7906266482945133e-08,8.7958524272215833e-09
9,1.7321552911286088e-08,3.4676941212155275e-08
10,1.4922168370671746e-08,1.3869855660039138e-08
11,1.3893905935974376e-08,1.1819187424387306e-08
12,1.1675816915482096e-08,1.1552541293843990e-08
13,9.1184317832014437e-09,1.1010369950009683e-08
14,6.8117948310460935e-09,1.0373825332396838e-08
15,5.0320701020203605e-09,9.7930293277899828e-09
16,3.7743257423774554e-09,9.3633922403060663e-09
17,2.8691713610604825e-09,9.1734544115639748e-09
18,2.2799883296128115e-09,9.8714471097470147e-09
19,5.3836282908624592e-10,5.9443601375705864e-09
