k,kin_error_link1,kin_error_link2
0,7.9297144169600685e-11,7.9876277174225203e-11
1,2.5603772959357675e-10,2.2882109766123606e-10
2,7.6045552575639856e-10,1.0724216024476485e-09
3,2.7619010008484893e-09,1.3464617171452254e-08
4,6.3970440043902819e-09,3.5182863174044403e-08
5,1.1884312705388155e-08,1.6967554405384946e-08
6,1.2911649457445942e-08,1.2239716857848588e-08
7,1.9120847241134091e-08,1.1054985635429862e-08
8,1.9173737960366762e-08,4.4334322013843710e-08
9,1.5887888379065449e-08,1.7639779308489873e-08
10,1.5107780467484966e-08,1.4281495426672252e-08
11,1.2937920048387425e-08,1.4048386130943938e-08
12,1.0454585161170774e-08,1.3638719654264485e-08
13,8.1037049853898988e-09,1.3091917624401076e-08
14,6.1347970007995675e-09,1.2502407781574847e-08
15,4.6964120222199938e-09,1.1993584890977514e-08
16,3.7245908945401163e-09,1.1640943467544508e-08
17,3.0225544390355678e-09,1.1528871506501736e-08
18,2.5825269204615487e-09,1.2543789992467615e-08
19,4.8921261509669863e-10,7.5928827647171681e-09
