k,kin_error_link1,kin_error_link2
0,1.0385251197828736e-08,1.0400868081905892e-08
1,1.1670125895819705e-06,2.0915929538008271e-06
2,5.7492364525796086e-04,5.1337064189082016e-03
3,2.6742602480576088e-04,7.0101082077780085e-03
4,1.4019544239822971e-03,4.2063786988488687e-03
5,2.0155633663729395e-03,8.3767280066369444e-03
6,7.2133651164017537e-04,2.2878235227201528e-03
7,1.9769315485015912e-01,3.9329513493960161e-01
8,2.9433243706080071e-02,2.4598983848051212e-01
9,1.7910532648342975e-01,2.7048062725763583e-01
10,5.4516769893851883e-03,6.0089024401524830e-03
11,1.9512945797393166e-02,9.7587419713682719e-03
12,5.3261532358302886e-03,9.4844953597360959e-03
13,1.0018708481448485e-02,1.7703487275969175e-02
14,9.2286933291987321e-03,1.0258005292785508e-02
15,6.1311203125185704e-03,1.0977836422736012e-03
16,3.4090162786587145e-03,1.4985214807912016e-03
17,2.0601369564053847e-03,1.8976210361207621e-03
18,6.7241884531263449e-04,8.8026832935744618e-04
19,1.1254844462552089e-03,1.4465365131866579e-04
