Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 9.9999999e-01
Maximum second weight: 8.5252886e-10
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
104     22x22       9.99999997e-01       4.65924961e-10      1            tight
105     22x22       9.99999997e-01       4.46591280e-10      1            tight
106     22x22       9.99999997e-01       3.21940445e-10      1            tight
107     22x22       9.99999997e-01       4.82719844e-10      1            tight
108     22x22       9.99999997e-01       3.46269532e-10      1            tight
109     22x22       9.99999995e-01       5.63190814e-10      1            tight
110     22x22       9.99999995e-01       5.33796804e-10      1            tight
111     22x22       9.99999996e-01       5.40544655e-10      1            tight
112     22x22       9.99999996e-01       5.31966733e-10      1            tight
113     22x22       9.99999997e-01       4.66359132e-10      1            tight
114     22x22       9.99999997e-01       4.47159639e-10      1            tight
115     22x22       9.99999997e-01       3.19395813e-10      1            tight
116     22x22       9.99999997e-01       4.83241546e-10      1            tight
117     22x22       9.99999997e-01       3.45453314e-10      1            tight
118     22x22       9.99999995e-01       5.62203961e-10      1            tight
119     22x22       9.99999995e-01       5.32655009e-10      1            tight
120     22x22       9.99999996e-01       5.40850028e-10      1            tight
121     22x22       9.99999996e-01       5.33105835e-10      1            tight
122     22x22       9.99999997e-01       4.65815230e-10      1            tight
123     22x22       9.99999997e-01       4.46773780e-10      1            tight
124     22x22       9.99999997e-01       3.30337228e-10      1            tight
125     22x22       9.99999997e-01       4.82903782e-10      1            tight
126     22x22       9.99999997e-01       3.46873549e-10      1            tight
127     22x22       9.99999995e-01       5.60839186e-10      1            tight
128     22x22       9.99999995e-01       5.29583469e-10      1            tight
129     22x22       9.99999996e-01       5.41051550e-10      1            tight
130     22x22       9.99999996e-01       5.34200029e-10      1            tight
131     22x22       9.99999997e-01       4.63706470e-10      1            tight
132     22x22       9.99999997e-01       4.45056224e-10      1            tight
133     22x22       9.99999997e-01       3.32181707e-10      1            tight
134     22x22       9.99999997e-01       4.81298580e-10      1            tight
135     22x22       9.99999997e-01       3.43820069e-10      1            tight
136     22x22       9.99999995e-01       5.58914310e-10      1            tight
137     22x22       9.99999995e-01       5.24742519e-10      1            tight
138     22x22       9.99999996e-01       5.40973292e-10      1            tight
139     22x22       9.99999996e-01       5.36953217e-10      1            tight
140     22x22       9.99999997e-01       4.58536995e-10      1            tight
141     22x22       9.99999997e-01       4.40391334e-10      1            tight
142     22x22       9.99999997e-01       3.28727923e-10      1            tight
143     22x22       9.99999997e-01       4.76984629e-10      1            tight
144     22x22       9.99999997e-01       3.35944735e-10      1            tight
145     22x22       9.99999995e-01       5.58087591e-10      1            tight
