k,kin_error_link1,kin_error_link2
0,9.7608408721227111e-11,9.7738429247305724e-11
1,8.7332016049039051e-11,1.0331081101959773e-10
2,2.1420364385530104e-10,5.8756642608060452e-10
3,2.7281609768995167e-10,7.1830006652919812e-10
4,3.2603728956525209e-10,7.5362232055262957e-10
5,3.4199587011187035e-10,7.7069799523250982e-10
6,3.5105968143845395e-10,7.5177059074851369e-10
7,3.5504949586030512e-10,7.3558203531303908e-10
8,3.5446388761247747e-10,7.2181660878468318e-10
9,3.5074371021698106e-10,7.0834171959928317e-10
10,3.4707616741440050e-10,6.9805391956303520e-10
11,3.4373469606403136e-10,6.8998400990207413e-10
12,3.4114292097921388e-10,6.8520129890668382e-10
13,3.3786463507296346e-10,6.8129857329792604e-10
14,3.3484640745270885e-10,6.7671709859164479e-10
15,3.3461086393531895e-10,6.7206638064637397e-10
16,3.3259031714729629e-10,6.5743372106508479e-10
17,3.5480856258051698e-10,7.0386173798907015e-10
18,3.9728043227454749e-10,8.0636973034171567e-10
19,2.7133140662358735e-10,4.4800866880646286e-10
