block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9776054450283069e-01,2.1953350693155759e-03,1,False,not tight
1,253x253,9.8748705125759617e-01,8.1042001254572633e-03,1,False,not tight
2,253x253,9.8965407459241961e-01,5.6037361503807103e-03,1,False,not tight
3,253x253,9.7800698092751392e-01,1.2488262197525331e-02,2,False,not tight
4,253x253,9.7658251099169990e-01,6.6016133899310615e-03,1,False,not tight
5,253x253,9.6793263620806869e-01,1.1143660719577363e-02,2,False,not tight
6,253x253,9.5289553095350898e-01,2.5630463274804113e-02,2,False,not tight
7,253x253,9.6398863962013581e-01,1.5473859542283468e-02,2,False,not tight
8,253x253,9.6979103265167999e-01,9.3985532418414033e-03,1,False,not tight
9,253x253,9.7331672578583528e-01,7.8679783064515754e-03,1,False,not tight
10,253x253,9.6259754237880779e-01,1.1731602361886796e-02,2,False,not tight
11,253x253,9.5978613963886728e-01,1.3901087503413682e-02,2,False,not tight
12,253x253,9.6383308514294108e-01,1.3253248903267850e-02,2,False,not tight
13,253x253,9.5621128937387079e-01,1.3339138019451817e-02,3,False,not tight
14,253x253,9.6713061568477365e-01,1.1222049050534363e-02,2,False,not tight
15,253x253,9.6868493583032300e-01,1.1598270000352590e-02,2,False,not tight
16,253x253,9.7336582202454724e-01,1.2045096114543753e-02,2,False,not tight
17,253x253,9.7772414039819389e-01,1.0826834527873926e-02,2,False,not tight
18,253x253,9.8277790108856911e-01,9.2413598394621484e-03,1,False,not tight
19,26x26,9.9871712235858856e-01,1.2655647403843825e-03,1,False,not tight
20,22x22,9.9282693882683382e-01,4.7846427657761512e-03,1,False,not tight
21,26x26,9.7644816565798465e-01,2.3261192076547390e-02,2,False,not tight
22,22x22,8.6049202802308911e-01,9.7846809759275108e-02,4,False,not tight
23,26x26,9.9983868610381743e-01,1.6089390763212986e-04,1,True,tight
24,26x26,9.9890472864923563e-01,1.0795203066784010e-03,1,False,not tight
25,26x26,9.9882938321129056e-01,1.1547459017893305e-03,1,False,not tight
26,26x26,9.9878430952508568e-01,1.1987347599133260e-03,1,False,not tight
27,26x26,9.9895649997772029e-01,1.0284527664010067e-03,1,False,not tight
28,22x22,9.9303587020430528e-01,4.7325985164137392e-03,1,False,not tight
29,22x22,9.9282130959221859e-01,4.4628928011023403e-03,1,False,not tight
30,22x22,9.9434084034440418e-01,3.8662626351794408e-03,1,False,not tight
31,22x22,9.9347589773580958e-01,4.4823307092727756e-03,1,False,not tight
32,22x22,9.9571332791298839e-01,2.9816726784773701e-03,1,False,not tight
33,22x22,9.9363555983270213e-01,4.2827887583631779e-03,1,False,not tight
34,22x22,9.9376263672460874e-01,4.2434629765729249e-03,1,False,not tight
35,22x22,9.9365120366963244e-01,4.2050277095854018e-03,1,False,not tight
36,22x22,9.9417406074071524e-01,3.9203939026666423e-03,1,False,not tight
37,22x22,9.9292965462886407e-01,4.3955177507598742e-03,1,False,not tight
38,22x22,9.8765329652876765e-01,7.0904644047260186e-03,1,False,not tight
39,22x22,9.9456206488032217e-01,3.7028724488328679e-03,1,False,not tight
40,22x22,9.8997477552707613e-01,6.3287411213667662e-03,1,False,not tight
41,22x22,9.1911260523876293e-01,4.0825713083672339e-02,3,False,not tight
42,22x22,9.9250298790013003e-01,4.6706496640543287e-03,1,False,not tight
43,22x22,9.7724884582153826e-01,1.3566115552472141e-02,2,False,not tight
44,22x22,9.9264933502159081e-01,4.6409022693720018e-03,1,False,not tight
