k,kin_error_link1,kin_error_link2
0,1.5709059580412602e-08,1.5735528359219732e-08
1,1.1011139826900028e-06,6.5552316139834230e-07
2,4.5896442071854460e-04,3.2810599210652109e-03
3,2.4501604236519742e-04,3.6810224878863966e-03
4,1.7692742709324061e-04,3.7286733260030727e-03
5,2.1667385471314677e-04,1.9683124256375073e-03
6,2.1699964354073686e-03,9.2964005733475585e-03
7,8.9746862076012495e-04,3.0686240994607986e-02
8,1.5920822088929189e-03,2.3050419671640864e-02
9,3.0454024143881440e-03,2.0003468510181657e-02
10,6.5263368850552561e-04,1.4398985650460258e-02
11,2.3602742845623774e-03,1.4732239265278457e-02
12,1.3654527370018422e-03,9.3367296244183644e-03
13,3.0110483554164824e-03,6.7729268450381630e-03
14,3.7974906243616103e-03,7.9384706562766628e-03
15,2.3027281674695920e-03,5.4447029831498047e-03
16,8.3357930556518522e-03,6.5981249265141383e-03
17,9.0341157781627223e-03,5.9392854019899516e-03
18,9.9243250834784216e-03,4.4967352504360573e-03
19,1.0339222819124637e-03,1.1490487685187232e-03
