k,kin_error_link1,kin_error_link2
0,2.8676272131289416e-13,4.8634619163610386e-13
1,1.0870721972218403e-13,3.0603943885290630e-13
2,1.0241799647151000e-12,3.7188169328541800e-12
3,8.9499004031981209e-13,3.3602313424182383e-12
4,8.7454008615806180e-13,3.4299752193762328e-12
5,1.0952805714930762e-12,2.6205973698036244e-12
6,8.8387503155740395e-13,2.3973554410552219e-12
7,1.0868245785836134e-12,2.0439709790279313e-12
8,8.4762642470418150e-13,2.2893189342224854e-12
9,7.9092975172135023e-13,1.9327746406976047e-12
10,7.7074410554820435e-13,2.0777921177148759e-12
11,1.0372000503962022e-12,2.1519868343087681e-12
12,7.3642744924320877e-13,2.2529492704448597e-12
13,6.6990391236692483e-13,2.0950050491925517e-12
14,8.7503130546526410e-13,1.9718940364255302e-12
15,1.0415632068635759e-12,2.6109476865921949e-12
16,8.2867591087477248e-13,1.5250506729680272e-12
17,1.7926307890452452e-13,2.5968697589565383e-12
18,1.5833311126285088e-12,2.2308916042129247e-12
19,7.6650075297629414e-13,1.2721475787523239e-12
