k,kin_error_link1,kin_error_link2
0,2.3673406990515658e-12,1.1878679898233592e-12
1,4.7123658186994139e-09,1.8948618794393274e-09
2,1.5785119040351432e-07,6.8933459590543262e-06
3,1.3202689191649820e-06,2.6737780577911504e-06
4,1.4302172197873611e-06,4.0257127048286978e-06
5,1.3907284167124998e-06,2.1911041903143462e-05
6,6.9968324919927610e-07,2.4369521829580689e-05
7,4.0066966078642923e-06,2.8141989025122922e-05
8,4.9495706889201382e-06,3.2471889810111641e-05
9,2.4674920639521169e-06,3.5131741890252708e-05
10,3.3445847810508028e-06,2.8195758943718289e-05
11,4.8522342261936497e-06,2.7203177810341921e-05
12,5.4208127787280251e-06,2.3975120203832527e-05
13,6.2604215869724306e-06,2.4107558118404707e-05
14,5.5885273669374202e-06,1.1886249477628462e-05
15,1.4707453958929836e-05,1.3474136638548378e-05
16,1.2170519625168615e-05,1.7240320662055195e-05
17,7.6198793361528675e-06,1.0417161382861277e-05
18,4.9350863675761007e-06,6.0155051422113496e-06
19,2.4624405658455989e-06,1.8862992022834008e-06
