k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,9.9756663608946405e-01,-6.9719484778782079e-02,6.9719484778782079e-02,9.9756663608946405e-01,-9.5652732845491950e-01,-2.9164270934759640e-01,2.9164270934759640e-01,-9.5652732845491950e-01,9.8117195576558591e-01,1.9313620379257732e-01,-1.9313620379257732e-01,9.8117195576558591e-01,8.5972295112192920e-01,5.1076065560280703e-01,-5.1076065560280703e-01,8.5972295112192920e-01,6.9776090839324539e-02,2.8456488964677611e+00,3.9978755160147421e+00,1.6304367174366286e+02,-1.9435753252116075e-01,-1.1135866330039153e+01,-5.3606932626598180e-01,-3.0714509921462284e+01,nan,nan,nan,nan,nan,4.7121614870038629e-12,4.6498288163978074e-12,-3.3320013415050198e-12,-3.2879254874274011e-12,5.2710358982548543e-12,-3.7270186936666505e-12,3.3822931745848058e-12,-2.3918644842524373e-12
1.0000000000000000e+00,9.9224976396061826e-01,1.2425942988909289e-01,-1.2425942988909289e-01,9.9224976396061826e-01,-6.7338887622044519e-01,-7.3928845613776917e-01,7.3928845613776917e-01,-6.7338887622044519e-01,9.8878268741058517e-01,1.4936110403220362e-01,-1.4936110403220362e-01,9.8878268741058517e-01,9.9999539491246436e-01,-1.0304511874818444e-03,1.0304511874818444e-03,9.9999539491246436e-01,-1.2458144168163708e-01,2.3095795702017772e+00,-7.1379908140130022e+00,1.3232916182220046e+02,-1.4992210160444949e-01,-8.5899036776664630e+00,1.0304555680956025e-03,5.9040755027633625e-02,-1.5341845004045913e+01,3.7470936915538765e+01,1.7700303189998994e+01,-2.6442284508818297e+01,1.9999121163945578e+01,5.2820265454676120e-12,5.6564150917157925e-12,-3.7349012771414891e-12,-3.9996894685145890e-12,8.1570964676122700e-08,-5.7679382159392389e-08,1.1523470615036531e-05,-8.1483242146962453e-06
2.0000000000000000e+00,9.6255986348153266e-01,2.7106909004142093e-01,-2.7106909004142093e-01,9.6255986348153266e-01,-6.7414757456663876e-01,-7.3859115757928318e-01,7.3859115757928318e-01,-6.7414757456663876e-01,9.9350427805471253e-01,1.1379237970047631e-01,-1.1379237970047631e-01,9.9350427805471253e-01,9.6454604175140268e-01,-2.6389448646292690e-01,2.6389448646292690e-01,9.6454604175140268e-01,-2.7450353995401522e-01,2.3106100246047925e+00,-1.5727894300765840e+01,1.3238820251047392e+02,-1.1403943026853805e-01,-6.5339780524636826e+00,2.6705905441998445e-01,1.5301356699019683e+01,-4.3141444868448815e+00,2.9243726894950242e+01,6.2660896896733931e+00,-1.9063317111439293e+01,1.1342888744426274e+01,8.1513189826911263e-08,1.1525347839404418e-05,-5.7638529171732955e-08,-8.1496516128876095e-06,7.6906218631093692e-07,-5.4380908720563781e-07,1.5037836508400919e-05,-1.0633356169464925e-05
3.0000000000000000e+00,9.2546163555483441e-01,3.7884029769963323e-01,-3.7884029769963323e-01,9.2546163555483441e-01,-8.4515316659774531e-01,-5.3449780149391635e-01,5.3449780149391635e-01,-8.4515316659774531e-01,9.9801358375042193e-01,6.2995963561408658e-02,-6.2995963561408658e-02,9.9801358375042193e-01,9.5209089174218131e-01,-3.0579790096895965e-01,3.0579790096895965e-01,9.5209089174218131e-01,-3.8854303001161417e-01,2.5776702912619989e+00,-2.2261875778890374e+01,1.4768962866557018e+02,-6.3037717110309616e-02,-3.6117951405603566e+00,3.1077806168177163e-01,1.7806271299621887e+01,3.5354215180186914e+00,1.5508209699744921e+01,-1.0242258652884428e+00,-6.2679305244174301e+00,1.5916473635916679e+00,1.1171651087701562e-06,3.9916443633072324e-05,-7.8995502417189556e-07,-2.8225187973740518e-05,5.5893200260192978e-07,-3.9522460926200154e-07,1.4959020105220298e-05,-1.0577624556362686e-05
4.0000000000000000e+00,8.9975746605805140e-01,4.3638895040435832e-01,-4.3638895040435832e-01,8.9975746605805140e-01,-9.6811148405703817e-01,-2.5044261409824697e-01,2.5044261409824697e-01,-9.6811148405703817e-01,9.9967780365620884e-01,-2.5364642178838499e-02,2.5364642178838499e-02,9.9967780365620884e-01,7.9411552951862419e-01,-6.0775786294758771e-01,6.0775786294758771e-01,7.9411552951862419e-01,-4.5158168069343296e-01,2.8884502421181328e+00,-2.5873724409158079e+01,1.6549600820690978e+02,2.5367374473795480e-02,1.4534434946763786e+00,6.5323828840263065e-01,3.7427796941820404e+01,-5.7179086263296472e+00,5.6440574660372667e+00,9.7433755388068217e+00,2.3418003812728005e+00,6.9398297578452208e+00,1.6775935524421300e-06,5.4661447951000468e-05,-1.1862377770066601e-06,-3.8651480515627945e-05,1.3064564821155218e-06,-9.2380423777349563e-07,1.5423134138279753e-05,-1.0905802736438375e-05
5.0000000000000000e+00,9.1053656572915165e-01,4.1342732163626306e-01,-4.1342732163626306e-01,9.1053656572915165e-01,-9.2100300776934241e-01,3.8949883275777808e-01,-3.8949883275777808e-01,-9.2100300776934241e-01,9.9039478495466071e-01,1.3826052657586296e-01,-1.3826052657586296e-01,9.9039478495466071e-01,5.3246109140329512e-01,-8.4644527408588388e-01,8.4644527408588388e-01,5.3246109140329512e-01,-4.2621515559870127e-01,-2.7414959339400098e+00,-2.4420329580317262e+01,-1.5707614656703851e+02,-1.3870501025590160e-01,-7.9472116849819603e+00,1.0092859802344816e+00,5.7827826989160016e+01,-1.9608965012371165e+01,-4.5367716737618382e+00,1.2364856319190679e+01,1.8181014122000882e+01,1.1224280111966202e+01,1.4314596537704739e-06,6.2393631806163048e-05,-1.0121948282870719e-06,-4.4118960152994546e-05,3.1066391030163110e-06,-2.1967255764421267e-06,2.2039272850071543e-05,-1.5584119284706155e-05
6.0000000000000000e+00,8.4463080411239844e-01,5.3534698115763391e-01,-5.3534698115763391e-01,8.4463080411239844e-01,-1.6069655548559958e-01,9.8698108358555880e-01,-9.8698108358555880e-01,-1.6069655548559958e-01,9.7705292058702486e-01,2.1298573106766427e-01,-2.1298573106766427e-01,9.7705292058702486e-01,7.2641601096539143e-01,-6.8723588938137381e-01,6.8723588938137381e-01,7.2641601096539143e-01,-5.6491926624721756e-01,-1.7321963264437874e+00,-3.2367489721592825e+01,-9.9247538793294410e+01,-2.1463030276355746e-01,-1.2297410503966892e+01,7.5768971967628040e-01,4.3412423117901312e+01,3.0999398519666915e+01,3.1647032395715911e+01,-3.3283761752123183e+01,-1.8462249393316345e+01,-1.3111833090870968e+01,3.4146325780044136e-06,6.3579788139465972e-05,-2.4145098512784458e-06,-4.4957699339653878e-05,6.6025868535344081e-06,-4.6687339373407966e-06,3.7634145264116646e-05,-2.6611359320360961e-05
7.0000000000000000e+00,7.1122787466226689e-01,7.0295711259416549e-01,-7.0295711259416549e-01,7.1122787466226689e-01,5.6156697394520816e-01,8.2740880758711732e-01,-8.2740880758711732e-01,5.6156697394520816e-01,9.7565541080815943e-01,-2.1929130750933326e-01,2.1929130750933326e-01,9.7565541080815943e-01,9.9246016463606623e-01,1.2240834946615638e-01,-1.2240834946615638e-01,9.9246016463606623e-01,-7.7954979996092577e-01,-9.7450533615568791e-01,-4.4664913458028636e+01,-5.5835042874698466e+01,2.2108891958601207e-01,1.2667461989385735e+01,-1.2271852587981841e-01,-7.0312536009805626e+00,3.9999258775948775e+01,2.0472897816139117e+01,-2.2964912163575768e+01,-2.4174903844939031e+01,-1.0300806643315546e+01,8.7796593579565939e-06,5.2607190704911680e-05,-6.2081566685190381e-06,-3.7198901286505937e-05,1.1089996330645123e-05,-7.8418116087330958e-06,5.5179207103940776e-05,-3.9017591523582418e-05
8.0000000000000000e+00,8.4806814687618370e-01,5.2987926263692753e-01,-5.2987926263692753e-01,8.4806814687618370e-01,4.5605027067569559e-01,8.8993064969004432e-01,-8.8993064969004432e-01,4.5605027067569559e-01,8.8577947426638715e-01,-4.6409767319684414e-01,4.6409767319684414e-01,8.8577947426638715e-01,8.4331300471519821e-01,5.3738856790512990e-01,-5.3738856790512990e-01,8.4331300471519821e-01,-5.5846081191116592e-01,-1.0972336721992828e+00,-3.1997447545959101e+01,-6.2866858556659750e+01,4.8261777801709332e-01,2.7651961798361089e+01,-5.6734918315037897e-01,-3.2506713704711473e+01,3.9999235690333904e+01,3.9999367631622682e+01,-2.5947688783965113e+01,-3.0799602574196115e+01,-1.1246563935265790e+01,1.1858578597706356e-05,5.8816235379111561e-05,-8.3852813417273353e-06,-4.1589358880433913e-05,1.1416524141523326e-05,-8.0727016379400496e-06,5.1906111034721274e-05,-3.6703163097784319e-05
9.0000000000000000e+00,9.9711745231026605e-01,7.5766239919155071e-02,-7.5766239919155071e-02,9.9711745231026605e-01,-9.3666729060207551e-02,9.9557487705790537e-01,-9.9557487705790537e-01,-9.3666729060207551e-02,8.8888822458946304e-01,-4.5811968031074146e-01,4.5811968031074146e-01,8.8888822458946304e-01,9.5788645341443890e-01,2.8710298204330986e-01,-2.8710298204330986e-01,9.5788645341443890e-01,-7.5839535345044520e-02,-1.6646032541169011e+00,-4.3452852955042847e+00,-9.5374741024641310e+01,4.7587973889260476e-01,2.7265900594333868e+01,-2.9120492703911399e-01,-1.6684813292756299e+01,1.0388419298705996e+01,3.9999637552262776e+01,-9.8331515621660941e+00,-1.8933075604579393e+01,-7.7991514805137649e+00,2.2999619336250133e-05,8.0904383638193014e-05,-1.6263186797371709e-05,-5.7208038298339758e-05,5.7738071320932894e-06,-4.0826981763109060e-06,3.5949403432646350e-05,-2.5420066946946207e-05
1.0000000000000000e+01,9.2103432204143698e-01,-3.8945199027506339e-01,3.8945199027506339e-01,9.2103432204143698e-01,-3.7557823062703499e-01,9.2676337472021753e-01,-9.2676337472021753e-01,-3.7557823062703499e-01,8.4700700617741387e-01,-5.3157713096554005e-01,5.3157713096554005e-01,8.4700700617741387e-01,9.9117520453914310e-01,-1.3246390770035910e-01,1.3246390770035910e-01,9.9117520453914310e-01,4.0004137885472107e-01,-1.9558271900885473e+00,2.2920682638969531e+01,-1.1206064344900476e+02,5.6046301103219465e-01,3.2112165105338853e+01,1.3285605496423494e-01,7.6120912322087513e+00,-1.0800300150363856e+01,3.9999551821420354e+01,9.0400713826869818e+00,-1.6596854652559543e+01,-2.4963325892274764e+00,3.2420693836373397e-05,7.1615712940057682e-05,-2.2924892462472535e-05,-5.0639956259423968e-05,6.9088869593908827e-06,-4.8853208195476228e-06,3.5393612682624664e-05,-2.5027063538685113e-05
1.1000000000000000e+01,5.7309791821501155e-01,-8.1946713366089163e-01,8.1946713366089163e-01,5.7309791821501155e-01,-2.4951852616896386e-01,9.6834518044695861e-01,-9.6834518044695861e-01,-2.4951852616896386e-01,8.6324443370516157e-01,-5.0478120836787777e-01,5.0478120836787777e-01,8.6324443370516157e-01,9.8826508512121047e-01,-1.5266491158560569e-01,1.5266491158560569e-01,9.8826508512121047e-01,9.6050380485268838e-01,-1.8229855490975995e+00,5.5032814224316283e+01,-1.0444937807663136e+02,5.2912995051941891e-01,3.0316912978728784e+01,1.5326620800946950e-01,8.7815068609167763e+00,-3.7177363270135793e+01,3.9998863962289271e+01,2.4537489744290436e+01,-2.2984388525637648e+01,-7.8990778529776673e+00,4.5810601855628035e-05,6.8047153408025087e-05,-3.2392987222351621e-05,-4.8116603615255826e-05,7.0418723912179896e-06,-4.9793557199695471e-06,3.6127925237690698e-05,-2.5546300925882726e-05
1.2000000000000000e+01,8.1075326136290982e-02,-9.9668875204952845e-01,9.9668875204952845e-01,8.1075326136290982e-02,-9.8770876826608914e-02,9.9508884937044084e-01,-9.9508884937044084e-01,-9.8770876826608914e-02,9.2584710585012253e-01,-3.7789026245355906e-01,3.7789026245355906e-01,9.2584710585012253e-01,9.9329700458550918e-01,-1.1548521666503379e-01,1.1548521666503379e-01,9.9329700458550918e-01,1.4896303573596192e+00,-1.6697306180997149e+00,8.5349532511270766e+01,-9.5668517340883923e+01,3.8751777345303023e-01,2.2203132905165408e+01,1.1574487912434685e-01,6.6316930740769422e+00,-3.1973887211638470e+01,4.9728034341101566e+00,2.0949231601471595e+01,-6.3141330043721089e-01,4.1061112303342467e-01,5.4196948561748884e-05,6.0098065307296517e-05,-3.8323029847631140e-05,-4.2495749514870340e-05,8.6070900382192145e-06,-6.0861317321414532e-06,3.4259908021984580e-05,-2.4225413285172692e-05
1.3000000000000000e+01,-3.0157289229514661e-01,-9.5342166777386850e-01,9.5342166777386850e-01,-3.0157289229514661e-01,1.6803464421623022e-02,9.9984129001380428e-01,-9.9984129001380428e-01,1.6803464421623022e-02,9.8196470875977515e-01,-1.8904915636886049e-01,1.8904915636886049e-01,9.8196470875977515e-01,9.4071338167016894e-01,3.3916487656239991e-01,-3.3916487656239991e-01,9.4071338167016894e-01,1.8771447191515036e+00,-1.5539917770794986e+00,1.0755246994265138e+02,-8.9037170224689930e+01,1.9019430295490766e-01,1.0897330846748771e+01,-3.4603361316886594e-01,-1.9826265604238564e+01,-1.7250292531271421e+00,1.1227972840276582e+01,1.7794311014855746e-01,-1.1810230438288844e+01,-9.6947068868266211e+00,5.7861207279600501e-05,4.9551733762483920e-05,-4.0914052034990434e-05,-3.5038366962947265e-05,8.0995214647932752e-06,-5.7272265520103005e-06,3.6090805188245995e-05,-2.5520053087202399e-05
1.4000000000000000e+01,-4.7638021081869814e-01,-8.7921782861343656e-01,8.7921782861343656e-01,-4.7638021081869814e-01,-3.2331088350857007e-01,9.4627873296143905e-01,-9.4627873296143905e-01,-3.2331088350857007e-01,9.8256290198994001e-01,-1.8591807426506904e-01,1.8591807426506904e-01,9.8256290198994001e-01,8.0259768099294559e-01,5.9650601626292166e-01,-5.9650601626292166e-01,8.0259768099294559e-01,2.0673397392116630e+00,-1.9000270760637594e+00,1.1844984187650455e+02,-1.0886353241903565e+02,1.8700658102321338e-01,1.0714687833801399e+01,-6.3914726128015709e-01,-3.6620440558698299e+01,1.1849671433473354e+01,2.4699348308589872e+01,-1.3334659529289603e+01,-1.5871842251478284e+01,-1.1810021138365521e+01,5.3605183283370264e-05,3.7663547444241484e-05,-3.7904588606418876e-05,-2.6632149801364413e-05,6.5241838977766365e-06,-4.6132946757149185e-06,2.4798272837275507e-05,-1.7535026884951677e-05
1.5000000000000000e+01,-6.3153847726171075e-01,-7.7531604457471026e-01,7.7531604457471026e-01,-6.3153847726171075e-01,-8.2395770753781261e-01,5.6662613962504293e-01,-5.6662613962504293e-01,-8.2395770753781261e-01,9.6808404416231220e-01,-2.5061424839961932e-01,2.5061424839961932e-01,9.6808404416231220e-01,7.9956343473229030e-01,6.0057006402608537e-01,-6.0057006402608537e-01,7.9956343473229030e-01,2.2543501833080399e+00,-2.5391774013927471e+00,1.2916475104809416e+02,-1.4548414853480017e+02,2.5331544857404475e-01,1.4513906088756013e+01,-6.4421910423087403e-01,-3.6911035754127560e+01,-4.3019583963238633e-01,6.1948914632949776e+00,-3.5260197824902404e+00,4.5648586637774633e+00,-1.9334023813795548e-01,6.2483862637305302e-05,4.0325002407642300e-05,-4.4182762985567337e-05,-2.8514082653807726e-05,8.1768943391767185e-06,-5.7819374361667286e-06,1.9674588303238944e-05,-1.3912034806384810e-05
1.6000000000000000e+01,-8.0569453331850305e-01,-5.9229082588626780e-01,5.9229082588626780e-01,-8.0569453331850305e-01,-9.9911427399298636e-01,-4.1793540188347175e-02,4.1793540188347175e-02,-9.9911427399298636e-01,9.9713278283558571e-01,-7.5630330310186261e-02,7.5630330310186261e-02,9.9713278283558571e-01,9.7115799929869673e-01,2.3841094172355742e-01,-2.3841094172355742e-01,9.7115799929869673e-01,2.5076759803478152e+00,3.0997864357417084e+00,1.4367925006026098e+02,1.7760468015990025e+02,7.5702854425627006e-02,4.3374540556816932e+00,-2.4073079878989620e-01,-1.3792858769474078e+01,-5.1293741930426917e-01,-1.0825483128391378e+01,6.5323182100866681e+00,1.4052405407367417e+01,5.9877989102075873e+00,6.7735952923571487e-05,3.3895166374413873e-05,-4.7896551642279128e-05,-2.3967501992738782e-05,8.8622141655691842e-06,-6.2665317328569614e-06,1.7484296527749577e-05,-1.2363264639048133e-05
1.7000000000000000e+01,-8.4818611235846253e-01,-5.2965204977697378e-01,5.2965204977697378e-01,-8.4818611235846253e-01,-9.6034589357724798e-01,-2.7878929403038394e-01,2.7878929403038394e-01,-9.6034589357724798e-01,9.9825796929618971e-01,5.8960519595626232e-02,-5.8960519595626232e-02,9.9825796929618971e-01,9.9889960264991007e-01,4.6816178699064945e-02,-4.6816178699064945e-02,9.9889960264991007e-01,2.5833870484590467e+00,2.8590576803867083e+00,1.4801717472546204e+02,1.6381193847062141e+02,-5.8994872632993717e-02,-3.3801572147823822e+00,-4.6833480653718063e-02,-2.6833607813656366e+00,7.1411851196989478e+00,9.5742105422038843e+00,-1.5550940590218445e+00,-3.5238932777430048e+00,1.3413044480396661e+00,6.9331776461531468e-05,1.7386657410660519e-05,-4.9024969287714271e-05,-1.2294223357356415e-05,6.6239863425804668e-06,-4.6838656613257257e-06,1.1072214377330385e-05,-7.8292378690170139e-06
1.8000000000000000e+01,-8.1548249313111554e-01,-5.7873410428488015e-01,5.7873410428488015e-01,-8.1548249313111554e-01,-9.4624452985931939e-01,-3.2344092527399881e-01,3.2344092527399881e-01,-9.4624452985931939e-01,9.9237968270844656e-01,1.2320572567771318e-01,-1.2320572567771318e-01,9.9237968270844656e-01,9.9957132060760800e-01,2.9187142954081126e-02,-2.9187142954081126e-02,9.9957132060760800e-01,2.5243975162969381e+00,2.8122277880557536e+00,1.4463732349712200e+02,1.6112878328500565e+02,-1.2351975855047981e-01,-7.0771608514174558e+00,-2.9191365749864116e-02,-1.6725420556899573e+00,6.1879346732104858e+00,1.3110457927580336e+01,-3.8390482833605106e+00,-5.5412801956410807e+00,-7.7326041622411512e-01,7.7979642827115140e-05,1.0263752813859036e-05,-5.5139934237447008e-05,-7.2575692151577442e-06,4.1217363326225666e-06,-2.9145077110603879e-06,7.4751156135807508e-06,-5.2857049405163892e-06
1.9000000000000000e+01,-7.3796835156559437e-01,-6.7479660964509014e-01,6.7479660964509014e-01,-7.3796835156559437e-01,-9.3640282249065598e-01,-3.5092017185283408e-01,3.5092017185283408e-01,-9.3640282249065598e-01,9.8175036323026432e-01,1.9016878135132034e-01,-1.9016878135132034e-01,9.8175036323026432e-01,9.9954207985086763e-01,3.0209242774806761e-02,-3.0209242774806761e-02,9.9954207985086763e-01,2.4008796937685029e+00,2.7830381696810007e+00,1.3756027357159675e+02,1.5945634134653480e+02,-1.9133426170108220e-01,-1.0962645671723598e+01,-3.0213885302428582e-02,-1.7311281105215066e+00,4.8267523443361506e+00,9.9185755507201243e+00,-3.2286169876220465e+00,-3.3225980808470257e+00,-9.3716883079683466e-01,7.3889404600932087e-05,6.7698662179170003e-06,-5.2247699051100049e-05,-4.7870183103038144e-06,2.9117194920865917e-06,-2.0588965976564566e-06,4.2882609178406663e-06,-3.0322583745023834e-06
2.0000000000000000e+01,-5.9617506299407608e-01,-8.0282205676377016e-01,8.0282205676377016e-01,-5.9617506299407608e-01,-9.2537431003017612e-01,-3.7904770390104070e-01,3.7904770390104070e-01,-9.2537431003017612e-01,nan,nan,nan,nan,nan,nan,nan,nan,2.2095441103443521e+00,2.7528245939894269e+00,1.2659755217071964e+02,1.5772523097540858e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.3594878431111244e-05,7.3885637409718433e-06,-5.2039437599127325e-05,-5.2245035244702365e-06,nan,nan,nan,nan
