Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 7
Minimum dominant weight: 5.9764772e-01
Maximum second weight: 1.8979307e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.99991437e-01       7.93058138e-06      1            tight
1       253x253     9.99979568e-01       1.23189805e-05      1            tight
2       253x253     9.99960312e-01       1.75679395e-05      1            tight
3       253x253     9.99943053e-01       1.86363671e-05      1            tight
4       253x253     9.99924625e-01       3.68257036e-05      1            tight
5       253x253     9.99940431e-01       2.52278501e-05      1            tight
6       253x253     9.99938253e-01       1.76969212e-05      1            tight
7       253x253     9.99936643e-01       2.65912868e-05      1            tight
8       253x253     9.99905031e-01       3.58515880e-05      1            tight
9       253x253     9.99900463e-01       3.15975358e-05      1            tight
10      253x253     9.99917744e-01       2.61377153e-05      1            tight
11      253x253     9.99881860e-01       3.67670149e-05      1            tight
12      253x253     9.99880251e-01       3.73475783e-05      1            tight
13      253x253     9.99907556e-01       3.24831481e-05      1            tight
14      253x253     9.99890267e-01       3.90143222e-05      1            tight
15      253x253     9.99911272e-01       3.81471054e-05      1            tight
16      253x253     9.99925763e-01       3.62197926e-05      1            tight
17      253x253     9.99944111e-01       3.00805848e-05      1            tight
18      253x253     9.99952156e-01       2.87768296e-05      1            tight
19      26x26       9.99993884e-01       6.04981900e-06      1            tight
20      22x22       9.99988937e-01       6.98116517e-06      1            tight
21      26x26       9.99997420e-01       2.56063162e-06      1            tight
22      22x22       9.99992900e-01       3.79630120e-06      1            tight
23      26x26       9.63531410e-01       3.64634721e-02      2            not tight
24      26x26       9.99993452e-01       6.47981889e-06      1            tight
25      26x26       9.99960097e-01       3.96460607e-05      1            tight
26      26x26       9.99992753e-01       7.17813770e-06      1            tight
27      26x26       9.99991556e-01       8.36318466e-06      1            tight
28      22x22       9.99989028e-01       6.90902392e-06      1            tight
29      22x22       9.99976991e-01       1.20047145e-05      1            tight
30      22x22       9.99992532e-01       5.75550806e-06      1            tight
31      22x22       9.99985021e-01       8.59683774e-06      1            tight
32      22x22       9.99995942e-01       2.81884135e-06      1            tight
33      22x22       9.99989620e-01       6.59246410e-06      1            tight
34      22x22       9.99993619e-01       4.56315325e-06      1            tight
35      22x22       9.99990279e-01       6.29270473e-06      1            tight
36      22x22       9.99991856e-01       4.59575199e-06      1            tight
37      22x22       9.99977549e-01       1.17533718e-05      1            tight
38      22x22       9.99967037e-01       1.24221373e-05      1            tight
39      22x22       9.99987504e-01       8.38250448e-06      1            tight
40      22x22       9.99981375e-01       8.83366410e-06      1            tight
41      22x22       9.99987382e-01       7.41343091e-06      1            tight
42      22x22       9.99978684e-01       1.13808300e-05      1            tight
43      22x22       9.99988776e-01       7.34715934e-06      1            tight
44      22x22       9.99978933e-01       1.13614715e-05      1            tight
45      22x22       9.99986614e-01       6.63347583e-06      1            tight
46      22x22       9.99967806e-01       1.21292568e-05      1            tight
47      22x22       9.99952900e-01       2.57942214e-05      1            tight
48      22x22       9.99967878e-01       1.41413817e-05      1            tight
49      22x22       9.99961490e-01       2.01685627e-05      1            tight
50      22x22       9.99984329e-01       6.93195127e-06      1            tight
51      22x22       9.99974790e-01       9.94332791e-06      1            tight
52      22x22       9.99986793e-01       7.34109205e-06      1            tight
53      22x22       9.99972780e-01       1.10469168e-05      1            tight
54      22x22       9.99978606e-01       8.43193125e-06      1            tight
55      22x22       9.99952467e-01       2.60632820e-05      1            tight
56      22x22       9.99958237e-01       2.20564988e-05      1            tight
57      22x22       9.99593372e-01       2.49921505e-04      1            tight
58      22x22       9.99673807e-01       1.69121920e-04      1            tight
59      22x22       9.99969974e-01       1.45448869e-05      1            tight
60      22x22       9.99968508e-01       1.45871240e-05      1            tight
61      22x22       9.99983132e-01       9.42201221e-06      1            tight
62      22x22       9.99968199e-01       1.44623233e-05      1            tight
63      22x22       9.99962466e-01       1.90667904e-05      1            tight
64      22x22       9.99957778e-01       2.22897615e-05      1            tight
65      22x22       9.99957849e-01       1.34115439e-05      1            tight
66      22x22       9.99965691e-01       1.43223879e-05      1            tight
67      22x22       9.99956157e-01       1.50793634e-05      1            tight
68      22x22       9.99960144e-01       2.52737903e-05      1            tight
69      22x22       9.99936266e-01       4.04126798e-05      1            tight
70      22x22       9.99934571e-01       4.72573715e-05      1            tight
71      22x22       9.99902445e-01       5.40626877e-05      1            tight
72      22x22       9.99963547e-01       2.25999051e-05      1            tight
73      22x22       9.99958412e-01       1.33011094e-05      1            tight
74      22x22       9.99948508e-01       2.50264487e-05      1            tight
75      22x22       9.99985173e-01       5.43190598e-06      1            tight
76      22x22       9.99979084e-01       1.03741663e-05      1            tight
77      22x22       9.99968044e-01       1.14768672e-05      1            tight
78      22x22       6.29030887e-01       1.29016156e-01      7            not tight
79      22x22       9.99976531e-01       1.34288611e-05      1            tight
80      22x22       9.99958449e-01       1.56749769e-05      1            tight
81      22x22       9.99959256e-01       1.57288620e-05      1            tight
82      22x22       9.99936907e-01       3.09401079e-05      1            tight
83      22x22       9.99915461e-01       4.38385655e-05      1            tight
84      22x22       9.99974521e-01       1.09668050e-05      1            tight
85      22x22       9.99965647e-01       1.53578200e-05      1            tight
86      22x22       9.99953930e-01       2.65029466e-05      1            tight
87      22x22       5.97647715e-01       1.85182150e-01      7            not tight
88      22x22       6.60621629e-01       1.40566121e-01      6            not tight
89      22x22       9.99937066e-01       3.06446852e-05      1            tight
90      22x22       9.99922702e-01       3.29973508e-05      1            tight
91      22x22       9.99922503e-01       3.97958305e-05      1            tight
92      22x22       9.99921551e-01       3.61020575e-05      1            tight
93      22x22       9.99978915e-01       1.00990083e-05      1            tight
94      22x22       9.99974680e-01       1.12002504e-05      1            tight
