k,kin_error_link1,kin_error_link2
0,5.5223301219040183e-11,5.6902212012413722e-11
1,9.8322184941349900e-11,9.0831634208810072e-11
2,3.3697339901504603e-10,2.2318929421973223e-09
3,4.0784783423234503e-10,1.7226264370113205e-09
4,3.4161595253638981e-10,9.0247322582475116e-10
5,3.2835405435318620e-10,5.3897709678267867e-10
6,3.2315514252815777e-10,8.9938076401723876e-10
7,4.0774789726785084e-10,1.4662226886418219e-09
8,3.3395571677143085e-10,9.3933503985219897e-10
9,2.8205937179425199e-10,7.5613494675931458e-10
10,2.2185488536541364e-10,4.2249209067750591e-10
11,2.3020196060153987e-10,6.5888147720042974e-10
12,2.2027225036750063e-10,6.8434344085206805e-10
13,1.9629299218586448e-10,6.6444024208738135e-10
14,1.6983653996440096e-10,6.5184118918707380e-10
15,1.4727897384713146e-10,6.4697930916108138e-10
16,1.4990711762091905e-10,6.4346604123067889e-10
17,2.4231108576473932e-10,6.7970899414881884e-10
18,3.4537032464116142e-10,7.6348239922197395e-10
19,7.4645771994029188e-11,4.3652593677615176e-10
