k,kin_error_link1,kin_error_link2
0,1.2093202250030063e-08,1.2100412898810749e-08
1,1.4459826121424314e-06,8.5600721323273686e-07
2,1.5592998864941086e-04,4.9523522705313639e-03
3,1.6410360128419152e-04,3.1877806340198218e-03
4,2.1553741986745568e-04,1.1964248749596871e-03
5,1.0787996382092958e-03,4.4277252265056072e-03
6,6.8335718268223717e-04,7.9250326752562314e-03
7,4.2486625441947711e-04,8.5062984778258542e-03
8,7.7430415224278876e-04,1.2363333359199303e-02
9,1.2015616105529579e-03,1.0318104275457169e-02
10,1.0417314222898224e-03,1.0431805292944251e-02
11,9.8328396996124430e-04,7.7987521831340799e-03
12,1.8722763144954609e-03,6.4325553149150077e-03
13,2.0148815003035209e-03,5.7774489393391162e-03
14,9.7104932041481315e-04,4.4447672695513262e-03
15,2.2631153044851849e-03,2.8256105832319307e-03
16,3.9188323327583223e-03,4.6859633424199297e-03
17,1.8703599109779461e-03,3.0988007294820959e-03
18,5.6145818511640542e-04,1.7623838508675712e-03
19,7.8964943223432853e-04,5.4152431293944924e-04
