block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9418097574872266e-01,5.4806318014460915e-03,1,False,not tight
1,253x253,9.9406160753465145e-01,4.2291970196406646e-03,1,False,not tight
2,253x253,9.8142004848194153e-01,1.3042012822699341e-02,2,False,not tight
3,253x253,9.8400008180458121e-01,4.7096386505220368e-03,1,False,not tight
4,253x253,9.7885266042253272e-01,7.1944298511880623e-03,1,False,not tight
5,253x253,9.7137905736667640e-01,1.3882860099526219e-02,2,False,not tight
6,253x253,9.7633048022310454e-01,1.1435827956027288e-02,2,False,not tight
7,253x253,9.7911611919425734e-01,5.8072307533066419e-03,1,False,not tight
8,253x253,9.8089422640682877e-01,6.6631365512766346e-03,1,False,not tight
9,253x253,9.7227277998375472e-01,8.7708301857549881e-03,1,False,not tight
10,253x253,9.7117411967186729e-01,8.6678567426433616e-03,1,False,not tight
11,253x253,9.7600588834318314e-01,7.1647384939539085e-03,1,False,not tight
12,253x253,9.6845963067816532e-01,8.3982889663908305e-03,1,False,not tight
13,253x253,9.7252596537917135e-01,8.9377937047533107e-03,1,False,not tight
14,253x253,9.7623132701381954e-01,7.8618139516786981e-03,1,False,not tight
15,253x253,9.7724837595367409e-01,8.6675502719148999e-03,1,False,not tight
16,253x253,9.8163370021461471e-01,8.3097179549713029e-03,1,False,not tight
17,253x253,9.8670384297896863e-01,6.6396864518495861e-03,1,False,not tight
18,253x253,9.8927312022204839e-01,6.1923371838497939e-03,1,False,not tight
19,26x26,9.9704384705406224e-01,2.8993731280435994e-03,1,False,not tight
20,22x22,9.9644328187618880e-01,2.5609744455671992e-03,1,False,not tight
21,26x26,9.9746447079760236e-01,2.5117578277345579e-03,1,False,not tight
22,22x22,9.9668329275599321e-01,2.4371770760943769e-03,1,False,not tight
23,26x26,9.9809194743619312e-01,1.9064077357060897e-03,1,False,not tight
24,26x26,9.9728747060220102e-01,2.6638046917316933e-03,1,False,not tight
25,26x26,9.9735459862519160e-01,2.5986546065493213e-03,1,False,not tight
26,26x26,9.9740717525846601e-01,2.5506148567313817e-03,1,False,not tight
27,26x26,9.9743928662966574e-01,2.5202398424584221e-03,1,False,not tight
28,22x22,9.9644371770606899e-01,2.5667577318060626e-03,1,False,not tight
29,22x22,9.8998663017756594e-01,6.9926975335718299e-03,1,False,not tight
30,22x22,9.9750309979932161e-01,2.0180769721751188e-03,1,False,not tight
31,22x22,9.9207213222861856e-01,6.1648559986550860e-03,1,False,not tight
32,22x22,9.3944314160179987e-01,4.8812324836773946e-02,2,False,not tight
33,22x22,9.9630639141960975e-01,2.6455581480254536e-03,1,False,not tight
34,22x22,9.8686187757025090e-01,8.1837780075403824e-03,1,False,not tight
35,22x22,9.9650756510403482e-01,2.5067451334793681e-03,1,False,not tight
36,22x22,9.9530748357120935e-01,3.2524551762817835e-03,1,False,not tight
37,22x22,9.9011787378262428e-01,6.9411451434757479e-03,1,False,not tight
38,22x22,9.9085755714121182e-01,3.0616835402946969e-03,1,False,not tight
39,22x22,9.9207875528268097e-01,6.2839818573237364e-03,1,False,not tight
40,22x22,9.9351853751821306e-01,2.4884913204796257e-03,1,False,not tight
41,22x22,9.9541728843527488e-01,2.7903721507305172e-03,1,False,not tight
