k,kin_error_link1,kin_error_link2
0,8.6577146558056019e-08,8.7118950875840159e-08
1,2.3838919362641211e-06,1.5049957397864782e-06
2,6.6480302512742688e-04,1.5501903729678102e-03
3,1.7166103540470636e-04,4.6305202119111390e-04
4,2.3080026321921286e-05,1.3239633439456191e-04
5,1.2671554557104768e-04,4.7638847285184720e-04
6,4.7730461666047790e-04,1.2128463545988976e-03
7,4.8862413712970974e-02,5.6472094162515189e-02
8,2.7518922938183345e-02,1.6079224078228663e-02
9,1.3085570158947715e-03,9.3436965464072769e-04
10,9.4599963710130877e-04,2.9643213117799870e-03
11,7.5942252062992583e-04,2.8143691371434539e-03
12,2.1813048562558936e-04,8.6598482972131702e-04
13,4.0191040714642801e-04,5.7506268094570628e-04
14,3.4544540870372830e-04,4.8936243201784621e-04
15,2.6392852804495143e-04,4.4847333246309732e-04
16,1.7023211847506500e-04,3.8223067279612443e-04
17,5.7795604620127868e-05,3.2384596116929239e-04
18,2.2178194796093437e-05,3.2417728421331042e-04
19,1.1577707874591937e-04,2.3510027143792576e-04
