k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-9.9566063023995743e-01,-9.3058634115168834e-02,9.3058634115168834e-02,-9.9566063023995743e-01,-9.9252436820514978e-01,-1.2204662433791100e-01,1.2204662433791100e-01,-9.9252436820514978e-01,9.9979273709629513e-01,-2.0358851709230172e-02,2.0358851709230172e-02,9.9979273709629513e-01,9.9947382076413149e-01,-3.2435807382334710e-02,3.2435807382334710e-02,9.9947382076413149e-01,3.0483991801239787e+00,3.0192409917086027e+00,1.7466040729224440e+02,1.7298976615779611e+02,2.0360258370802142e-02,1.1665568744428683e+00,3.2441497596167490e-02,1.8587608933442028e+00,nan,nan,nan,nan,nan,9.6023714588188827e-12,9.4598070635740037e-12,-6.7899019740025324e-12,-6.6892047456690307e-12,9.3056239841270135e-12,-6.5801808446508403e-12,9.3406370459557585e-12,-6.6049388180999813e-12
1.0000000000000000e+00,-9.9734883366225224e-01,-7.2768839388885301e-02,7.2768839388885301e-02,-9.9734883366225224e-01,-9.9596080329348058e-01,-8.9789076709294965e-02,8.9789076709294965e-02,-9.9596080329348058e-01,9.9987394233506666e-01,-1.5877639088809396e-02,1.5877639088809396e-02,9.9987394233506666e-01,9.9970824982958761e-01,-2.4153988832699598e-02,2.4153988832699598e-02,9.9970824982958761e-01,3.0687594384948174e+00,3.0516824893047723e+00,1.7582696416668938e+02,1.7484852705114042e+02,1.5878306288574093e-02,9.0975993615132977e-01,2.4156338084017150e-02,1.3840562207053202e+00,1.0755078013843740e+00,1.9443308449502808e+01,-8.5325395979678598e-01,-9.6662349252900910e+00,-5.9963270809594543e-02,9.2485511235903276e-12,9.4712687385182658e-12,-6.5397687265544846e-12,-6.6973093737487943e-12,2.3047858228756848e-11,-1.6297185823077598e-11,6.5241423898703430e-11,-4.6132653253039280e-11
2.0000000000000000e+00,-9.9837850756830271e-01,-5.6924121491961702e-02,5.6924121491961702e-02,-9.9837850756830271e-01,-9.9783899591906211e-01,-6.5706454610260256e-02,6.5706454610260256e-02,-9.9783899591906211e-01,9.9991753996251664e-01,-1.2841855450889159e-02,1.2841855450889159e-02,9.9991753996251664e-01,9.9985697817025376e-01,-1.6912218624921767e-02,1.6912218624921767e-02,9.9985697817025376e-01,3.0846377447839446e+00,3.0758388273890676e+00,1.7673672410287239e+02,1.7623258327186170e+02,1.2842208442595137e-02,7.3580434338797529e-01,1.6913024943570231e-02,9.6904494806606156e-01,8.1272638845430800e-01,1.9517368494778829e+01,-6.6177681559691681e-01,-9.7264179392600063e+00,-7.0982050269981750e-02,2.5536376271268258e-11,6.4753674676461323e-11,-1.8057000339410934e-11,-4.5787817981590706e-11,3.3781873827262530e-11,-2.3887558597834868e-11,9.2534105594167996e-11,-6.5431549067795913e-11
3.0000000000000000e+00,-9.9902719258546591e-01,-4.4098395044557863e-02,4.4098395044557863e-02,-9.9902719258546591e-01,-9.9880752511275550e-01,-4.8821385901230106e-02,4.8821385901230106e-02,-9.9880752511275550e-01,9.9994916845183912e-01,-1.0082682589662504e-02,1.0082682589662504e-02,9.9994916845183912e-01,9.9992408562603829e-01,-1.2321644123316584e-02,1.2321644123316584e-02,9.9992408562603829e-01,3.0974799532295667e+00,3.0927518523341777e+00,1.7747252844643381e+02,1.7720162822001598e+02,1.0082853432672985e-02,5.7770494714115661e-01,1.2321955929709845e-02,7.0599607011857257e-01,6.4131219661261385e-01,1.9559634788784383e+01,-5.0378165772566141e-01,-9.7623766381768640e+00,-5.1541924921933581e-02,4.1431599799747541e-11,8.0349246059311735e-11,-2.9296454151506168e-11,-5.6815552262889923e-11,3.4325204322498834e-11,-2.4271473719750247e-11,1.0045098279858657e-10,-7.1029515602560878e-11
4.0000000000000000e+00,-9.9942104061605885e-01,-3.4023279368724096e-02,3.4023279368724096e-02,-9.9942104061605885e-01,-9.9933326104347919e-01,-3.6510728783116175e-02,3.6510728783116175e-02,-9.9933326104347919e-01,9.9996955463169246e-01,-7.8031907451756016e-03,7.8031907451756016e-03,9.9996955463169246e-01,9.9995786606855552e-01,-9.1796524185401261e-03,9.1796524185401261e-03,9.9995786606855552e-01,3.1075628066674215e+00,3.1050738082662392e+00,1.7805023339387185e+02,1.7790762429026930e+02,7.8032699365408811e-03,4.4709443376511021e-01,9.1797813458730036e-03,5.2596272797144572e-01,4.9809036096171766e-01,1.9584547860149691e+01,-3.8432002057375264e-01,-9.7824871412635073e+00,-3.9634381371518757e-02,4.9372734932717738e-11,7.9098667415970780e-11,-3.4911851187757748e-11,-5.5931259623775986e-11,3.3784228965950535e-11,-2.3889001887766881e-11,9.7715960240151683e-11,-6.9095618115966317e-11
5.0000000000000000e+00,-9.9965610302439512e-01,-2.6223570498458575e-02,2.6223570498458575e-02,-9.9965610302439512e-01,-9.9962631104006294e-01,-2.7335658454962330e-02,2.7335658454962330e-02,-9.9962631104006294e-01,9.9998191344266962e-01,-6.0143797417449626e-03,6.0143797417449626e-03,9.9998191344266962e-01,9.9997636328942008e-01,-6.8755214253545388e-03,6.8755214253545388e-03,9.9997636328942008e-01,3.1153660766085829e+00,3.1142535896140386e+00,1.7849732782790170e+02,1.7843358701835112e+02,6.0144160018631258e-03,3.4460065314270377e-01,6.8755755975916447e-03,3.9394146346514008e-01,3.8311207832364336e-01,1.9599249820108735e+01,-2.9376592034068411e-01,-9.7940210311961362e+00,-3.2167692603975694e-02,5.1466531730933080e-11,7.5333664204631011e-11,-3.6392333591095394e-11,-5.3269055833027323e-11,3.3742071983343670e-11,-2.3859247910706927e-11,9.5594137291486434e-11,-6.7595262720487881e-11
6.0000000000000000e+00,-9.9979574121018877e-01,-2.0210784786329618e-02,2.0210784786329618e-02,-9.9979574121018877e-01,-9.9979063010146385e-01,-2.0462060209792278e-02,2.0462060209792278e-02,-9.9979063010146385e-01,9.9998928560527345e-01,-4.6291090425713503e-03,4.6291090425713503e-03,9.9998928560527345e-01,9.9998673902279778e-01,-5.1499233418895157e-03,5.1499233418895157e-03,9.9998673902279778e-01,3.1213804926139650e+00,3.1211291652135409e+00,1.7884192848124601e+02,1.7882752848192573e+02,4.6291255753799394e-03,2.6522935830533934e-01,5.1499461064658889e-03,2.9507017662032636e-01,2.9388493861447157e-01,1.9607871172886277e+01,-2.2466465570018795e-01,-9.8007107955054842e+00,-2.6418576216005921e-02,5.1321612196996575e-11,7.5361690355059412e-11,-3.6289860005922492e-11,-5.3288706780563189e-11,3.4120464265886458e-11,-2.4126922681944052e-11,9.6341265787983096e-11,-6.8123728880209455e-11
7.0000000000000000e+00,-9.9987858694291476e-01,-1.5582404731231668e-02,1.5582404731231668e-02,-9.9987858694291476e-01,-9.9988274997624860e-01,-1.5312943758411709e-02,1.5312943758411709e-02,-9.9988274997624860e-01,9.9999367120932703e-01,-3.5577404153032759e-03,3.5577404153032759e-03,9.9999367120932703e-01,9.9999257292213084e-01,-3.8540929098834836e-03,3.8540929098834836e-03,9.9999257292213084e-01,3.1260096181919486e+00,3.1262791113220323e+00,1.7910715783970053e+02,1.7912259865866210e+02,3.5577479207493665e-03,2.0384394043038279e-01,3.8541024515491135e-03,2.2082380428478807e-01,2.2541403184690822e-01,1.9612913234429062e+01,-1.7186538297510795e-01,-9.8046000139767404e+00,-2.1653422536309013e-02,5.0674263076281242e-11,7.5499779986759746e-11,-3.5832115052869540e-11,-5.3386517429032665e-11,3.4548785488615390e-11,-2.4429680500759332e-11,9.6758831877338054e-11,-6.8418826160154822e-11
8.0000000000000000e+00,-9.9992769708391471e-01,-1.2024997652373859e-02,1.2024997652373859e-02,-9.9992769708391471e-01,-9.9993434131163406e-01,-1.1459189009253710e-02,1.1459189009253710e-02,-9.9993434131163406e-01,9.9999627841234451e-01,-2.7282113236609612e-03,2.7282113236609612e-03,9.9999627841234451e-01,9.9999584927240759e-01,-2.8812097329556415e-03,2.8812097329556415e-03,9.9999584927240759e-01,3.1295673661147614e+00,3.1301332137753102e+00,1.7931100178024914e+02,1.7934342246304595e+02,2.7282147081140813e-03,1.5631518838045266e-01,2.8812137194002274e-03,1.6508138599682326e-01,1.7303657047677234e-01,1.9615860021730079e+01,-1.3156915747612186e-01,-9.8068612573488299e+00,-1.7698929552213489e-02,5.0797515334287928e-11,7.4838378538580377e-11,-3.5919378582605077e-11,-5.2918780468758086e-11,3.4555222867695993e-11,-2.4434232415160295e-11,9.6776102894383583e-11,-6.8431038613425699e-11
9.0000000000000000e+00,-9.9995678251241893e-01,-9.2969388328296917e-03,9.2969388328296917e-03,-9.9995678251241893e-01,-9.9996320721820253e-01,-8.5781208877715107e-03,8.5781208877715107e-03,-9.9996320721820253e-01,9.9999782715835295e-01,-2.0846232686925342e-03,2.0846232686925342e-03,9.9999782715835295e-01,9.9999768752443829e-01,-2.1505528309969523e-03,2.1505528309969523e-03,9.9999768752443829e-01,3.1322955808244246e+00,3.1330144274960148e+00,1.7946731696871836e+02,1.7950850384911752e+02,2.0846247785628875e-03,1.1944020168004726e-01,2.1505544887477331e-03,1.2321769581815960e-01,1.3305454521364038e-01,1.9617581839711079e+01,-1.0087927313109786e-01,-9.8081757171442323e+00,-1.4459216974370718e-02,5.0557448197355172e-11,7.3427257941297156e-11,-3.5749514459837428e-11,-5.1920912014224996e-11,3.4507492056952011e-11,-2.4400592657514153e-11,9.6586514230029419e-11,-6.8297034694353442e-11
