block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9999999978060128e-01,1.7071120175610039e-11,1,True,tight
1,253x253,9.9999999967483844e-01,3.9137195499970196e-11,1,True,tight
2,253x253,9.9999999964897868e-01,4.3260811589447933e-11,1,True,tight
3,253x253,9.9999999964483033e-01,4.2440658087749855e-11,1,True,tight
4,253x253,9.9999999964887676e-01,3.9839794831689050e-11,1,True,tight
5,253x253,9.9999999965366360e-01,3.7966577558599857e-11,1,True,tight
6,253x253,9.9999999965577702e-01,3.7742009015134723e-11,1,True,tight
7,253x253,9.9999999965692110e-01,3.7802598820700507e-11,1,True,tight
8,253x253,9.9999999965774145e-01,3.7797382087212252e-11,1,True,tight
9,253x253,9.9999999965841480e-01,3.7717910078157112e-11,1,True,tight
10,253x253,9.9999999965895869e-01,3.7612072541269454e-11,1,True,tight
11,253x253,9.9999999965937070e-01,3.7512305689678219e-11,1,True,tight
12,253x253,9.9999999965964026e-01,3.7467940351744346e-11,1,True,tight
13,253x253,9.9999999965998632e-01,3.7445276354214278e-11,1,True,tight
14,253x253,9.9999999966061115e-01,3.7484264885623794e-11,1,True,tight
15,253x253,9.9999999966176156e-01,3.7756957335273365e-11,1,True,tight
16,253x253,9.9999999966513320e-01,3.8266986455744625e-11,1,True,tight
17,253x253,9.9999999967977227e-01,3.5568766315292180e-11,1,True,tight
18,253x253,9.9999999971107989e-01,3.5471340823103568e-11,1,True,tight
19,26x26,9.9999999981925747e-01,1.5723679597537987e-11,1,True,tight
20,22x22,9.9999999976480791e-01,3.0765820649646209e-11,1,True,tight
21,26x26,9.9999999982747123e-01,1.2507691147898101e-11,1,True,tight
22,22x22,9.9999999977862486e-01,2.9951014996498566e-11,1,True,tight
23,26x26,9.9999999990020993e-01,1.1723519307742525e-11,1,True,tight
24,26x26,9.9999999989967825e-01,1.2026285875843540e-11,1,True,tight
25,26x26,9.9999999987150368e-01,1.6214334029500526e-11,1,True,tight
