k,kin_error_link1,kin_error_link2
0,4.8299627462889137e-12,4.6645635671574878e-12
1,3.4693005425953515e-12,4.9951297611148366e-12
2,9.9151480530227800e-12,3.8530900061401085e-11
3,1.5090729803355226e-11,5.0959473011986277e-11
4,1.7139671948181400e-11,5.0813520809400753e-11
5,1.7659137116410549e-11,4.7859350079029795e-11
6,1.7769615020445243e-11,4.8186826649391795e-11
7,1.7458368951064640e-11,4.8771466803912180e-11
8,1.7534987983139533e-11,4.9128250489015343e-11
9,1.7575622006153292e-11,4.8755034518787864e-11
10,1.7435174791050180e-11,4.8685573827645351e-11
11,1.7319798983760104e-11,4.8503771824972111e-11
12,1.7324039123315927e-11,4.8431571866044760e-11
13,1.7234822432966540e-11,4.8170074867305869e-11
14,1.7272458475976784e-11,4.8249755901919336e-11
15,1.7753461607724385e-11,4.8623031486165014e-11
16,1.8330210276835720e-11,4.8446056843179523e-11
17,1.9094826966007756e-11,4.9198304143375092e-11
18,2.1714317422194150e-11,5.5911840655840036e-11
19,1.4762819307234465e-11,3.2274625212435138e-11
