k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-9.9837850752887392e-01,-5.6924121492142682e-02,5.6924121492142682e-02,-9.9837850752887392e-01,-9.9783899589344016e-01,-6.5706454611905399e-02,6.5706454611905399e-02,-9.9783899589344016e-01,9.9991617001666067e-01,-1.2948082573898382e-02,1.2948082573898382e-02,9.9991617001666067e-01,9.9986090334707600e-01,-1.6678544932785293e-02,1.6678544932785293e-02,9.9986090334707600e-01,3.0846377447815194e+00,3.0758388273857427e+00,1.7673672410273343e+02,1.7623258327167119e+02,1.2948444398964719e-02,7.4189121532048830e-01,1.6679318286277781e-02,9.5565454295909391e-01,nan,nan,nan,nan,nan,1.3684784561566509e-10,1.3676117651194602e-10,-9.6766039625606481e-11,-9.6704755314647173e-11,1.3699786795011476e-10,-9.6872065924458184e-11,1.3702903428539713e-10,-9.6894270384950687e-11
1.0000000000000000e+00,-9.9903187174904040e-01,-4.3992262190673224e-02,4.3992262190673224e-02,-9.9903187174904040e-01,-9.9879608793288333e-01,-4.9054812537700096e-02,4.9054812537700096e-02,-9.9879608793288333e-01,9.9994833253209703e-01,-1.0165236970307939e-02,1.0165236970307939e-02,9.9994833253209703e-01,9.9992624584824519e-01,-1.2145052338118864e-02,1.2145052338118864e-02,9.9992624584824519e-01,3.0975861891804346e+00,3.0925181456719923e+00,1.7747861531805108e+02,1.7718823781462868e+02,1.0165412045368893e-02,5.8243520721108732e-01,1.2145350931903266e-02,6.9587734910333843e-01,6.4200826244593712e-01,1.9559582318085528e+01,-5.0329873064392716e-01,-9.7624718107737642e+00,-4.9680416700870131e-02,1.3711640993074544e-10,1.3697941936370279e-10,-9.6955887762817383e-11,-9.6859076315070070e-11,3.1624103611665458e-10,-2.2361623663869068e-10,8.0262145180128289e-10,-5.6753901578332488e-10
2.0000000000000000e+00,-9.9942744611014489e-01,-3.3834593523258114e-02,3.3834593523258114e-02,-9.9942744611014489e-01,-9.9931819589085114e-01,-3.6920763787310400e-02,3.6920763787310400e-02,-9.9931819589085114e-01,9.9996966137336329e-01,-7.7894794393698532e-03,7.7894794393698532e-03,9.9996966137336329e-01,9.9995745742030140e-01,-9.2240141170264987e-03,9.2240141170264987e-03,9.9995745742030140e-01,3.1077516012085091e+00,3.1046634965970141e+00,1.7806105052427128e+02,1.7788411516333773e+02,7.7895582152523249e-03,4.4630881000541628e-01,9.2241449265118864e-03,5.2850457390614203e-01,5.0148105554567035e-01,1.9584445571129375e+01,-3.8289992007449214e-01,-9.7825626544224811e+00,-3.5073520132334605e-02,3.4346910850741025e-10,7.9594219997741530e-10,-2.4286928024253029e-10,-5.6281623805887193e-10,4.8494056239540462e-10,-3.4290492667565786e-10,1.2913113164833937e-09,-9.1309504401948516e-10
3.0000000000000000e+00,-9.9966067882239118e-01,-2.6048547493075083e-02,2.6048547493075083e-02,-9.9966067882239118e-01,-9.9961624031728524e-01,-2.7701467960571359e-02,2.7701467960571359e-02,-9.9961624031728524e-01,9.9998208180877546e-01,-5.9862937782113731e-03,5.9862937782113731e-03,9.9998208180877546e-01,9.9997577235669066e-01,-6.9608726644201507e-03,6.9608726644201507e-03,9.9997577235669066e-01,3.1155411594187776e+00,3.1138876415092471e+00,1.7850735933399113e+02,1.7841261973642577e+02,5.9863295336813130e-03,3.4299141705445740e-01,6.9609288823524853e-03,3.9883184644951458e-01,3.8321869407431847e-01,1.9599246627495759e+01,-2.9315285249476553e-01,-9.7940071510577571e+00,-2.9727010393804119e-02,5.5134118555635350e-10,1.0843692837023458e-09,-3.8985703554317297e-10,-7.6676487381632796e-10,4.9241278941552646e-10,-3.4818847804984898e-10,1.3454682801469018e-09,-9.5138974476327576e-10
4.0000000000000000e+00,-9.9979870109389579e-01,-2.0063818221489400e-02,2.0063818221489400e-02,-9.9979870109389579e-01,-9.9978484874902951e-01,-2.0742595464649669e-02,2.0742595464649669e-02,-9.9978484874902951e-01,9.9998936926350235e-01,-4.6109661808272171e-03,4.6109661808272171e-03,9.9998936926350235e-01,9.9998636040330036e-01,-5.2228360266401205e-03,5.2228360266401205e-03,9.9998636040330036e-01,3.1215274889817333e+00,3.1208485703921176e+00,1.7885035075272290e+02,1.7881145158290494e+02,4.6109825207581272e-03,2.6418983784803418e-01,5.2228597742876564e-03,2.9924782205533246e-01,2.9301556173070792e-01,1.9607883956034119e+01,-2.2429166248724203e-01,-9.8006908131431363e+00,-2.4960620593382363e-02,6.9202256891913967e-10,1.3368137735053909e-09,-4.8933379570570423e-10,-9.4527008442923943e-10,4.9619380756989953e-10,-3.5086211713775128e-10,1.4017677919795345e-09,-9.9119956686877231e-10
5.0000000000000000e+00,-9.9988058623866150e-01,-1.5453566913201065e-02,1.5453566913201065e-02,-9.9988058623866150e-01,-9.9987954772034948e-01,-1.5520600221986029e-02,1.5520600221986029e-02,-9.9987954772034948e-01,9.9999369300678653e-01,-3.5515620584704428e-03,3.5515620584704428e-03,9.9999369300678653e-01,9.9999235068858638e-01,-3.9112106437475015e-03,3.9112106437475015e-03,9.9999235068858638e-01,3.1261384715216143e+00,3.1260714301686146e+00,1.7911454059166658e+02,1.7911069940508688e+02,3.5515695254671508e-03,2.0348994445654828e-01,3.9112206177654481e-03,2.2409643414251076e-01,2.2440923575663188e-01,1.9612921836722904e+01,-1.7145844093891510e-01,-9.8045871823410824e+00,-2.0563443887868866e-02,7.5333719157867461e-10,1.4415059685579665e-09,-5.3268978117415600e-10,-1.0192986454882202e-09,5.0005686305524505e-10,-3.5359359884523656e-10,1.4080129132385700e-09,-9.9561536792691641e-10
6.0000000000000000e+00,-9.9992916446835500e-01,-1.1902331484563686e-02,1.1902331484563686e-02,-9.9992916446835500e-01,-9.9993260417074903e-01,-1.1609741977106201e-02,1.1609741977106201e-02,-9.9993260417074903e-01,9.9999626540930975e-01,-2.7329122294036516e-03,2.7329122294036516e-03,9.9999626540930975e-01,9.9999571525985409e-01,-2.9271919730658271e-03,2.9271919730658271e-03,9.9999571525985409e-01,3.1296900410590878e+00,3.1299826507856938e+00,1.7931803053681105e+02,1.7933479583919006e+02,2.7329156318378822e-03,1.5658453146963935e-01,2.9271961548099114e-03,1.6771598547753108e-01,1.7196154343894116e-01,1.9615864526158187e+01,-1.3103792635302922e-01,-9.8068537434155054e+00,-1.6787841133293981e-02,7.7901817336526291e-10,1.4248614184034598e-09,-5.5084903305413491e-10,-1.0075292822264714e-09,5.0654260098357606e-10,-3.5817959709305569e-10,1.4270626095259137e-09,-1.0090857038846934e-09
7.0000000000000000e+00,-9.9995795834784396e-01,-9.1695683892902419e-03,9.1695683892902419e-03,-9.9995795834784396e-01,-9.9996230419447141e-01,-8.6826975342351054e-03,8.6826975342351054e-03,-9.9996230419447141e-01,9.9999779489537377e-01,-2.0999620477487432e-03,2.0999620477487432e-03,9.9999779489537377e-01,9.9999760259877202e-01,-2.1894675730170831e-03,2.1894675730170831e-03,9.9999760259877202e-01,3.1324229566953856e+00,3.1329098469507271e+00,1.7947461506853622e+02,1.7950251182525335e+02,2.0999635915500943e-03,1.2031905092695466e-01,2.1894693234467679e-03,1.2544735160686354e-01,1.3181229850256093e-01,1.9617584241103959e+01,-1.0016884240816945e-01,-9.8081713889132196e+00,-1.3650038266634145e-02,7.8116307667307078e-10,1.3486116052491867e-09,-5.5236559770577287e-10,-9.5361230023627286e-10,5.1447392303861714e-10,-3.6378788870194967e-10,1.4544552276063401e-09,-1.0284552098838162e-09
8.0000000000000000e+00,-9.9997500926562943e-01,-7.0696744063228970e-03,7.0696744063228970e-03,-9.9997500926562943e-01,-9.9997891791155225e-01,-6.4932916669531195e-03,6.4932916669531195e-03,-9.9997891791155225e-01,9.9999870326639184e-01,-1.6103099513196917e-03,1.6103099513196917e-03,9.9999870326639184e-01,9.9999866098115109e-01,-1.6361523102451606e-03,1.6361523102451606e-03,9.9999866098115109e-01,3.1345229202894718e+00,3.1350993162898000e+00,1.7959493411960850e+02,1.7962795917775551e+02,1.6103106475649377e-03,9.2264003810449483e-02,1.6361530410931764e-03,9.3744663892133762e-02,1.0110623507178990e-01,1.9618589133678434e+01,-7.6625479357787213e-02,-9.8089372867687352e+00,-1.1077118299387956e-02,7.7497903201067999e-10,1.2668085320777951e-09,-5.4799287330098423e-10,-8.9576890349718497e-10,5.1957562446461834e-10,-3.6739544739816665e-10,1.4729352943496689e-09,-1.0415225348836543e-09
9.0000000000000000e+00,-9.9998509711753991e-01,-5.4593955281141537e-03,5.4593955281141537e-03,-9.9998509711753991e-01,-9.9998820347920381e-01,-4.8571651423764527e-03,4.8571651423764527e-03,-9.9998820347920381e-01,9.9999924221989145e-01,-1.2309306931284274e-03,1.2309306931284274e-03,9.9999924221989145e-01,9.9999925420125868e-01,-1.2208802005419296e-03,1.2208802005419296e-03,9.9999925420125868e-01,3.1361332309402856e+00,3.1367354693467351e+00,1.7968719812360510e+02,1.7972170384255534e+02,1.2309310042049691e-03,7.0527151412744918e-02,1.2208805044790082e-03,6.9951300196449975e-02,7.7667214462420670e-02,1.9619176166453681e+01,-5.8699094635187979e-02,-9.8093824311973403e+00,-8.9871855599075699e-03,7.6833071100824831e-10,1.2009701590263002e-09,-5.4329196697011639e-10,-8.4921425447248566e-10,5.2222892371054799e-10,-3.6927161328748070e-10,1.4827496282904095e-09,-1.0484624279882837e-09
