k,kin_error_link1,kin_error_link2
0,6.8364714057066742e-11,6.8405473005497485e-11
1,6.0141825356186956e-11,7.2485634001032619e-11
2,1.3871345671172921e-10,5.0184856993903774e-10
3,1.8067305253336147e-10,5.4651233337116068e-10
4,2.1911487976680370e-10,6.4854531203251366e-10
5,2.3779493930279820e-10,7.1232939531359415e-10
6,2.5227764729331212e-10,7.5179527527709110e-10
7,2.6035364290291924e-10,7.6844696539598066e-10
8,2.6315207698845400e-10,7.6971299215691967e-10
9,2.6379668363522486e-10,7.6492141222146659e-10
10,2.6344344245881297e-10,7.5861311547095130e-10
11,2.6246177363667047e-10,7.5356586490447119e-10
12,2.6136147647198085e-10,7.4974634210330870e-10
13,2.6011347499086644e-10,7.4649844882583137e-10
14,2.5905609523747022e-10,7.4384917046764428e-10
15,2.5968106490826320e-10,7.4079263121850478e-10
16,2.6485945197727897e-10,7.3949549120655526e-10
17,2.7881050668411064e-10,7.4638323373974701e-10
18,3.0869537269031135e-10,8.3997910012752111e-10
19,2.0387718054260957e-10,4.9502510187103807e-10
